truth_index,truth_law,truth_state,delta,topology,budget,greedy_utility,optimal_utility,greedy_over_optimal,additive_gap,greedy_panel,one_optimal_panel
0,P00,0000,0.0,complete_survivor,1,127,127,1.0,0,0111,0111
0,P00,0000,0.0,complete_survivor,2,127,127,1.0,0,0000 0111,0011 0100
0,P00,0000,0.0,complete_survivor,3,127,127,1.0,0,0000 0001 0111,0001 0010 0100
0,P00,0000,0.0,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0111,0000 0001 0010 0100
0,P00,0000,0.0,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0111,0000 0001 0010 0011 0100
1,P00,0001,0.0,complete_survivor,1,127,127,1.0,0,0110,0110
1,P00,0001,0.0,complete_survivor,2,127,127,1.0,0,0000 0110,0010 0101
1,P00,0001,0.0,complete_survivor,3,127,127,1.0,0,0000 0001 0110,0000 0011 0101
1,P00,0001,0.0,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0110,0000 0001 0011 0101
1,P00,0001,0.0,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0110,0000 0001 0010 0011 0101
2,P00,0010,0.0,complete_survivor,1,127,127,1.0,0,0101,0101
2,P00,0010,0.0,complete_survivor,2,127,127,1.0,0,0000 0101,0001 0110
2,P00,0010,0.0,complete_survivor,3,127,127,1.0,0,0000 0001 0101,0000 0011 0110
2,P00,0010,0.0,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0101,0000 0010 0011 0110
2,P00,0010,0.0,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0101,0000 0001 0010 0011 0110
3,P00,0011,0.0,complete_survivor,1,127,127,1.0,0,0100,0100
3,P00,0011,0.0,complete_survivor,2,127,127,1.0,0,0000 0100,0000 0111
3,P00,0011,0.0,complete_survivor,3,127,127,1.0,0,0000 0001 0100,0001 0010 0111
3,P00,0011,0.0,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0100,0001 0010 0011 0111
3,P00,0011,0.0,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,0000 0001 0010 0011 0111
