delta,budget,objective,greedy_utility,optimal_utility,greedy_over_optimal,greedy_panel,optimal_panel,total_world_pairs,full_library_unresolved_pairs
0.0,1,global_pair_coverage,8082,8082,1.0,0000,0000,8128,0
0.0,2,global_pair_coverage,8128,8128,1.0,0000 0111,0011 0100,8128,0
0.0,3,global_pair_coverage,8128,8128,1.0,0000 0001 0111,0001 0010 0100,8128,0
0.0,4,global_pair_coverage,8128,8128,1.0,0000 0001 0010 0111,0000 0001 0010 0100,8128,0
0.0,5,global_pair_coverage,8128,8128,1.0,0000 0001 0010 0011 0111,0000 0001 0010 0011 0100,8128,0
1e-05,1,global_pair_coverage,8082,8082,1.0,0000,0000,8128,0
1e-05,2,global_pair_coverage,8128,8128,1.0,0000 0111,0011 0100,8128,0
1e-05,3,global_pair_coverage,8128,8128,1.0,0000 0001 0111,0001 0010 0100,8128,0
1e-05,4,global_pair_coverage,8128,8128,1.0,0000 0001 0010 0111,0000 0001 0010 0100,8128,0
1e-05,5,global_pair_coverage,8128,8128,1.0,0000 0001 0010 0011 0111,0000 0001 0010 0011 0100,8128,0
2.5e-05,1,global_pair_coverage,8082,8082,1.0,0000,0000,8128,0
2.5e-05,2,global_pair_coverage,8128,8128,1.0,0000 0111,0011 0100,8128,0
2.5e-05,3,global_pair_coverage,8128,8128,1.0,0000 0001 0111,0001 0010 0100,8128,0
2.5e-05,4,global_pair_coverage,8128,8128,1.0,0000 0001 0010 0111,0000 0001 0010 0100,8128,0
2.5e-05,5,global_pair_coverage,8128,8128,1.0,0000 0001 0010 0011 0111,0000 0001 0010 0011 0100,8128,0
3e-05,1,global_pair_coverage,8077,8077,1.0,0000,0000,8128,0
3e-05,2,global_pair_coverage,8128,8128,1.0,0000 0111,0011 0100,8128,0
3e-05,3,global_pair_coverage,8128,8128,1.0,0000 0001 0111,0001 0010 0100,8128,0
3e-05,4,global_pair_coverage,8128,8128,1.0,0000 0001 0010 0111,0000 0001 0010 0100,8128,0
3e-05,5,global_pair_coverage,8128,8128,1.0,0000 0001 0010 0011 0111,0000 0001 0010 0011 0100,8128,0
3.2e-05,1,global_pair_coverage,8071,8071,1.0,0000,0000,8128,0
3.2e-05,2,global_pair_coverage,8126,8126,1.0,0000 0111,0011 0100,8128,0
3.2e-05,3,global_pair_coverage,8127,8127,1.0,0000 0010 0111,0001 0010 0100,8128,0
3.2e-05,4,global_pair_coverage,8128,8128,1.0,0000 0010 0100 0111,0001 0010 0100 0110,8128,0
3.2e-05,5,global_pair_coverage,8128,8128,1.0,0000 0001 0010 0100 0111,0000 0001 0010 0100 0110,8128,0
0.0001,1,global_pair_coverage,8040,8040,1.0,0000,0000,8128,8
0.0001,2,global_pair_coverage,8120,8120,1.0,0000 0111,0011 0100,8128,8
0.0001,3,global_pair_coverage,8120,8120,1.0,0000 0001 0111,0001 0010 0100,8128,8
0.0001,4,global_pair_coverage,8120,8120,1.0,0000 0001 0010 0111,0000 0001 0010 0100,8128,8
0.0001,5,global_pair_coverage,8120,8120,1.0,0000 0001 0010 0011 0111,0000 0001 0010 0011 0100,8128,8
0.001,1,global_pair_coverage,7905,7905,1.0,0000,0000,8128,56
0.001,2,global_pair_coverage,8072,8072,1.0,0000 0111,0011 0100,8128,56
0.001,3,global_pair_coverage,8072,8072,1.0,0000 0001 0111,0001 0010 0100,8128,56
0.001,4,global_pair_coverage,8072,8072,1.0,0000 0001 0010 0111,0000 0001 0010 0100,8128,56
0.001,5,global_pair_coverage,8072,8072,1.0,0000 0001 0010 0011 0111,0000 0001 0010 0011 0100,8128,56
0.01,1,global_pair_coverage,7768,7768,1.0,0000,0000,8128,88
0.01,2,global_pair_coverage,8040,8040,1.0,0000 0111,0011 0100,8128,88
0.01,3,global_pair_coverage,8040,8040,1.0,0000 0001 0111,0001 0010 0100,8128,88
0.01,4,global_pair_coverage,8040,8040,1.0,0000 0001 0010 0111,0000 0001 0010 0100,8128,88
0.01,5,global_pair_coverage,8040,8040,1.0,0000 0001 0010 0011 0111,0000 0001 0010 0011 0100,8128,88
0.05,1,global_pair_coverage,6791,6791,1.0,0000,0000,8128,224
0.05,2,global_pair_coverage,7864,7864,1.0,0000 1101,0101 1000,8128,224
0.05,3,global_pair_coverage,7884,7884,1.0,0000 0111 1101,0010 0101 1000,8128,224
0.05,4,global_pair_coverage,7904,7904,1.0,0000 0111 1010 1101,0001 0110 1011 1100,8128,224
0.05,5,global_pair_coverage,7904,7904,1.0,0000 0001 0111 1010 1101,0010 0011 0100 0101 1000,8128,224
