budget,rank,panel,mask,robust_worstcase_ambiguity_elimination,expected_failure_worstscenario_ambiguity_elimination,robust_pair_separation,expected_failure_worstscenario_pair_separation,robust_uniform_entropy_bits,expected_failure_worstscenario_uniform_entropy_bits,robust_skew_entropy_bits,robust_truth_rooted_elimination,expected_failure_worstscenario_truth_rooted_worsttruth_elimination,expected_failure_worstscenario_truth_rooted_uniformprior_elimination,cost,burden,k
pilot_tight,1,0010 0100 1000,276,120.0,123.22491999999998,7535.0,7757.037469999999,6.625,6.7283409375000005,5.946439344671015,110.0,117.47927100000001,122.34339731250002,36,15,3
pilot_tight,2,0000 0110 1010,1089,120.0,123.21600000000002,7535.0,7750.500000000002,6.625,6.7283750000000015,5.946439344671015,110.0,117.2452,122.2729,38,16,3
pilot_tight,3,0000 0110 1100,4161,120.0,123.21600000000002,7535.0,7754.2440000000015,6.625,6.727250000000001,5.946439344671015,110.0,117.4252,122.3072125,38,16,3
pilot_tight,4,0000 1010 1100,5121,120.0,123.14400000000003,7535.0,7755.3420000000015,6.625,6.7261250000000015,5.946439344671015,110.0,117.40720000000002,122.31368125000003,38,16,3
pilot_tight,5,0010 0100 1110,16404,120.0,123.20548000000001,7535.0,7747.417730000001,6.625,6.7271653125,5.946439344671015,110.0,117.18390900000003,122.23229081250001,40,17,3
pilot_tight,6,0010 1000 1110,16644,120.0,123.13268000000001,7535.0,7748.527930000002,6.625,6.7260278125,5.946439344671015,110.0,117.16570900000002,122.2388314375,40,17,3
pilot_tight,7,0100 1000 1110,16656,120.0,123.13268000000001,7535.0,7752.313530000001,6.625,6.7248903125,5.946439344671015,110.0,117.34770900000002,122.2735251875,40,17,3
pilot_tight,8,0011 0101 1001,552,120.0,123.12,7535.0,7745.220000000002,6.625,6.7246875,5.946439344671015,110.0,117.099,122.19440625000001,42,18,3
pilot_tight,9,0110 1010 1100,5184,120.0,123.12,7535.0,7745.220000000002,6.625,6.7246875,5.946439344671015,110.0,117.099,122.19440625000001,42,18,3
pilot_tight,10,0001 0111 1011,2178,120.0,123.10892000000003,7535.0,7738.456870000002,6.625,6.7245909375,5.946439344671015,110.0,116.85951100000001,122.12009293749999,44,19,3
pilot_tight,11,0001 0111 1101,8322,120.0,123.10892000000003,7535.0,7742.159270000001,6.625,6.7234784375,5.946439344671015,110.0,117.03751100000001,122.15402418749999,44,19,3
pilot_tight,12,0001 1011 1101,10242,120.0,123.03772000000002,7535.0,7743.245070000001,6.625,6.7223659375,5.946439344671015,110.0,117.019711,122.16042106249999,44,19,3
pilot_tight,13,0011 0101 1111,32808,120.0,123.09600000000003,7535.0,7735.097999999999,6.625,6.723250000000002,5.946439344671015,110.0,116.79080000000002,122.07513125,46,20,3
pilot_tight,14,0011 1001 1111,33288,120.0,123.02400000000003,7535.0,7736.196,6.625,6.722125000000002,5.946439344671015,110.0,116.77280000000002,122.0816,46,20,3
pilot_tight,15,0101 1001 1111,33312,120.0,123.02400000000003,7535.0,7739.9400000000005,6.625,6.721000000000002,5.946439344671015,110.0,116.95280000000002,122.1159125,46,20,3
pilot_tight,16,0000 0101 1010,1057,120.0,123.21600000000002,7516.0,7748.667600000002,6.625,6.7283750000000015,5.946439344671015,110.0,117.1624,122.25056875000001,38,16,3
pilot_tight,17,0010 0111 1000,388,120.0,123.13268000000002,7516.0,7746.851437000002,6.625,6.7260278125,5.946439344671015,110.0,117.09281800000004,122.21719192187503,40,17,3
pilot_tight,18,0001 0100 1011,2066,120.0,123.20548000000001,7516.0,7745.395437000001,6.625,6.7271653125,5.946439344671015,110.0,117.09281800000002,122.20752317187502,40,17,3
