test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,replicate,injected_scale_target_sd
01,random_forest,0.11206918947107303,0.1804298328414895,0.06836064337041647,0.0016047547443325991,0.0015417436773276394,0.001748175134069693,True,True,20,0.3
01,extra_trees,0.0769651386704201,0.20479889261414197,0.12783375394372187,0.0016361689898613313,0.0015186496466719538,0.001748175134069693,True,True,20,0.3
02,random_forest,0.07158809323570126,0.10076024307006648,0.029172149834365224,0.0013161711501569627,0.0012953280376431094,0.0014218752242638013,True,True,20,0.3
02,extra_trees,0.15367161170633226,0.19944060940002117,0.04576899769368892,0.0012566417099529892,0.0012221901923535367,0.0014218752242638013,True,True,20,0.3
01,random_forest,-0.09597089672799552,-0.08380860928373224,0.012162287444263287,0.0017610966492202181,0.0017512977034779388,0.0017272405589059804,False,False,21,0.3
01,extra_trees,0.026149840071092,0.04663280277249082,0.02048296270139882,0.0016600827998731666,0.0016425317847866537,0.0017272405589059804,True,True,21,0.3
02,random_forest,0.009226574336300253,0.04668852426327008,0.03746194992696983,0.0012941555595730502,0.0012694532684432267,0.0013579100818881984,True,True,21,0.3
02,extra_trees,0.12997071511983715,0.17420122567667307,0.04423051055683591,0.0012127359256484365,0.001181507341615703,0.0013579100818881984,True,True,21,0.3
01,random_forest,-0.05303643134673797,-0.050414889545899344,0.0026215418008386226,0.001633564193167088,0.0016315295411295182,0.0016396017203478546,False,False,22,0.3
01,extra_trees,0.06341990588570556,0.06332255037669288,-9.735550901268653e-05,0.0015405896245008306,0.0015406696929277412,0.0016396017203478546,True,True,22,0.3
02,random_forest,0.05966831141083928,0.05426537403710896,-0.005402937373730321,0.0012668384317334304,0.0012704727051387034,0.0013641406020838583,True,True,22,0.3
02,extra_trees,0.15658134465139917,0.18750029034582583,0.03091894569442666,0.0011997818713565403,0.0011775850983830902,0.0013641406020838583,True,True,22,0.3
01,random_forest,0.06471900799655039,0.12548216095782305,0.06076315296127266,0.001657732772070038,0.0016029788994443653,0.0017591722242749988,True,True,23,0.3
01,extra_trees,0.07033458863434217,0.17270803764753984,0.10237344901319767,0.0016527486295322036,0.0015590960512690652,0.0017591722242749988,True,True,23,0.3
02,random_forest,0.024724641465542097,0.0939456003136322,0.0692209588480901,0.0013302488420105104,0.0012821723309002413,0.0014038775142840945,True,True,23,0.3
02,extra_trees,0.14621886606643975,0.21506686260713292,0.06884799654069318,0.0012446365227186324,0.0011933987973458998,0.0014038775142840945,True,True,23,0.3
01,random_forest,0.02185378319227016,-0.025461811666066314,-0.047315594858336474,0.0015248491154777593,0.001561294135090908,0.0015885009438540603,True,False,24,0.3
01,extra_trees,0.10048755993609482,0.08504718399980704,-0.015440375936287776,0.0014622733645870162,0.0014747701254022708,0.0015885009438540603,True,True,24,0.3
02,random_forest,0.07942670242254035,0.07025485984717672,-0.009171842575363631,0.0012632804359651926,0.0012695579873085881,0.001371054570457056,True,True,24,0.3
02,extra_trees,0.21191582760337369,0.2163648009585507,0.004448973355177022,0.0011688449003517693,0.0011655409894828312,0.001371054570457056,True,True,24,0.3
01,random_forest,0.07953000075875105,0.12718038393615805,0.047650383177406996,0.0016275142532083755,0.0015848283472400262,0.001740905446031007,True,True,25,0.3
01,extra_trees,0.08508119590895835,0.169778129534792,0.08469693362583364,0.00162259920325118,0.001545671027503223,0.001740905446031007,True,True,25,0.3
02,random_forest,0.05478898938809473,0.10768438857397356,0.05289539918587882,0.0013012800842866039,0.0012643451375751054,0.001394479112479008,True,True,25,0.3
02,extra_trees,0.16663607304612815,0.20915710052719627,0.04252102748106812,0.001221866466254338,0.001190286497214031,0.001394479112479008,True,True,25,0.3
01,random_forest,-0.04006386224660852,-0.003994242574119955,0.03606961967248856,0.0017166614188828392,0.0016866316841384736,0.0017285678258333245,False,False,26,0.3
01,extra_trees,0.046623959400530435,0.10451201950002109,0.05788806009949066,0.0016435645296424834,0.0015928853712634519,0.0017285678258333245,True,True,26,0.3
02,random_forest,0.03981265194346151,0.07328378891227849,0.033471136968816984,0.0012902575140582135,0.0012675695196430684,0.0013741647991762445,True,True,26,0.3
02,extra_trees,0.14279672110027908,0.1829653056584355,0.04016858455815642,0.0012191027730897577,0.0011901964668328913,0.0013741647991762445,True,True,26,0.3
01,random_forest,0.07041541476638857,0.14178575055084697,0.0713703357844584,0.0016539888572638611,0.0015892271771781436,0.0017598175040361322,True,True,27,0.3
01,extra_trees,0.06466722587286355,0.17671809063274668,0.11205086475988313,0.0016590947874936361,0.0015565476098681153,0.0017598175040361322,True,True,27,0.3
02,random_forest,0.027791610518195786,0.09841944330243713,0.07062783278424134,0.0013277254299696336,0.0012785886938899086,0.001402604907609075,True,True,27,0.3
02,extra_trees,0.14897749015588657,0.2154239128887977,0.06644642273291113,0.0012422217096897433,0.0011927409357276222,0.001402604907609075,True,True,27,0.3
01,random_forest,-0.04195459968605131,2.2071564591663595e-05,0.04197667125064297,0.0017218600554269638,0.0016868196838423738,0.0017322451885851146,False,True,28,0.3
01,extra_trees,0.040862224189777585,0.10878501228267612,0.06792278809289853,0.0016520148661159305,0.0015924459249608222,0.0017322451885851146,True,True,28,0.3
