test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,replicate,injected_scale_target_sd
1,random_forest,0.0646761360101276,0.1797951499710194,0.1151190139608917,0.0016487267761159,0.001543934422653,0.0017491173944441,True,True,0,0.3
1,extra_trees,0.0502543528475386,0.2028531911690795,0.1525988383215408,0.0016613890335869,0.001522077757334,0.0017491173944441,True,True,0,0.3
2,random_forest,0.0550820314790004,0.1014592857584523,0.0463772542794518,0.0013352586134043,0.0013020786400886,0.0014282830763029,True,True,0,0.3
2,extra_trees,0.1501789114570313,0.1869249503612651,0.0367460389042337,0.0012662868193924,0.0012386073463372,0.0014282830763029,True,True,0,0.3
1,random_forest,0.1290662133598507,0.1965276128172154,0.0674613994573647,0.0015827678915011,0.0015202329457213,0.0017418701122447,True,True,1,0.3
1,extra_trees,0.0876533710512961,0.200280705569493,0.1126273345181969,0.0016199611446216,0.0015166782164214,0.0017418701122447,True,True,1,0.3
2,random_forest,0.0784398591347916,0.1075128927323335,0.0290730335975418,0.001313034994857,0.0012921574483418,0.0014242604777494,True,True,1,0.3
2,extra_trees,0.1572446671266562,0.2040194543772173,0.0467747872505611,0.0012556402087908,0.0012202974014383,0.0014242604777494,True,True,1,0.3
1,random_forest,0.031881493585382,-0.0150548197642075,-0.0469363133495895,0.0015037494112453,0.0015397703696927,0.0015765679416346,True,False,2,0.3
1,extra_trees,0.1200545637815,0.085347927026267,-0.034706636755233,0.0014336366035546,0.0014616357968367,0.0015765679416346,True,True,2,0.3
2,random_forest,0.0745630934403703,0.0803529437097313,0.0057898502693609,0.0012747037033943,0.001270709955539,0.001380443427357,True,True,2,0.3
2,extra_trees,0.2225234722356527,0.2313665132751432,0.0088430410394905,0.0011683675411115,0.0011617040156431,0.001380443427357,True,True,2,0.3
1,random_forest,0.0869162978223584,0.229045483003922,0.1421291851815636,0.0015779363951205,0.0014499351435569,0.0016965243370377,True,True,3,0.3
1,extra_trees,0.0692092972226727,0.2188432241750912,0.1496339269524185,0.0015931630162089,0.0014594973134013,0.0016965243370377,True,True,3,0.3
2,random_forest,0.1129901273978749,0.1242024860267296,0.0112123586288547,0.0013137428893785,0.0013054132173957,0.0014481275968356,True,True,3,0.3
2,extra_trees,0.1695068222365586,0.1926116829036517,0.023104860667093,0.0012712008840015,0.0012533933380724,0.0014481275968356,True,True,3,0.3
1,random_forest,0.1264913428096898,0.1930221588053663,0.0665308159956764,0.0014715613568343,0.0014144108291344,0.0016228206428965,True,True,4,0.3
1,extra_trees,0.112044580534808,0.20212688580482,0.090082305270012,0.0014836803642994,0.0014064091507219,0.0016228206428965,True,True,4,0.3
2,random_forest,0.1422370242131927,0.1366035103358646,-0.0056335138773281,0.001296887326012,0.0013011391276533,0.0014544037185208,True,True,4,0.3
2,extra_trees,0.2405820483076549,0.2314709911215687,-0.0091110571860861,0.0012202786905533,0.0012275769645402,0.0014544037185208,True,True,4,0.3
1,random_forest,0.0140155117665428,0.1051329885938072,0.0911174768272644,0.001716708301032,0.0016354629691448,0.0017698239064974,True,True,5,0.3
1,extra_trees,0.06993823393762,0.1728088814675026,0.1028706475298826,0.0016673138644188,0.001572404931684,0.0017698239064974,True,True,5,0.3
2,random_forest,0.032160208087767,0.0786302091222865,0.0464700010345194,0.0013085951166242,0.0012767931464444,0.001382975114222,True,True,5,0.3
2,extra_trees,0.1650288461618562,0.2145906560933002,0.0495618099314439,0.0012154561470275,0.001178831114447,0.001382975114222,True,True,5,0.3
1,random_forest,0.022407897721637,-0.0027279745422259,-0.025135872263863,0.0015412744314405,0.0015609633175084,0.0016072600727507,True,False,6,0.3
1,extra_trees,0.1087696102329243,0.0855280281319803,-0.0232415821009439,0.0014716215034518,0.0014906865439873,0.0016072600727507,True,True,6,0.3
2,random_forest,0.0888735897558611,0.0775583782041761,-0.011315211551685,0.0012643059907829,0.0012721324281035,0.0013811936201294,True,True,6,0.3
2,extra_trees,0.2117431944528512,0.2137049153685583,0.001961720915707,0.0011759713536693,0.0011745071324435,0.0013811936201294,True,True,6,0.3
1,random_forest,-0.0580390505554215,-0.0045573700634615,0.05348168049196,0.0017546844831099,0.0017097616009194,0.0017506608103206,False,False,7,0.3
1,extra_trees,0.0402118154808567,0.099777811426495,0.0595659959456382,0.001671228705654,0.0016185385344009,0.0017506608103206,True,True,7,0.3
2,random_forest,0.0211549667577536,0.0596332116912303,0.0384782449334767,0.001302976696342,0.0012771100393463,0.0013744929571034,True,True,7,0.3
2,extra_trees,0.1360655161418276,0.1786049459709886,0.042539429829161,0.0012241089754129,0.0011935915056393,0.0013744929571034,True,True,7,0.3
1,random_forest,0.131323520227197,0.1093862864267437,-0.0219372338004533,0.0014390037599096,0.0014570605048586,0.0015918555215437,True,True,8,0.3
1,extra_trees,0.1346289221735853,0.1512387111715808,0.0166097889979954,0.0014362633730704,0.001422412889559,0.0015918555215437,True,True,8,0.3
2,random_forest,0.1523733491977005,0.1325290600365644,-0.0198442891611361,0.0012568143044862,0.0012714412017759,0.0014190706057605,True,True,8,0.3
2,extra_trees,0.2543763090933125,0.2418574003413576,-0.0125189087519549,0.001178768882424,0.001188623366214,0.0014190706057605,True,True,8,0.3
1,random_forest,-0.0585091053554087,-0.0001570981256389,0.0583520072297698,0.0017599010705811,0.0017107047731116,0.0017544040254106,False,False,9,0.3
1,extra_trees,0.0398051891896648,0.1108527591760165,0.0710475699863517,0.0016761799200107,0.0016129756045392,0.0017544040254106,True,True,9,0.3
2,random_forest,0.0134217115293502,0.0575067856770553,0.0440850741477051,0.0013052408477645,0.001275745355266,0.0013706615318487,True,True,9,0.3
2,extra_trees,0.1296918149854701,0.1707709345368049,0.0410791195513348,0.0012259179773614,0.0011966362031501,0.0013706615318487,True,True,9,0.3
1,random_forest,0.0626683776001177,0.1542004941980069,0.0915321165978891,0.0016626656551347,0.0015793995318492,0.0017617467319759,True,True,10,0.3
1,extra_trees,0.0603952559475609,0.2026884583706822,0.1422932024231213,0.0016646804984442,0.0015334595228448,0.0017617467319759,True,True,10,0.3
2,random_forest,0.0518723489970949,0.0989754468409199,0.047103097843825,0.0013277276395527,0.001294326678264,0.0014190753862172,True,True,10,0.3
2,extra_trees,0.1435467510212716,0.1986498788791016,0.05510312785783,0.0012619072064931,0.0012206375992252,0.0014190753862172,True,True,10,0.3
1,random_forest,-0.0203464934911201,0.0372715299569738,0.0576180234480939,0.0017170214378195,0.0016678377018435,0.0017428854233542,False,True,11,0.3
1,extra_trees,0.0514253816242391,0.1313491876890553,0.0799238060648162,0.0016555321890078,0.0015842528404599,0.0017428854233542,True,True,11,0.3
2,random_forest,0.0377402694828934,0.0774978477172601,0.0397575782343666,0.0012881365826051,0.0012612449853945,0.0013684479575802,True,True,11,0.3
2,extra_trees,0.1426336726967595,0.1955824447925189,0.0529487720957594,0.0012159031116528,0.0011777592624425,0.0013684479575802,True,True,11,0.3
1,random_forest,-0.0262783211766512,0.0647420259175457,0.091020347094197,0.0017514989168481,0.0016720259190038,0.0017742508989765,False,True,12,0.3
1,extra_trees,0.0422464489459333,0.1592873538684196,0.1170409049224863,0.0016920148915653,0.0015852621324011,0.0017742508989765,True,True,12,0.3
2,random_forest,-0.0047834205450454,0.0573372213586198,0.0621206419036652,0.0013445107788639,0.0013022855979027,0.0013992398835621,False,True,12,0.3
2,extra_trees,0.1315991810483024,0.1752438309191591,0.0436446498708567,0.0012499371331495,0.0012181221614906,0.0013992398835621,True,True,12,0.3
1,random_forest,0.165029765817027,0.1298505371364721,-0.0351792286805549,0.001398933394926,0.0014280995064385,0.0015804576250775,True,True,13,0.3
1,extra_trees,0.151479750300008,0.1623196886140299,0.0108399383140218,0.0014102387581356,0.0014012018267961,0.0015804576250775,True,True,13,0.3
2,random_forest,0.1490511682755785,0.1404813799036586,-0.0085697883719199,0.0012686549058256,0.0012750271269058,0.0014301864930115,True,True,13,0.3
2,extra_trees,0.2694218958619951,0.2484135121723178,-0.0210083836896772,0.0011755066924556,0.0011922882440751,0.0014301864930115,True,True,13,0.3
1,random_forest,0.0669564827551089,0.0363072783596449,-0.0306492043954639,0.001493555435833,0.0015178878561492,0.0015938748068569,True,True,14,0.3
1,extra_trees,0.1256604119144811,0.1085059551474556,-0.0171544567670255,0.0014458074833435,0.0014599218891615,0.0015938748068569,True,True,14,0.3
2,random_forest,0.1176595266696048,0.0930426748414149,-0.0246168518281899,0.0012544839653509,0.0012718633137743,0.0013904086796212,True,True,14,0.3
2,extra_trees,0.2246851649362902,0.2331329413987505,0.0084477764624603,0.0011759424309594,0.00116951839063,0.0013904086796212,True,True,14,0.3
1,random_forest,-0.0232261708712484,0.0595360929120136,0.0827622637832621,0.0017453476884016,0.0016732745355831,0.0017701267293977,False,True,15,0.3
1,extra_trees,0.0462955856978924,0.1642844209558012,0.1179888352579087,0.0016850121307885,0.0015773402458428,0.0017701267293977,True,True,15,0.3
2,random_forest,0.000650778634174,0.077007620826385,0.0763568421922109,0.0013358956658661,0.0012838460795552,0.0013935694858022,True,True,15,0.3
2,extra_trees,0.1320092155356208,0.1890009129333897,0.0569916973977688,0.0012450060411289,0.0012034390074142,0.0013935694858022,True,True,15,0.3
1,random_forest,0.0204893097200867,0.0887575594146151,0.0682682496945283,0.0016851195098337,0.001625335742407,0.0017466238256684,True,True,16,0.3
1,extra_trees,0.0536402581578174,0.1658084676512626,0.1121682094934451,0.0016563581357197,0.0015551024487144,0.0017466238256684,True,True,16,0.3
2,random_forest,0.0367474468723908,0.0803553427969512,0.0436078959245603,0.001300696935609,0.0012709136925417,0.0013813117000959,True,True,16,0.3
2,extra_trees,0.1410904075878468,0.200345621142894,0.0592552135550471,0.001228230164568,0.0011851059881394,0.0013813117000959,True,True,16,0.3
1,random_forest,0.1755838305640003,0.2265797204267103,0.05099588986271,0.0014087361926701,0.001364470653893,0.0015993173524497,True,True,17,0.3
1,extra_trees,0.1366497368664156,0.240046095724029,0.1033963588576133,0.0014416171320016,0.0013525397801091,0.0015993173524497,True,True,17,0.3
