test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,replicate,direction_seed
01,random_forest,0.1264566712442291,0.2474112357463455,0.12095456450211639,0.0015457094794922173,0.001434711270008114,0.001700433314666481,True,True,0,20260830
01,extra_trees,0.07580576741466782,0.24150482964439635,0.16569906222972852,0.001589890709939116,0.001440330159440329,0.001700433314666481,True,True,0,20260830
02,random_forest,0.11278259307109217,0.13153018216296564,0.018747589091873462,0.001308812129598968,0.001294910192207073,0.0014446899296780113,True,True,0,20260830
02,extra_trees,0.17224902754402227,0.22049497009973873,0.04824594255571646,0.0012641893695851845,0.0012267942879516734,0.0014446899296780113,True,True,0,20260830
01,random_forest,0.037816598936002865,0.008815846941280792,-0.029000751994722074,0.001513266234643622,0.0015359022851950356,0.0015911557635562418,True,True,1,20260831
01,extra_trees,0.12399279395859142,0.08808782754410127,-0.03590496641449015,0.0014439104213983095,0.0014732040970911633,0.0015911557635562418,True,True,1,20260831
02,random_forest,0.10141795851417246,0.09229335422672391,-0.009124604287448546,0.001261090352740419,0.0012674770184023972,0.0013862330362544822,True,True,1,20260831
02,extra_trees,0.21832529552083357,0.2203135833481794,0.001988287827345836,0.0011761978062074002,0.0011747009502870807,0.0013862330362544822,True,True,1,20260831
01,random_forest,0.0017970989239924906,-0.01500041175427258,-0.01679751067826507,0.0015966860980285728,0.001610064369960593,0.0016435691079255167,True,False,2,20260832
01,extra_trees,0.10282399340138271,0.10725557694832388,0.004431583546941176,0.0015137318728898268,0.0015099887201932675,0.0016435691079255167,True,True,2,20260832
02,random_forest,0.040524452965260305,0.05546823225771269,0.014943779292452386,0.0012829316832912107,0.001272901680358704,0.0013648273602130418,True,True,2,20260832
02,extra_trees,0.18143788970494923,0.19720036913922245,0.015762479434273224,0.0011849837484244714,0.00117351908575454,0.0013648273602130418,True,True,2,20260832
01,random_forest,0.1671951370833188,0.2521079488139297,0.08491281173061094,0.0014277979435715943,0.0013530523023628385,0.0016123003425320597,True,True,3,20260833
01,extra_trees,0.11703857819180308,0.24625061216827226,0.1292120339764692,0.0014701646986552508,0.0013583403823697205,0.0016123003425320597,True,True,3,20260833
02,random_forest,0.17083220040538816,0.1604807272231744,-0.010351473182213744,0.0012738761955262306,0.0012818031763941955,0.0014521457106173921,True,True,3,20260833
02,extra_trees,0.23222760174292412,0.2444097026527715,0.012182100909847393,0.0012258074475331668,0.0012160437342757097,0.0014521457106173921,True,True,3,20260833
01,random_forest,-0.0481215889041815,-0.02889221006719289,0.01922937883698861,0.0016907565206332402,0.0016751749778026145,0.0016977248194212718,False,False,4,20260834
01,extra_trees,0.05835048374110463,0.08976438344276327,0.03141389970165864,0.001602580601715084,0.0015756224140125825,0.0016977248194212718,True,True,4,20260834
02,random_forest,0.050890053413153,0.07185505287418381,0.02096499946103081,0.0012793876327066675,0.0012651784567556895,0.0013709328375119884,True,True,4,20260834
02,extra_trees,0.14990627027320647,0.17293791529045588,0.023031645017249414,0.0012108136053855122,0.0011942986510009416,0.0013709328375119884,True,True,4,20260834
