test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate
01,random_forest,0.03816014309223226,0.05655947846864495,0.018399335376412695,0.0016065041975983983,0.0015910643420406537,0.0016827292078636516,True,True,0.15,5
01,extra_trees,0.08080981358834083,0.10634074638598101,0.025530932797640182,0.0015704827460074205,0.0015485187141883582,0.0016827292078636516,True,True,0.15,5
02,random_forest,0.07586428821498381,0.09090665305026258,0.015042364835278765,0.001239412826670899,0.0012292843409889508,0.0013455772815794194,True,True,0.15,5
02,extra_trees,0.19974082153119355,0.21118388407700273,0.01144306254580918,0.0011533561658564305,0.0011450804425678885,0.0013455772815794194,True,True,0.15,5
01,random_forest,0.06139646752181516,0.03160254032052345,-0.029793927201291703,0.0015043311263252424,0.001528020462802943,0.0016013802656842826,True,True,0.15,6
01,extra_trees,0.1109994474428666,0.10381960821075431,-0.007179839232112295,0.0014640414238957919,0.0014699415572603206,0.0016013802656842826,True,True,0.15,6
02,random_forest,0.09626644712865429,0.10353208780811274,0.007265640679458452,0.0012216012868110325,0.0012166807948634502,0.0013433722315783546,True,True,0.15,6
02,extra_trees,0.23501691183773132,0.22309381228552605,-0.011923099552205274,0.001123919471499706,0.001132644364363311,0.0013433722315783546,True,True,0.15,6
01,random_forest,-0.0012008000024288368,-0.004914970964046583,-0.0037141709616177465,0.0016324573118989788,0.0016354824856395264,0.0016780461091763306,False,False,0.15,7
01,extra_trees,0.07638286751933654,0.08342916567388636,0.007046298154549824,0.001567932021110635,0.0015619396740277195,0.0016780461091763306,True,True,0.15,7
02,random_forest,0.06414713104362701,0.08230907156726064,0.018161940523633624,0.0012374298080613975,0.0012253636829886658,0.0013380237099186595,True,True,0.15,7
02,extra_trees,0.18856179677270846,0.19898223262717396,0.010420435854465504,0.0011522441470908458,0.0011448217188608516,0.0013380237099186595,True,True,0.15,7
01,random_forest,0.1136076881809368,0.11003041048835316,-0.003577277692583647,0.0014576784582746032,0.0014606169258116564,0.0015965571874110595,True,True,0.15,8
01,extra_trees,0.12722561993826165,0.1309027499826514,0.0036771300443897426,0.001446437724615333,0.0014433874783365318,0.0015965571874110595,True,True,0.15,8
02,random_forest,0.12669209558189887,0.10934661844548088,-0.017345477136417986,0.0012189622768673347,0.0012310081572959358,0.0013613443945042255,True,True,0.15,8
02,extra_trees,0.2465725543607954,0.23730086502299552,-0.009271689337799871,0.0011322107876065703,0.0011391559873930354,0.0013613443945042255,True,True,0.15,8
01,random_forest,-0.005226505843082041,0.000895227081826655,0.006121732924908696,0.0016371019766753044,0.0016321094671486644,0.0016789377019114826,False,True,0.15,9
01,extra_trees,0.07705079037233997,0.08974545063912687,0.012694660266786895,0.0015686738910073049,0.0015578484129058704,0.0016789377019114826,True,True,0.15,9
02,random_forest,0.06944321221316452,0.08275867913495871,0.013315466921794195,0.0012331333030262623,0.0012242789762010248,0.0013366967432634094,True,True,0.15,9
02,extra_trees,0.19009992362967953,0.18685890592603338,-0.003241017703646154,0.0011504143917219788,0.001152713928923539,0.0013366967432634094,True,True,0.15,9
