test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,geometry,replicate,direction_seed
01,random_forest,0.042057721434534345,0.11948013269183377,0.07742241125729943,0.0016030902545385375,0.0015369434311555453,0.0016840946476168925,True,True,domainwise_residualizer,0,20260830
01,extra_trees,0.0457264638777749,0.1584159839956446,0.1126895201178697,0.0016000175395661112,0.0015025780580609474,0.0016840946476168925,True,True,domainwise_residualizer,0,20260830
02,random_forest,0.15843394038786252,0.1747007044256934,0.016266764037830894,0.0012750677085232283,0.0012626845845604866,0.0014440632633660176,True,True,domainwise_residualizer,0,20260830
02,extra_trees,0.22951487910101076,0.24676928233631112,0.017254403235300364,0.0012200321335161077,0.0012062939581031545,0.0014440632633660176,True,True,domainwise_residualizer,0,20260830
01,random_forest,0.1215948324374313,0.09371831486805937,-0.027876517569371928,0.0015044884743187856,0.0015281747717977986,0.001652349743537205,True,True,domainwise_residualizer,1,20260831
01,extra_trees,0.1511618968215097,0.13241523421647128,-0.018746662605038433,0.0014789512443273626,0.0014951934392939735,0.001652349743537205,True,True,domainwise_residualizer,1,20260831
02,random_forest,0.0812070671456353,0.058396881846282445,-0.02281018529935286,0.0012614379691129247,0.001277000361037739,0.0013730668101820213,True,True,domainwise_residualizer,1,20260831
02,extra_trees,0.2179601548631318,0.19029825576728887,-0.027661899095842934,0.001163781680585426,0.0011841851577381562,0.0013730668101820213,True,True,domainwise_residualizer,1,20260831
01,random_forest,0.04983504943862416,0.04918891384961899,-0.0006461355890051701,0.0015553048977788484,0.0015558336307415056,0.0016429524247751192,True,True,domainwise_residualizer,2,20260832
01,extra_trees,0.14110166792992584,0.14335823323389674,0.002256565303970892,0.0014787233005415666,0.0014767795138600202,0.0016429524247751192,True,True,domainwise_residualizer,2,20260832
02,random_forest,0.009024070635256898,0.03338258031728969,0.024358509682032792,0.0013032505120948842,0.0012871336966647098,0.001366519487385605,True,True,domainwise_residualizer,2,20260832
02,extra_trees,0.20432756239439098,0.2029596059365869,-0.001367956457804076,0.0011677866563726586,0.0011687900813980316,0.001366519487385605,True,True,domainwise_residualizer,2,20260832
01,random_forest,0.09028329691997183,0.13724764061773398,0.046964343697762145,0.0015422731732201648,0.0015019355531480203,0.0016637651059297467,True,True,domainwise_residualizer,3,20260833
01,extra_trees,0.06726677583647866,0.15375374021013644,0.08648696437365777,0.0015616616427717562,0.0014874987215124414,0.0016637651059297467,True,True,domainwise_residualizer,3,20260833
02,random_forest,0.18337622065328718,0.18751712138256027,0.004140900729273089,0.0012446452504494918,0.0012414855930994939,0.001431940972111054,True,True,domainwise_residualizer,3,20260833
02,extra_trees,0.24342981042730527,0.2486032988500292,0.005173488422723915,0.0011980065368747098,0.0011939034775645739,0.001431940972111054,True,True,domainwise_residualizer,3,20260833
01,random_forest,0.04483775743666063,0.06757662637694872,0.022738868940288093,0.0015954139225447619,0.001576309090944832,0.0016787726508011535,True,True,domainwise_residualizer,4,20260834
01,extra_trees,0.12241323538889326,0.14895977019407236,0.0265465348051791,0.0015292547452251948,0.0015059475612314848,0.0016787726508011535,True,True,domainwise_residualizer,4,20260834
02,random_forest,0.05726394350956776,0.06352999773789336,0.0062660542283256015,0.0012753864797763956,0.0012711408775462085,0.001370715770787404,True,True,domainwise_residualizer,4,20260834
02,extra_trees,0.18082782136827036,0.21367875607826126,0.0328509347099909,0.0011888699418244695,0.0011647876425018744,0.001370715770787404,True,True,domainwise_residualizer,4,20260834
