test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate,direction_seed
01,random_forest,0.018258424856717692,0.12249311944346264,0.10423469458674495,0.0016910409828623614,0.0015987509173770672,0.0017510710427919183,True,True,0.45,0,20260830
01,extra_trees,0.020982135508309407,0.17488680373108867,0.15390466822277926,0.0016886935701058159,0.0015502877235182104,0.0017510710427919183,True,True,0.45,0,20260830
02,random_forest,0.15468161663226998,0.24020270423194878,0.0855210875996788,0.0013675532002550052,0.0012965311188877864,0.001538138455321395,True,True,0.45,0,20260830
02,extra_trees,0.21371831036139832,0.2738347936283744,0.06011648326697605,0.0013189342750629925,0.0012675111586235917,0.001538138455321395,True,True,0.45,0,20260830
01,random_forest,0.11782618709237869,0.10954098336322149,-0.008285203729157198,0.0015586677158781097,0.0015659699616381454,0.0017051032626083907,True,True,0.45,1,20260831
01,extra_trees,0.15889778290092493,0.12390872749498638,-0.03498905540593855,0.0015219516231114497,0.001553284956858448,0.0017051032626083907,True,True,0.45,1,20260831
02,random_forest,0.07913036025456677,0.10666864759799921,0.027538287343432444,0.0013270582390758458,0.0013070650237256985,0.0014373101762210777,True,True,0.45,1,20260831
02,extra_trees,0.1732432957985458,0.18946746040839268,0.01622416460984688,0.0012574182746576922,0.001245019439738989,0.0014373101762210777,True,True,0.45,1,20260831
01,random_forest,0.06496901067493932,0.0702803887825667,0.005311378107627385,0.001591093132323205,0.0015865676498970245,0.0016914273938949446,True,True,0.45,2,20260832
01,extra_trees,0.12608043197560592,0.1494486945223129,0.023368262546706986,0.0015382195641320178,0.0015175145247005182,0.0016914273938949446,True,True,0.45,2,20260832
02,random_forest,-0.013789865056263562,0.011718706516791855,0.025508571573055416,0.0013825733293841278,0.0013650686402452016,0.001427919853822491,False,True,0.45,2,20260832
02,extra_trees,0.1611726887881707,0.1734422931275046,0.012269604339333884,0.001257623034587223,0.001248391468511181,0.001427919853822491,True,True,0.45,2,20260832
01,random_forest,0.06698415972311655,0.11490823785168225,0.047924078128565695,0.0016193946170778805,0.0015772565228336108,0.0017216733474357765,True,True,0.45,3,20260833
01,extra_trees,0.07079669916397291,0.15393605396351673,0.08313935479954382,0.001616082601547708,0.001542090199453591,0.0017216733474357765,True,True,0.45,3,20260833
02,random_forest,0.18282050252846915,0.22504545063675974,0.04222494810829058,0.001328612702688785,0.001293831693857318,0.0015210438081294845,True,True,0.45,3,20260833
02,extra_trees,0.2391896499621109,0.27542522506731615,0.03623557510520525,0.0012819700392015982,0.001251069033916498,0.0015210438081294845,True,True,0.45,3,20260833
01,random_forest,0.052060775388816816,0.12667293102646437,0.07461215563764756,0.0016539987550543618,0.0015875718584228396,0.0017433886667417213,True,True,0.45,4,20260834
01,extra_trees,0.11415526498435791,0.19767858127802374,0.08352331629366583,0.0015989089567995597,0.0015216652553078057,0.0017433886667417213,True,True,0.45,4,20260834
02,random_forest,0.031527618556121406,0.07692219083944485,0.04539457228332344,0.0013574787847787098,0.0013252828751906872,0.0014339401770162798,True,True,0.45,4,20260834
02,extra_trees,0.1676599060706636,0.21127117986416577,0.04361127379350216,0.0012584612239135904,0.001225048508848056,0.0014339401770162798,True,True,0.45,4,20260834
