embryo,embryo_code,id,start,end,duration,depth,parent,grandparent,parent_duration,grandparent_duration,parent_minus_grandparent,group_depth2,group_depth1
01,0,3,18,34,17,2,2,1,14,4,10,01:3,01:2
01,0,4,35,59,25,3,3,2,17,14,3,01:3,01:2
01,0,5,60,86,27,4,4,3,25,17,8,01:3,01:2
01,0,6,87,122,36,5,5,4,27,25,2,01:3,01:2
01,0,7,123,166,44,6,6,5,36,27,9,01:3,01:2
01,0,10,123,168,46,6,6,5,36,27,9,01:3,01:2
01,0,13,87,120,34,5,5,4,27,25,2,01:3,01:2
01,0,14,121,165,45,6,13,5,34,27,7,01:3,01:2
01,0,17,121,162,42,6,13,5,34,27,7,01:3,01:2
01,0,20,60,87,28,4,4,3,25,17,8,01:3,01:2
01,0,21,88,122,35,5,20,4,28,25,3,01:3,01:2
01,0,22,123,169,47,6,21,20,35,28,7,01:3,01:2
01,0,25,123,169,47,6,21,20,35,28,7,01:3,01:2
01,0,28,88,119,32,5,20,4,28,25,3,01:3,01:2
01,0,29,120,166,47,6,28,20,32,28,4,01:3,01:2
01,0,32,120,163,44,6,28,20,32,28,4,01:3,01:2
01,0,35,35,59,25,3,3,2,17,14,3,01:3,01:2
01,0,36,60,86,27,4,35,3,25,17,8,01:3,01:2
01,0,37,87,123,37,5,36,35,27,25,2,01:3,01:2
01,0,38,124,171,48,6,37,36,37,27,10,01:3,01:2
01,0,41,124,168,45,6,37,36,37,27,10,01:3,01:2
01,0,44,87,120,34,5,36,35,27,25,2,01:3,01:2
01,0,45,121,168,48,6,44,36,34,27,7,01:3,01:2
01,0,48,121,163,43,6,44,36,34,27,7,01:3,01:2
01,0,51,60,87,28,4,35,3,25,17,8,01:3,01:2
01,0,52,88,126,39,5,51,35,28,25,3,01:3,01:2
01,0,53,127,177,51,6,52,51,39,28,11,01:3,01:2
01,0,56,127,169,43,6,52,51,39,28,11,01:3,01:2
01,0,59,88,119,32,5,51,35,28,25,3,01:3,01:2
01,0,60,120,162,43,6,59,51,32,28,4,01:3,01:2
01,0,63,120,161,42,6,59,51,32,28,4,01:3,01:2
01,0,66,18,34,17,2,2,1,14,4,10,01:66,01:2
01,0,67,35,58,24,3,66,2,17,14,3,01:66,01:2
01,0,68,59,85,27,4,67,66,24,17,7,01:66,01:2
01,0,69,86,121,36,5,68,67,27,24,3,01:66,01:2
01,0,70,122,167,46,6,69,68,36,27,9,01:66,01:2
01,0,73,122,167,46,6,69,68,36,27,9,01:66,01:2
01,0,76,86,116,31,5,68,67,27,24,3,01:66,01:2
01,0,77,117,153,37,6,76,68,31,27,4,01:66,01:2
01,0,80,117,165,49,6,76,68,31,27,4,01:66,01:2
01,0,83,59,86,28,4,67,66,24,17,7,01:66,01:2
01,0,84,87,119,33,5,83,67,28,24,4,01:66,01:2
01,0,85,120,164,45,6,84,83,33,28,5,01:66,01:2
01,0,88,120,165,46,6,84,83,33,28,5,01:66,01:2
01,0,91,87,117,31,5,83,67,28,24,4,01:66,01:2
01,0,92,118,158,41,6,91,83,31,28,3,01:66,01:2
01,0,95,118,157,40,6,91,83,31,28,3,01:66,01:2
01,0,98,35,59,25,3,66,2,17,14,3,01:66,01:2
01,0,99,60,88,29,4,98,66,25,17,8,01:66,01:2
01,0,100,89,128,40,5,99,98,29,25,4,01:66,01:2
01,0,101,129,177,49,6,100,99,40,29,11,01:66,01:2
01,0,104,129,175,47,6,100,99,40,29,11,01:66,01:2
01,0,107,89,121,33,5,99,98,29,25,4,01:66,01:2
01,0,108,122,162,41,6,107,99,33,29,4,01:66,01:2
01,0,111,122,162,41,6,107,99,33,29,4,01:66,01:2
01,0,114,60,87,28,4,98,66,25,17,8,01:66,01:2
01,0,115,88,122,35,5,114,98,28,25,3,01:66,01:2
01,0,116,123,170,48,6,115,114,35,28,7,01:66,01:2
01,0,119,123,164,42,6,115,114,35,28,7,01:66,01:2
01,0,122,88,120,33,5,114,98,28,25,3,01:66,01:2
01,0,123,121,164,44,6,122,114,33,28,5,01:66,01:2
01,0,126,121,158,38,6,122,114,33,28,5,01:66,01:2
01,0,130,19,34,16,2,129,1,15,4,11,01:130,01:129
01,0,131,35,57,23,3,130,129,16,15,1,01:130,01:129
01,0,132,58,86,29,4,131,130,23,16,7,01:130,01:129
01,0,133,87,123,37,5,132,131,29,23,6,01:130,01:129
01,0,134,124,170,47,6,133,132,37,29,8,01:130,01:129
01,0,137,124,173,50,6,133,132,37,29,8,01:130,01:129
01,0,140,87,118,32,5,132,131,29,23,6,01:130,01:129
01,0,141,119,155,37,6,140,132,32,29,3,01:130,01:129
01,0,144,119,161,43,6,140,132,32,29,3,01:130,01:129
01,0,147,58,84,27,4,131,130,23,16,7,01:130,01:129
01,0,148,85,119,35,5,147,131,27,23,4,01:130,01:129
01,0,149,120,162,43,6,148,147,35,27,8,01:130,01:129
01,0,152,120,161,42,6,148,147,35,27,8,01:130,01:129
01,0,155,85,116,32,5,147,131,27,23,4,01:130,01:129
01,0,156,117,159,43,6,155,147,32,27,5,01:130,01:129
01,0,159,117,160,44,6,155,147,32,27,5,01:130,01:129
01,0,162,35,58,24,3,130,129,16,15,1,01:130,01:129
01,0,163,59,86,28,4,162,130,24,16,8,01:130,01:129
01,0,164,87,122,36,5,163,162,28,24,4,01:130,01:129
01,0,165,123,170,48,6,164,163,36,28,8,01:130,01:129
01,0,168,123,166,44,6,164,163,36,28,8,01:130,01:129
01,0,171,87,118,32,5,163,162,28,24,4,01:130,01:129
01,0,172,119,160,42,6,171,163,32,28,4,01:130,01:129
01,0,175,119,158,40,6,171,163,32,28,4,01:130,01:129
01,0,178,59,86,28,4,162,130,24,16,8,01:130,01:129
01,0,179,87,123,37,5,178,162,28,24,4,01:130,01:129
01,0,180,124,171,48,6,179,178,37,28,9,01:130,01:129
01,0,183,124,167,44,6,179,178,37,28,9,01:130,01:129
01,0,186,87,119,33,5,178,162,28,24,4,01:130,01:129
01,0,187,120,162,43,6,186,178,33,28,5,01:130,01:129
01,0,190,120,160,41,6,186,178,33,28,5,01:130,01:129
01,0,193,19,34,16,2,129,1,15,4,11,01:193,01:129
01,0,194,35,59,25,3,193,129,16,15,1,01:193,01:129
01,0,195,60,85,26,4,194,193,25,16,9,01:193,01:129
01,0,196,86,130,45,5,195,194,26,25,1,01:193,01:129
01,0,197,131,178,48,6,196,195,45,26,19,01:193,01:129
01,0,200,131,179,49,6,196,195,45,26,19,01:193,01:129
01,0,203,86,119,34,5,195,194,26,25,1,01:193,01:129
01,0,204,120,162,43,6,203,195,34,26,8,01:193,01:129
