sim,split,outcome,estimator,delta_r2,noise_sd
180,80,complete,ridge,-0.003567615812120839,5.839864623879145
180,80,complete,random_forest,0.0005270340405585383,5.839864623879145
180,80,complete,hist_gb,0.05343650570577496,5.839864623879145
180,80,incomplete,ridge,0.019526673591559907,5.839864623879145
180,80,incomplete,random_forest,0.07979743187825972,5.839864623879145
180,80,incomplete,hist_gb,0.13857870592067412,5.839864623879145
181,81,complete,ridge,0.00622320565492851,5.839864623879145
181,81,complete,random_forest,0.00290184450131703,5.839864623879145
181,81,complete,hist_gb,-0.019454361359511063,5.839864623879145
181,81,incomplete,ridge,0.01965716376760518,5.839864623879145
181,81,incomplete,random_forest,0.013110567285765873,5.839864623879145
181,81,incomplete,hist_gb,-0.004148187411741833,5.839864623879145
182,82,complete,ridge,-0.006541311727537025,5.839864623879145
182,82,complete,random_forest,0.02069943366156579,5.839864623879145
182,82,complete,hist_gb,0.009218097672125891,5.839864623879145
182,82,incomplete,ridge,0.003255527791441226,5.839864623879145
182,82,incomplete,random_forest,0.028169014118997193,5.839864623879145
182,82,incomplete,hist_gb,0.005289665687431944,5.839864623879145
183,83,complete,ridge,-0.013672958634264432,5.839864623879145
183,83,complete,random_forest,0.00015096963706984212,5.839864623879145
183,83,complete,hist_gb,0.022879916836642034,5.839864623879145
183,83,incomplete,ridge,-0.005056160401139875,5.839864623879145
183,83,incomplete,random_forest,0.02295659688778584,5.839864623879145
183,83,incomplete,hist_gb,0.029491238599845593,5.839864623879145
184,84,complete,ridge,-0.012760798868857948,5.839864623879145
184,84,complete,random_forest,0.0008371693139037628,5.839864623879145
184,84,complete,hist_gb,0.005491247397797716,5.839864623879145
184,84,incomplete,ridge,-0.006809218029123043,5.839864623879145
184,84,incomplete,random_forest,0.014322011602426965,5.839864623879145
184,84,incomplete,hist_gb,0.009352674870380051,5.839864623879145
185,85,complete,ridge,-0.0009540323082330993,5.839864623879145
185,85,complete,random_forest,0.026863546750536926,5.839864623879145
185,85,complete,hist_gb,0.004237817795082699,5.839864623879145
185,85,incomplete,ridge,0.011414805196826583,5.839864623879145
185,85,incomplete,random_forest,0.03618945104499993,5.839864623879145
185,85,incomplete,hist_gb,0.0108860759335353,5.839864623879145
186,86,complete,ridge,0.007024623173443212,5.839864623879145
186,86,complete,random_forest,-0.006099477950477827,5.839864623879145
186,86,complete,hist_gb,-0.024101919078160394,5.839864623879145
186,86,incomplete,ridge,0.020257905252553998,5.839864623879145
186,86,incomplete,random_forest,0.016621828433348584,5.839864623879145
186,86,incomplete,hist_gb,-0.011270779149196053,5.839864623879145
187,87,complete,ridge,0.015733553680461476,5.839864623879145
187,87,complete,random_forest,0.024784838607355475,5.839864623879145
187,87,complete,hist_gb,0.0055795264885497575,5.839864623879145
187,87,incomplete,ridge,0.03124114364869557,5.839864623879145
187,87,incomplete,random_forest,0.04538430391813719,5.839864623879145
187,87,incomplete,hist_gb,0.022613660812116243,5.839864623879145
188,88,complete,ridge,-0.00046935294421757145,5.839864623879145
188,88,complete,random_forest,0.035470190316501116,5.839864623879145
188,88,complete,hist_gb,0.0288038110129063,5.839864623879145
188,88,incomplete,ridge,0.016783106770346223,5.839864623879145
188,88,incomplete,random_forest,0.05016175850995719,5.839864623879145
188,88,incomplete,hist_gb,0.06826151260911728,5.839864623879145
189,89,complete,ridge,-0.0068130670647792435,5.839864623879145
189,89,complete,random_forest,-0.05777676724288172,5.839864623879145
189,89,complete,hist_gb,-0.060249342172468134,5.839864623879145
189,89,incomplete,ridge,0.006682263380020204,5.839864623879145
189,89,incomplete,random_forest,-0.020755541074199302,5.839864623879145
189,89,incomplete,hist_gb,-0.031206153195582176,5.839864623879145
190,90,complete,ridge,0.010909599729280628,5.839864623879145
190,90,complete,random_forest,0.008461828060457921,5.839864623879145
190,90,complete,hist_gb,-0.04024304852592642,5.839864623879145
190,90,incomplete,ridge,0.03824553181225021,5.839864623879145
190,90,incomplete,random_forest,0.05676247189430006,5.839864623879145
190,90,incomplete,hist_gb,0.02620659304866213,5.839864623879145
191,91,complete,ridge,9.58874259853193e-05,5.839864623879145
