sim,split,outcome,estimator,delta_r2,noise_sd
0,0,complete,ridge,0.0123205326224133,5.839864623879145
0,0,complete,random_forest,-0.0337550792529176,5.839864623879145
0,0,complete,hist_gb,-0.027719362001225,5.839864623879145
0,0,incomplete,ridge,0.0244725880652757,5.839864623879145
0,0,incomplete,random_forest,-0.0083133452314533,5.839864623879145
0,0,incomplete,hist_gb,0.0018118224230703,5.839864623879145
1,1,complete,ridge,-0.0253445658359916,5.839864623879145
1,1,complete,random_forest,0.020629894444734,5.839864623879145
1,1,complete,hist_gb,0.0087840416594801,5.839864623879145
1,1,incomplete,ridge,-0.0171035730054204,5.839864623879145
1,1,incomplete,random_forest,-0.0036363826189063,5.839864623879145
1,1,incomplete,hist_gb,0.004148690231658,5.839864623879145
2,2,complete,ridge,-0.0163795988095358,5.839864623879145
2,2,complete,random_forest,0.0474163561278722,5.839864623879145
2,2,complete,hist_gb,0.010191214917562,5.839864623879145
2,2,incomplete,ridge,-0.0027162854949539,5.839864623879145
2,2,incomplete,random_forest,0.0341015220090004,5.839864623879145
2,2,incomplete,hist_gb,0.0106051664447354,5.839864623879145
3,3,complete,ridge,-0.0058749691002858,5.839864623879145
3,3,complete,random_forest,-0.0319417533691688,5.839864623879145
3,3,complete,hist_gb,-0.0581211000638903,5.839864623879145
3,3,incomplete,ridge,0.0005968167977594,5.839864623879145
3,3,incomplete,random_forest,-0.0148677086351929,5.839864623879145
3,3,incomplete,hist_gb,-0.0464147276124855,5.839864623879145
4,4,complete,ridge,-0.0140260819274465,5.839864623879145
4,4,complete,random_forest,-0.0206747599145036,5.839864623879145
4,4,complete,hist_gb,-0.0257927477896043,5.839864623879145
4,4,incomplete,ridge,0.0062205623405329,5.839864623879145
4,4,incomplete,random_forest,0.024263665297309,5.839864623879145
4,4,incomplete,hist_gb,0.0115858708221686,5.839864623879145
5,5,complete,ridge,0.0108466575033645,5.839864623879145
5,5,complete,random_forest,0.0161570599152879,5.839864623879145
5,5,complete,hist_gb,0.0065082784258618,5.839864623879145
5,5,incomplete,ridge,0.0241412313731361,5.839864623879145
5,5,incomplete,random_forest,0.0182027997043351,5.839864623879145
5,5,incomplete,hist_gb,0.0061077153951363,5.839864623879145
6,6,complete,ridge,0.0067177830614688,5.839864623879145
6,6,complete,random_forest,0.0365650743439472,5.839864623879145
6,6,complete,hist_gb,0.0239229830177822,5.839864623879145
6,6,incomplete,ridge,0.0211066548077519,5.839864623879145
6,6,incomplete,random_forest,0.0715109726259,5.839864623879145
6,6,incomplete,hist_gb,0.0707046049071687,5.839864623879145
7,7,complete,ridge,0.0137618912249878,5.839864623879145
7,7,complete,random_forest,0.0113789013440036,5.839864623879145
7,7,complete,hist_gb,0.0284308649752158,5.839864623879145
7,7,incomplete,ridge,0.036698145705833,5.839864623879145
7,7,incomplete,random_forest,0.0806442968677696,5.839864623879145
7,7,incomplete,hist_gb,0.0940118654979933,5.839864623879145
8,8,complete,ridge,-0.0283603770174474,5.839864623879145
8,8,complete,random_forest,0.0404631692399153,5.839864623879145
8,8,complete,hist_gb,-0.0012070230008758,5.839864623879145
8,8,incomplete,ridge,-0.0100948283049551,5.839864623879145
8,8,incomplete,random_forest,0.0529052120656019,5.839864623879145
8,8,incomplete,hist_gb,0.0236985423225217,5.839864623879145
9,9,complete,ridge,-0.0310913957276274,5.839864623879145
9,9,complete,random_forest,0.0065312919618357,5.839864623879145
9,9,complete,hist_gb,0.0023031763568757,5.839864623879145
