split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
0,ridge,0.6671796739203568,0.8112852200002965,0.1441055460799396,4.0839395700616254,3.468081066472966,-0.6158585035886595,499,202,9,3,0
0,random_forest,0.6055865966740379,0.8284104161871118,0.2228238195130738,3.9881401295302688,3.1603232266193766,-0.8278169029108922,499,202,9,3,0
0,hist_gb,0.647797278399985,0.8278318883886259,0.1800346099886408,3.795319294501741,3.171227487705647,-0.6240918067960939,499,202,9,3,0
1,ridge,0.8258044726997148,0.7408074963292177,-0.084996976370497,2.526176754504975,3.161548383448637,0.6353716289436622,569,132,9,3,0
1,random_forest,0.5865335569111823,0.8774898257348648,0.2909562688236825,3.268286874678588,2.130053842978587,-1.1382330317000005,569,132,9,3,0
1,hist_gb,0.5744459776034414,0.8624929067117806,0.2880469291083392,3.2301389393982887,2.197732241733057,-1.0324066976652315,569,132,9,3,0
2,ridge,0.4708762108163018,0.7169007196441455,0.2460245088278436,5.221540525850328,4.354320430892106,-0.8672200949582214,617,84,9,3,0
2,random_forest,0.2626290616863104,0.7732423310728003,0.5106132693864899,5.760625982337746,3.3246875042428266,-2.43593847809492,617,84,9,3,0
2,hist_gb,0.3909246976310102,0.7519342630794477,0.3610095654484374,5.272849219285134,3.4442332913215084,-1.8286159279636256,617,84,9,3,0
3,ridge,0.8972714420681152,0.8515318644055951,-0.04573957766252,2.2478056387471312,2.798546364491032,0.5507407257439003,515,186,9,3,0
3,random_forest,0.823477815028177,0.904212546277618,0.080734731249441,2.9334179456416467,2.1390494275023344,-0.7943685181393123,515,186,9,3,0
3,hist_gb,0.8663227554792234,0.8981560323369653,0.0318332768577418,2.548178616385954,2.176350725050032,-0.3718278913359225,515,186,9,3,0
4,ridge,0.4466864474339993,0.6144628192683157,0.1677763718343163,5.283930985391254,4.568188137619764,-0.71574284777149,536,165,9,3,0
4,random_forest,0.3566028569304438,0.5604528963258959,0.2038500393954521,5.614724889016343,4.677205042089312,-0.9375198469270308,536,165,9,3,0
4,hist_gb,0.3120122386131657,0.6525133149557789,0.3405010763426132,5.649340603839288,4.366113126585817,-1.2832274772534715,536,165,9,3,0
5,ridge,0.7263460282418912,0.7856222986734308,0.0592762704315396,3.587164929472884,3.218896458250691,-0.3682684712221928,387,314,9,3,0
5,random_forest,0.7282162603815637,0.7550221409748689,0.0268058805933051,3.651972359801849,3.387160276555945,-0.2648120832459035,387,314,9,3,0
5,hist_gb,0.7952998905236539,0.7447318710193811,-0.0505680195042728,3.1318244665962145,3.4963846482109124,0.3645601816146979,387,314,9,3,0
6,ridge,0.6995682725531485,0.7634138117621609,0.0638455392090124,3.92243357257669,3.4031504164666235,-0.5192831561100664,420,281,9,3,0
6,random_forest,0.645973139929895,0.6316978555508066,-0.0142752843790884,4.362057859100844,4.188760102680058,-0.1732977564207862,420,281,9,3,0
6,hist_gb,0.625613255252876,0.5857520228027795,-0.0398612324500965,4.152757883066396,4.383507559684395,0.2307496766179984,420,281,9,3,0
7,ridge,0.5100399175028222,0.6415162823087392,0.131476364805917,4.695927785289375,4.291162595980962,-0.4047651893084127,472,229,9,3,0
7,random_forest,0.4111266578727292,0.6072534208723428,0.1961267629996136,4.952509047199879,4.2869461220317495,-0.6655629251681292,472,229,9,3,0
7,hist_gb,0.391264097487801,0.6796954169274109,0.2884313194396098,4.964206990716397,4.09102763639362,-0.8731793543227768,472,229,9,3,0
8,ridge,0.6427304409220588,0.7996918255352399,0.1569613846131811,4.530956901133704,3.728848717856799,-0.8021081832769057,532,169,9,3,0
8,random_forest,0.5447728828257901,0.803075664473387,0.2583027816475969,4.675576100898169,3.6635855826950032,-1.011990518203166,532,169,9,3,0
8,hist_gb,0.5458135319783423,0.6455306527297406,0.0997171207513983,4.700123459403566,4.273114133017986,-0.4270093263855807,532,169,9,3,0
9,ridge,0.6416129034787503,0.7053539808415199,0.0637410773627695,4.421645579950751,4.023415057115508,-0.3982305228352434,563,138,9,3,0
9,random_forest,-0.3501851610556046,0.6689980867968831,1.0191832478524878,6.869695579244944,3.5826773631448168,-3.287018216100127,563,138,9,3,0
9,hist_gb,-0.2539461878033879,0.63010459640882,0.884050784212208,6.678455394486723,3.8252793637119353,-2.8531760307747875,563,138,9,3,0
10,ridge,0.6232256879693592,0.7010849566205569,0.0778592686511977,4.10577701768015,3.81622125872268,-0.2895557589574693,449,252,9,3,0
10,random_forest,0.5921360266519977,0.6638100746818831,0.0716740480298854,4.016678561908701,3.893266730315164,-0.1234118315935366,449,252,9,3,0
10,hist_gb,0.583759804885359,0.7318288877566685,0.1480690828713096,3.883125052767447,3.5967503603903004,-0.2863746923771466,449,252,9,3,0
11,ridge,0.6067180301804618,0.7245147425614893,0.1177967123810275,4.151675278844792,3.692437834480265,-0.4592374443645264,513,188,9,3,0
11,random_forest,0.504237156677092,0.6408409464877076,0.1366037898106156,4.716320755038745,4.036542513406463,-0.679778241632282,513,188,9,3,0
11,hist_gb,0.5111344731912,0.7273142638933734,0.2161797907021734,4.482349096923552,3.687930031909759,-0.7944190650137934,513,188,9,3,0
12,ridge,0.708411720225758,0.6848032991978523,-0.0236084210279057,3.3803993306415028,3.573864607289116,0.193465276647613,474,227,9,3,0
12,random_forest,0.6581534217596692,0.7166530968089464,0.0584996750492772,3.514684528929212,3.228023384298155,-0.2866611446310569,474,227,9,3,0
12,hist_gb,0.701678095394672,0.7009612715599361,-0.0007168238347358,3.342610217085494,3.264159525545388,-0.0784506915401062,474,227,9,3,0
13,ridge,0.4466864474339993,0.6144628192683157,0.1677763718343163,5.283930985391254,4.568188137619764,-0.71574284777149,536,165,9,3,0
13,random_forest,0.352000835296816,0.545481651763338,0.1934808164665219,5.615992106193992,4.763061097749333,-0.8529310084446591,536,165,9,3,0
13,hist_gb,0.3120122386131657,0.6525133149557789,0.3405010763426132,5.649340603839288,4.366113126585817,-1.2832274772534715,536,165,9,3,0
14,ridge,0.5714264879228266,0.7945145253363212,0.2230880374134946,4.617329330923475,3.78824678280381,-0.8290825481196644,596,105,9,3,0
14,random_forest,0.414317349502192,0.8089666969127481,0.3946493474105561,5.35417369741214,3.316434831191981,-2.0377388662201588,596,105,9,3,0
14,hist_gb,0.4334278123424838,0.5814438855077215,0.1480160731652376,5.298438879033959,4.421188407584964,-0.8772504714489946,596,105,9,3,0
15,ridge,0.4440977531200308,0.684980324183559,0.2408825710635281,5.430801481134115,4.356326955953997,-1.0744745251801184,586,115,9,3,0
15,random_forest,0.3510397614350559,0.6713108752146617,0.3202711137796058,6.11766955277161,4.407654879340499,-1.710014673431111,586,115,9,3,0
15,hist_gb,0.4056618997813275,0.6705588492487573,0.2648969494674298,5.784250097560314,4.433671256072188,-1.350578841488126,586,115,9,3,0
16,ridge,0.7578103244227631,0.8005144389685686,0.0427041145458054,3.451823654223456,3.143226547063395,-0.308597107160061,530,171,9,3,0
16,random_forest,-0.1128237058994856,0.8312483991823149,0.9440721050818004,5.723127652199644,2.814651107627797,-2.9084765445718466,530,171,9,3,0
16,hist_gb,-0.22609066713248,0.7813898930956475,1.0074805602281276,5.778833031693922,3.0945420518622524,-2.6842909798316694,530,171,9,3,0
17,ridge,0.5403409775364127,0.5748116767593582,0.0344706992229454,4.5557057705747965,4.405073440365371,-0.1506323302094259,553,148,9,3,0
17,random_forest,-0.5213187484721444,0.640790069098019,1.1621088175701637,7.28233060574672,3.681967362557743,-3.600363243188977,553,148,9,3,0
17,hist_gb,-0.725312024431205,0.5973878741189899,1.3226998985501948,7.72075193517771,4.07869550956608,-3.642056425611631,553,148,9,3,0
18,ridge,0.5576889283524309,0.740165260979777,0.182476332627346,4.968517811417668,4.079107326738934,-0.8894104846787334,553,148,9,3,0
18,random_forest,0.4449000817789351,0.7715837170012302,0.326683635222295,4.835124306794117,3.583139740422141,-1.2519845663719755,553,148,9,3,0
18,hist_gb,0.5096813087043445,0.7692217510511316,0.2595404423467871,4.657648266589073,3.686720140876843,-0.9709281257122298,553,148,9,3,0
19,ridge,0.6067733249997109,0.6879332796963324,0.0811599546966215,4.1685200071911686,3.872303741357936,-0.2962162658332326,449,252,9,3,0
19,random_forest,0.5824203398926626,0.642129752184567,0.0597094122919044,4.018906914014941,3.909635154518438,-0.1092717594965035,449,252,9,3,0
19,hist_gb,0.5717217236933788,0.7143499087545815,0.1426281850612026,3.8935968123739775,3.634764825387084,-0.2588319869868938,449,252,9,3,0
