split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
0,ridge,0.6986314566718321,0.6642014022025833,-0.0344300544692488,3.5857636484078497,3.959413213556175,0.3736495651483253,520,181,18,6,0
0,random_forest,0.6038102963895187,0.7140287483958957,0.110218452006377,4.054807295188535,3.289679653427776,-0.7651276417607593,520,181,18,6,0
0,hist_gb,0.6487205211824355,0.7135056629030553,0.0647851417206197,3.811925313270753,3.285858377235487,-0.5260669360352654,520,181,18,6,0
1,ridge,0.637241077315785,0.7230138246487063,0.0857727473329212,4.104508188958714,3.903659530111923,-0.2008486588467906,547,154,18,6,0
1,random_forest,0.6369950917867415,0.7179928812410326,0.080997789454291,4.411337286106285,3.820080611739124,-0.5912566743671608,547,154,18,6,0
1,hist_gb,0.6593684556629908,0.7419875894078831,0.0826191337448922,4.285377278444399,3.727648061796126,-0.5577292166482728,547,154,18,6,0
2,ridge,0.7894406338556283,0.7919170877940329,0.0024764539384045,3.162330122946439,3.2305301327171696,0.0682000097707304,469,232,18,6,0
2,random_forest,0.7925175802032802,0.7504361133050876,-0.0420814668981925,3.2411078814740213,3.315260546926128,0.074152665452106,469,232,18,6,0
2,hist_gb,0.7747225549309497,0.7344254550011369,-0.0402970999298127,3.2427704157842787,3.3500737629420545,0.1073033471577757,469,232,18,6,0
3,ridge,0.5088482795108193,0.6715073414728501,0.1626590619620307,4.769830582501422,4.317131867092743,-0.4526987154086788,547,154,18,6,0
3,random_forest,0.492405474406079,0.6932192693174144,0.2008137949113353,4.799346493233552,4.052637460139075,-0.7467090330944766,547,154,18,6,0
3,hist_gb,0.4934240715046261,0.6193605873657262,0.1259365158611001,4.642397821514213,4.538641220392444,-0.1037566011217689,547,154,18,6,0
4,ridge,0.8141372019030613,0.8121478398534099,-0.0019893620496513,2.95164896741584,3.120311236946849,0.1686622695310089,452,249,18,6,0
4,random_forest,0.8048340157955388,0.8383094158991783,0.0334754001036394,3.0745442570955346,2.7377570644279965,-0.3367871926675381,452,249,18,6,0
4,hist_gb,0.8101525608241839,0.8194574111405591,0.0093048503163752,2.9809665420796017,2.802765383464111,-0.1782011586154905,452,249,18,6,0
5,ridge,0.5553005158762289,0.7050957452375171,0.1497952293612882,4.638869536320681,4.050486118389083,-0.5883834179315981,506,195,18,6,0
5,random_forest,0.4293767295249158,0.6228383818480785,0.1934616523231627,4.844150316851523,4.238781325169726,-0.6053689916817966,506,195,18,6,0
5,hist_gb,0.4538311466294875,0.7162072257045811,0.2623760790750935,4.775349383724465,3.9576155379691462,-0.8177338457553183,506,195,18,6,0
6,ridge,0.8099381615214802,0.7811015976168305,-0.0288365639046497,3.1632001867631283,3.505184723284726,0.3419845365215983,497,204,18,6,0
6,random_forest,0.7596876519691957,0.8482017971722526,0.0885141452030569,3.555803047993942,2.64311859729081,-0.9126844507031326,497,204,18,6,0
6,hist_gb,0.759218021191614,0.8482092716072294,0.0889912504156154,3.353392995177104,2.646530367374498,-0.7068626278026056,497,204,18,6,0
7,ridge,0.5792030203113003,0.769225041437993,0.1900220211266926,5.4357337467978,4.254915637297311,-1.180818109500489,578,123,18,6,0
7,random_forest,0.3837410705245563,0.7792645611988874,0.3955234906743311,6.712363298606401,4.2201604191687085,-2.4922028794376923,578,123,18,6,0
7,hist_gb,0.411354446476263,0.6127406605163922,0.2013862140401291,6.584718376675578,5.007297170412525,-1.577421206263053,578,123,18,6,0
8,ridge,0.5883158851411581,0.7089025271013529,0.1205866419601948,4.427640730703446,3.965349752133506,-0.4622909785699405,498,203,18,6,0
8,random_forest,0.5103606894925563,0.6195977426358625,0.1092370531433062,4.570815816582505,4.185448536293372,-0.3853672802891328,498,203,18,6,0
8,hist_gb,0.5324992912185741,0.7131390867912639,0.1806397955726898,4.439018158264745,4.057159591837623,-0.3818585664271223,498,203,18,6,0
9,ridge,0.6899752029557933,0.7282147681167528,0.0382395651609595,3.4047091040548145,3.30190490635147,-0.1028041977033447,546,155,18,6,0
9,random_forest,0.6575138582928215,0.7037429642693318,0.0462291059765103,3.6247548576223423,3.058766472005013,-0.5659883856173291,546,155,18,6,0
9,hist_gb,0.6201161710977113,0.7466463051064693,0.126530134008758,3.659105766247599,3.00280385429852,-0.6563019119490789,546,155,18,6,0
