split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
0,ridge,0.7400669040270362,0.7393660248536881,-0.0007008791733481,3.6947313720411374,3.7141194713671215,0.019388099325984,475,226,18,6,0
0,random_forest,0.7172759330953307,0.8149053452629287,0.097629412167598,3.7242634561321566,2.947658878247674,-0.7766045778844828,475,226,18,6,0
0,hist_gb,0.6572591090466224,0.7827384149128347,0.1254793058662122,3.952320282327528,3.2054170297196745,-0.7469032526078534,475,226,18,6,0
1,ridge,0.7816485641759993,0.796410841918987,0.0147622777429877,3.193397864150369,3.1978469964078378,0.0044491322574686,460,241,18,6,0
1,random_forest,0.804613102662971,0.8699015582696062,0.0652884556066352,3.012673195686692,2.489014604406032,-0.5236585912806602,460,241,18,6,0
1,hist_gb,0.8023723773155963,0.8673117750847051,0.0649393977691088,2.9833615090987653,2.412740369470324,-0.5706211396284413,460,241,18,6,0
2,ridge,0.7012241488696298,0.7302786545411248,0.029054505671495,3.7500569967776505,3.7678470579822094,0.0177900612045589,577,124,18,6,0
2,random_forest,0.6152283792613823,0.8316944968695291,0.2164661176081468,4.198361376082465,2.7657622216028783,-1.4325991544795866,577,124,18,6,0
2,hist_gb,0.5785303526782102,0.8025072548860547,0.2239769022078445,4.237281821254319,3.092409979123849,-1.1448718421304696,577,124,18,6,0
3,ridge,0.70871790204359,0.7352089957571883,0.0264910937135983,3.457509553639172,3.301338408807622,-0.1561711448315494,507,194,18,6,0
3,random_forest,0.7271567129918509,0.7437780704139205,0.0166213574220696,3.2576946976919188,2.973279371967795,-0.2844153257241237,507,194,18,6,0
3,hist_gb,0.7085781898379309,0.7431315554671021,0.0345533656291712,3.353196294691992,2.9727135334861416,-0.3804827612058501,507,194,18,6,0
4,ridge,0.5610745869103406,0.6662632944784741,0.1051887075681334,4.409229717717282,4.177951713411479,-0.2312780043058033,524,177,18,6,0
4,random_forest,0.4544801067383419,0.6101349186386202,0.1556548119002783,4.586025677892161,4.029964068937226,-0.5560616089549351,524,177,18,6,0
4,hist_gb,0.4720037625857899,0.6957796249976258,0.2237758624118359,4.549720952773923,3.788995090838748,-0.7607258619351747,524,177,18,6,0
5,ridge,0.7244707416663843,0.7533930160399724,0.0289222743735881,3.73270037634014,3.437702698549173,-0.2949976777909673,402,299,18,6,0
5,random_forest,0.1258617606773187,0.7417179426557742,0.6158561819784555,5.670325678399177,3.512793028371,-2.157532650028177,402,299,18,6,0
5,hist_gb,0.3451924555113801,0.7546448910650808,0.4094524355537007,5.128297399013,3.4401653315697445,-1.6881320674432558,402,299,18,6,0
6,ridge,0.6956725984593609,0.7612656563109934,0.0655930578516325,4.319549889234137,3.819836756027189,-0.499713133206948,512,189,18,6,0
