split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
0,ridge,-0.019919010067577014,-0.039687638159565,-0.019768628091987983,8.26527575728172,8.351327391526224,0.08605163424450346,540,161,18,6,0
0,random_forest,-0.054128748044266706,-0.11815594545158326,-0.06402719740731655,8.229007489479889,8.447605136985555,0.2185976475056659,540,161,18,6,0
0,hist_gb,-0.060299194210117424,-0.15187090946910087,-0.09157171525898344,8.183203495241855,8.50250528313706,0.31930178789520447,540,161,18,6,0
1,ridge,-0.018709538704716477,-0.016646502527003726,0.0020630361777127515,8.077508666091234,8.061125854599533,-0.016382811491700622,521,180,18,6,0
1,random_forest,-0.02358003587248847,-0.11884575369825212,-0.09526571782576365,8.14356868164133,8.578320485859338,0.4347518042180081,521,180,18,6,0
1,hist_gb,-0.035696384824899674,-0.1312271353667509,-0.09553075054185123,8.21091316011829,8.527459553479067,0.3165463933607775,521,180,18,6,0
2,ridge,-0.013998398407661483,-0.013644617739258846,0.0003537806684026368,8.435857174849158,8.43159712060264,-0.004260054246516987,481,220,18,6,0
2,random_forest,-0.031160559779160213,-0.06843240920662641,-0.0372718494274662,8.38821739156078,8.619590383175456,0.23137299161467695,481,220,18,6,0
2,hist_gb,-0.06783456091597007,-0.113824369596627,-0.04598980868065694,8.536549576912261,8.719284459410893,0.18273488249863235,481,220,18,6,0
3,ridge,-0.02898738321127059,-0.027127428788378483,0.0018599544228921072,8.022066049424643,7.98851692980337,-0.033549119621272716,539,162,18,6,0
3,random_forest,0.0035366972806232244,-0.0849276590610164,-0.08846435634163963,7.7498421103679895,8.199484331765163,0.44964222139717336,539,162,18,6,0
3,hist_gb,-0.03162131359259912,-0.15683928408584413,-0.125217970493245,7.8957599961510265,8.497452072572665,0.6016920764216387,539,162,18,6,0
4,ridge,-0.009498457997312082,-0.02454722953739097,-0.015048771540078887,7.945515413159567,8.02471701069695,0.07920159753738254,578,123,18,6,0
4,random_forest,-0.0579375696882114,-0.1561840209065335,-0.0982464512183221,8.108637819917083,8.266576456046916,0.15793863612983294,578,123,18,6,0
4,hist_gb,-0.03998055990370153,-0.2022299929282998,-0.16224943302459827,7.974877565267571,8.394976928549365,0.4200993632817944,578,123,18,6,0
5,ridge,-0.0313286075322281,-0.03317607954187407,-0.0018474720096459674,9.122053756847318,9.164660762573524,0.04260700572620557,569,132,18,6,0
5,random_forest,-0.12279182668060185,-0.13972073672420837,-0.016928910043606527,9.381083146769653,9.425328182202755,0.044245035433101876,569,132,18,6,0
5,hist_gb,-0.13244958928101092,-0.2083811023582256,-0.07593151307721469,9.378410088030739,9.551588923711101,0.1731788356803623,569,132,18,6,0
