split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
80,ridge,0.5934744822035756,0.7129855871261896,0.11951110492261408,4.077521308259409,3.8110246612254177,-0.26649664703399134,513,188,9,3,0
80,random_forest,0.5480708182918836,0.6338975011833288,0.08582668289144513,4.337020378337376,3.8551762744946343,-0.4818441038427421,513,188,9,3,0
80,hist_gb,0.5367242283564604,0.7084328975323323,0.1717086691758719,4.055849366122101,3.6807608221388146,-0.3750885439832863,513,188,9,3,0
81,ridge,0.8292661720793527,0.827333354667734,-0.0019328174116187702,2.7679645461462377,2.9565856526992693,0.18862110655303166,451,250,9,3,0
81,random_forest,0.8684028171379168,0.8686700598602766,0.00026724272235978397,2.493805427970525,2.4648820121064,-0.028923415864124724,451,250,9,3,0
81,hist_gb,0.8715297101482427,0.8676391544247316,-0.0038905557235110466,2.3949611906956214,2.526025826976418,0.1310646362807968,451,250,9,3,0
82,ridge,0.44409775312003086,0.684980324183559,0.24088257106352817,5.430801481134115,4.356326955953997,-1.0744745251801184,586,115,9,3,0
82,random_forest,0.3339645083580557,0.678518317741132,0.34455380938307634,6.179541133112312,4.37768248770928,-1.8018586454030316,586,115,9,3,0
82,hist_gb,0.4056618997813275,0.6705588492487573,0.2648969494674298,5.784250097560314,4.433671256072188,-1.350578841488126,586,115,9,3,0
83,ridge,0.7286053082811854,0.6888320487988964,-0.03977325948228905,2.990182838791176,3.381123607179472,0.39094076838829617,538,163,9,3,0
83,random_forest,0.6434134937473359,0.7209695755435901,0.07755608179625417,3.7810482552238853,3.0202845468739743,-0.760763708349911,538,163,9,3,0
83,hist_gb,0.6967883271954194,0.6890726079672025,-0.0077157192282169,3.314765440194393,3.1443829377772983,-0.17038250241709463,538,163,9,3,0
84,ridge,0.7254807449246101,0.7768707493184142,0.051390004393804034,3.5423659635771196,3.3732894544945773,-0.16907650908254235,466,235,9,3,0
84,random_forest,0.014372291379406654,0.8248406829638523,0.8104683915844456,4.931665729051183,2.8412809005276776,-2.090384828523505,466,235,9,3,0
84,hist_gb,0.00918131514495224,0.7993527477653855,0.7901714326204332,4.9143236865391176,2.8422022858262035,-2.072121400712914,466,235,9,3,0
85,ridge,0.5100399175028222,0.6415162823087392,0.13147636480591707,4.695927785289375,4.291162595980962,-0.40476518930841277,472,229,9,3,0
85,random_forest,0.4013158341260564,0.6069330334548675,0.20561719932881106,4.958420452131624,4.265924598097895,-0.6924958540337292,472,229,9,3,0
85,hist_gb,0.391264097487801,0.6796954169274109,0.28843131943960987,4.964206990716397,4.09102763639362,-0.8731793543227768,472,229,9,3,0
86,ridge,0.38182499166006423,0.5667513931845523,0.18492640152448803,6.403738333010672,5.590636136816065,-0.813102196194607,569,132,9,3,0
86,random_forest,0.23257677726572146,0.4730165919962859,0.24043981473056442,7.3770533185237435,5.916697418599142,-1.4603558999246014,569,132,9,3,0
86,hist_gb,0.2005499716588568,0.523240444953591,0.3226904732947342,7.458635968176835,6.180780635464373,-1.2778553327124618,569,132,9,3,0
87,ridge,0.7941598835552719,0.7964628832630086,0.0023029997077367304,3.1803184242155984,3.206651083768895,0.026332659553296445,484,217,9,3,0
87,random_forest,0.8033361828983204,0.757044794096287,-0.04629138880203343,3.017383981797766,3.122921005802639,0.10553702400487319,484,217,9,3,0
87,hist_gb,0.6828945397197606,0.7539252211139191,0.07103068139415858,3.4332638614178004,3.098763813745234,-0.3345000476725666,484,217,9,3,0
88,ridge,0.833547288837028,0.8120946511239875,-0.021452637713040512,2.8772582843221044,3.1481960055203344,0.27093772119823,484,217,9,3,0
88,random_forest,0.8293692145765015,0.7879450027866055,-0.04142421178989597,2.827710383702998,2.8515262669263284,0.023815883223330392,484,217,9,3,0
88,hist_gb,0.7185591490857137,0.7744748845319593,0.05591573544624562,3.320006667078845,2.8981643491236304,-0.42184231795521443,484,217,9,3,0
89,ridge,0.5100100025715628,0.668298362779219,0.15828836020765613,5.175485800676798,4.464277078768629,-0.7112087219081689,528,173,9,3,0
89,random_forest,0.34526872168802447,0.590989994222126,0.24572127253410148,6.2283942462536075,4.410366611546615,-1.8180276347069926,528,173,9,3,0
89,hist_gb,0.19956444098217274,0.6783160635097726,0.47875162252759984,6.809741779067596,4.352690092278286,-2.4570516867893097,528,173,9,3,0
90,ridge,0.8584470106271411,0.8302092382146624,-0.028237772412478712,2.699674813161552,2.9427232506341,0.24304843747254834,548,153,9,3,0
90,random_forest,0.7597117200969479,0.7643977241946941,0.004686004097746221,3.409672201431601,2.8639305498084844,-0.5457416516231168,548,153,9,3,0
90,hist_gb,0.5960901053214951,0.7461204795272756,0.15003037420578047,3.9347127535121467,2.961185217098302,-0.9735275364138447,548,153,9,3,0
91,ridge,0.8259495188166925,0.8330568575805071,0.00710733876381453,2.782704971634863,2.8266837772517848,0.04397880561692169,451,250,9,3,0
91,random_forest,0.8600869440486393,0.8691862500008743,0.00909930595223507,2.6343797303327947,2.4697028755896087,-0.16467685474318605,451,250,9,3,0
91,hist_gb,0.867777700250627,0.8751804579888754,0.0074027577382485,2.483281238355487,2.392861103460028,-0.09042013489545919,451,250,9,3,0
92,ridge,0.7052190561530752,0.7708327751028262,0.06561371894975099,3.6805286742213683,3.2383201078158663,-0.442208566405502,387,314,9,3,0
92,random_forest,0.6771439663214807,0.6812777491126819,0.004133782791201246,3.862391141564429,3.804204083979719,-0.0581870575847101,387,314,9,3,0
92,hist_gb,0.7749830696139725,0.7073887326672657,-0.0675943369467068,3.2111533558526966,3.6791741129131927,0.4680207570604962,387,314,9,3,0
93,ridge,0.7510391110357667,0.7415927824509605,-0.009446328584806207,3.2717996885323015,3.263924101391473,-0.0078755871408287,505,196,9,3,0
93,random_forest,0.6358309688000798,0.8187938138226292,0.18296284502254934,3.4223731544663427,2.8611258718240093,-0.5612472826423334,505,196,9,3,0
93,hist_gb,0.619545149785949,0.8085072567590497,0.18896210697310067,3.409312937415878,2.9026285497915145,-0.5066843876243636,505,196,9,3,0
94,ridge,0.6241096062899031,0.7042467631052123,0.0801371568153092,4.097375849819687,3.8409317446820372,-0.2564441051376498,449,252,9,3,0
94,random_forest,0.6084551320285885,0.6597221583681738,0.05126702633958535,3.871539419815901,3.771503468526525,-0.10003595128937581,449,252,9,3,0
94,hist_gb,0.5889032152944385,0.7339888433986084,0.14508562810416992,3.796426331196159,3.524741498496028,-0.27168483270013066,449,252,9,3,0
95,ridge,0.49877546992328636,0.5117653088877754,0.01298983896448902,5.499304648971168,5.385336453335381,-0.11396819563578653,586,115,9,3,0
95,random_forest,-0.8391048212754451,0.4730556994408892,1.3121605207163343,10.157441736257608,5.149773407423144,-5.007668328834464,586,115,9,3,0
95,hist_gb,-1.0928380709549836,0.4684253713063615,1.5612634422613452,11.228714741512373,5.333136235920826,-5.895578505591548,586,115,9,3,0
96,ridge,0.738757957859089,0.695168400638934,-0.043589557220155006,3.0209505954701212,3.531083743884133,0.5101331484140119,538,163,9,3,0
96,random_forest,0.6588463683287298,0.7311551535071028,0.07230878517837303,3.6694636633134197,3.0328412787519725,-0.6366223845614472,538,163,9,3,0
96,hist_gb,0.6861561020198397,0.7212888363499972,0.03513273433015751,3.4733103805591483,3.0435201578271918,-0.42979022273195655,538,163,9,3,0
97,ridge,0.7064413310865396,0.6689492391038055,-0.037492091982734066,3.7622375933908097,3.915702581278489,0.15346498788767926,538,163,9,3,0
97,random_forest,0.591309421567435,0.6911666178377589,0.09985719627032386,3.8010445869022527,3.6598992909212393,-0.14114529598101333,538,163,9,3,0
97,hist_gb,0.5759660045896913,0.6881381044415235,0.11217209985183219,3.8772536080818334,3.647789780353004,-0.22946382772882945,538,163,9,3,0
98,ridge,0.7212800112818107,0.70161458877179,-0.01966542251002079,3.330401057069786,3.4838771072457293,0.15347605017594335,474,227,9,3,0
98,random_forest,0.6683793354551968,0.7372992660043254,0.0689199305491286,3.5538433561810243,3.238889154446132,-0.3149542017348925,474,227,9,3,0
98,hist_gb,0.7117042100714648,0.7225829454698323,0.010878735398367478,3.3324309013517026,3.2112754208639886,-0.12115548048771396,474,227,9,3,0
99,ridge,0.6620692877883378,0.8080208876144297,0.14595159982609185,3.9962722154068695,3.468195679560627,-0.5280765358462425,499,202,9,3,0
99,random_forest,0.6000344919460284,0.8318534567124081,0.23181896476637964,3.7893307381131587,2.950871048344259,-0.8384596897688996,499,202,9,3,0
99,hist_gb,0.6467099100808062,0.8248949817391882,0.17818507165838193,3.631948782073388,3.036969759624096,-0.5949790224492917,499,202,9,3,0
