clone,n_d2,x,y2d,start,sister_fate,target_fate,Kit,Ly6a,Flt3,Hlf,Hoxa9,Meis1,Pbx1,Myb,Runx1,Gata2,Tal1,Lmo2,Erg,Fli1,Lyl1,Mpl,Spi1,Cebpa,Cebpb,Gfi1,Irf8,Csf1r,Csf3r,Mpo,Elane,Prtn3,Ctsg,Ltf,S100a8,S100a9,Lyz2,Fcgr3
45,1,125.739,450.106,Lin-Kit+Sca1+,Monocyte,Monocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,1.252762968495368,0.0,0.0,0.0,0.0,0.0
67,1,179.951,735.067,Lin-Kit+Sca1-,Monocyte,Monocyte,0.0,1.4350845252893227,0.5877866649021191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,1.4350845252893227,0.5877866649021191,0.5877866649021191,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1,199.936,351.295,Lin-Kit+Sca1-,Neutrophil,Neutrophil,0.262364264467491,0.7884573603642702,0.0,0.0,0.0,0.262364264467491,0.0,0.6418538861723948,0.7884573603642702,0.0,0.262364264467491,0.9162907318741551,0.4700036292457356,0.262364264467491,0.0,0.262364264467491,0.262364264467491,0.0,0.4700036292457356,0.0,0.0,0.0,0.262364264467491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1,353.236,1078.627,Lin-Kit+Sca1+,Monocyte,Monocyte,0.0,1.2237754316221157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2237754316221157,0.0,1.2237754316221157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,1,55.659,653.99,Lin-Kit+Sca1-,Neutrophil,Monocyte,0.0,0.7884573603642702,0.0,0.0,0.0,0.0,0.0,0.4700036292457356,0.4700036292457356,0.0,0.0,0.9932517730102833,0.0,0.0,0.0,0.4700036292457356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4700036292457356,0.7884573603642702,0.0,0.0,0.0,0.0,0.0,0.0
210,2,371.3105,218.561,Lin-Kit+Sca1-,Monocyte,Monocyte,0.0,0.0,0.0,0.1311821322337455,0.1311821322337455,0.0,0.1311821322337455,0.5148097085905791,0.1311821322337455,0.0,0.262364264467491,0.7843079589569226,0.262364264467491,0.262364264467491,0.0,0.0,0.0,0.4777557225137181,0.262364264467491,0.0,0.1311821322337455,0.0,0.1311821322337455,1.1117709428267963,0.94353482451619,1.557645754305815,1.707221304206088,0.0,0.0,0.0,0.0,0.0
212,1,170.209,681.765,Lin-Kit+Sca1+,Neutrophil,Neutrophil,0.7419373447293773,0.7419373447293773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7419373447293773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,1,-154.733,774.79,Lin-Kit+Sca1-,Baso,Baso,0.0,0.6418538861723948,0.0,0.0,0.0,1.0296194171811581,0.0,0.0,0.0,0.0,0.6418538861723948,1.0296194171811581,0.0,0.6418538861723948,0.0,0.0,0.0,0.0,0.0,0.6418538861723948,0.0,0.0,0.0,0.0,0.0,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,0.0
308,1,311.423,894.336,Lin-Kit+Sca1-,Monocyte,Monocyte,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,1.1314021114911006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,1,-56.105,468.022,Lin-Kit+Sca1+,Baso,Neutrophil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,2,802.5,-21.502000000000002,Lin-Kit+Sca1-,Monocyte,Monocyte,0.0,0.0,0.0,0.0,0.0,0.16823611831060648,0.0,0.5288951470739274,0.16823611831060648,0.0,0.40323793293347426,0.40323793293347426,0.0,0.16823611831060648,0.2350018146228678,0.0,0.16823611831060648,0.16823611831060648,1.0101110910099322,0.0,0.2350018146228678,0.0,0.0,1.3556889955974425,1.5774352474461444,1.3847294146154268,0.8431994767851144,0.0,0.0,0.16823611831060648,0.416454561467552,0.40323793293347426
346,1,163.907,170.269,Lin-Kit+Sca1-,Neutrophil,Baso,0.262364264467491,0.0,0.0,0.262364264467491,0.0,0.0,0.0,0.4700036292457356,0.4700036292457356,0.9162907318741551,0.0,0.262364264467491,0.262364264467491,0.0,0.0,0.0,0.0,0.4700036292457356,0.0,0.262364264467491,0.0,0.0,0.0,1.0296194171811581,0.7884573603642702,0.7884573603642702,1.3862943611198906,0.0,0.0,0.0,0.0,0.0
415,1,202.768,98.539,Lin-Kit+Sca1-,Neutrophil,Neutrophil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6418538861723948,0.9932517730102833,0.0,0.9932517730102833,0.6418538861723948,0.0,0.0,0.0,0.0,0.6418538861723948,0.0,0.0,0.0,0.0,0.6418538861723948,1.2809338454620642,1.667706820558076,0.9932517730102833,0.6418538861723948,0.0,0.0,0.0,0.0,0.0
427,2,-613.9965,-88.0035,Lin-Kit+Sca1-,Baso,Baso,0.0,0.0,0.0,0.0,0.0,0.0,0.8523740461192126,0.7408022704621078,0.5893274981708231,1.4550871925961721,0.1311821322337455,0.3339146862878277,0.0,0.1311821322337455,0.0,0.0,0.1311821322337455,0.3339146862878277,0.4777557225137181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969612342362173
435,2,81.261,381.94050000000004,Lin-Kit+Sca1+,Neutrophil,Neutrophil,0.0,0.8243293127936908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8243293127936908,0.8243293127936908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.356684681289905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5323553684962141,0.0,0.0,0.0,0.0,0.0
557,1,271.937,1034.824,Lin-Kit+Sca1+,Monocyte,Monocyte,0.0,1.1314021114911006,0.4054651081081644,0.0,0.0,0.0,0.0,0.7419373447293773,0.4054651081081644,0.0,0.0,1.2809338454620642,0.0,0.0,0.0,0.0,0.7419373447293773,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,2,133.1605,408.1585,Lin-Kit+Sca1+,Neutrophil,Neutrophil,0.29389333245105953,0.0,0.0,0.29389333245105953,0.0,0.0,0.0,0.0,0.0,0.0,0.29389333245105953,0.4777557225137182,0.0,0.29389333245105953,0.0,0.0,0.6541664098250894,0.0,0.29389333245105953,0.0,0.0,0.0,0.0,0.0,0.6541664098250894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,1,416.34,383.668,Lin-Kit+Sca1+,Monocyte,Monocyte,0.5306282510621704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1631508098056809,0.0,0.0,1.3609765531356006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,1.3609765531356006,0.0,0.0,0.0,0.0,0.0
633,1,66.075,535.491,Lin-Kit+Sca1-,Neutrophil,Neutrophil,0.0,0.9162907318741551,0.5877866649021191,0.5877866649021191,0.0,0.5877866649021191,0.5877866649021191,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.5877866649021191,0.5877866649021191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,1,-23.177,598.765,Lin-Kit+Sca1-,Neutrophil,Monocyte,0.4054651081081644,0.7419373447293773,0.0,0.0,0.0,0.7419373447293773,0.0,0.0,0.7419373447293773,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0
716,1,445.224,-206.878,Lin-Kit+Sca1-,Neutrophil,Neutrophil,0.4700036292457356,0.0,0.0,0.0,0.18232155679395465,0.0,0.0,0.18232155679395465,0.4700036292457356,0.18232155679395465,0.0,0.6931471805599453,0.18232155679395465,0.0,0.0,0.0,0.5877866649021191,0.18232155679395465,0.33647223662121295,0.5877866649021191,0.0,0.0,0.18232155679395465,2.0014800002101243,3.0106208860477417,2.4423470353692043,2.791165107812717,0.0,0.0,0.0,0.0,0.33647223662121295
