representation,n_numeric,estimator,fold,plus_sister,accuracy,balanced_accuracy,log_loss
spring2d,2,logistic,0,False,0.7407407407407407,0.7314814814814815,0.9920045676580067
spring2d,2,logistic,0,True,0.7777777777777778,0.8055555555555555,0.5998659590017037
spring2d,2,histgb,0,False,0.6296296296296297,0.6574074074074073,0.7953612047420513
spring2d,2,histgb,0,True,0.7777777777777778,0.8148148148148148,0.6918475728985404
spring2d,2,logistic,1,False,0.6666666666666666,0.6897546897546897,0.7686984584739999
spring2d,2,logistic,1,True,0.9259259259259259,0.9393939393939394,0.3908770203644522
spring2d,2,histgb,1,False,0.6666666666666666,0.6657046657046657,0.8003749468718472
spring2d,2,histgb,1,True,0.8888888888888888,0.9090909090909092,0.45058671644354337
spring2d,2,logistic,2,False,0.7777777777777778,0.7873977873977873,0.7976993622550498
spring2d,2,logistic,2,True,0.8518518518518519,0.848003848003848,0.4540072494420545
spring2d,2,histgb,2,False,0.7407407407407407,0.7291967291967292,0.8298279616071554
spring2d,2,histgb,2,True,0.8518518518518519,0.8547378547378548,0.5413470210903378
spring2d,2,logistic,3,False,0.5,0.5033670033670034,1.0414050377082704
spring2d,2,logistic,3,True,0.6923076923076923,0.7053872053872053,0.8394347955143417
spring2d,2,histgb,3,False,0.5384615384615384,0.5387205387205387,1.0657349407412207
spring2d,2,histgb,3,True,0.6923076923076923,0.7053872053872053,0.962983924617835
spring2d,2,logistic,4,False,0.38461538461538464,0.4166666666666667,1.0058972811196432
spring2d,2,logistic,4,True,0.8846153846153846,0.888888888888889,0.5403754783295635
spring2d,2,histgb,4,False,0.5769230769230769,0.6111111111111112,0.9134493732905025
spring2d,2,histgb,4,True,0.9230769230769231,0.9166666666666666,0.6527387289724298
spring2d,2,logistic,5,False,0.5925925925925926,0.5925925925925926,0.8559918819193503
spring2d,2,logistic,5,True,0.8518518518518519,0.851851851851852,0.5303091679441768
spring2d,2,histgb,5,False,0.5185185185185185,0.537037037037037,1.1300498484272947
spring2d,2,histgb,5,True,0.7407407407407407,0.7592592592592592,0.8624530765771306
spring2d,2,logistic,6,False,0.5555555555555556,0.568061568061568,1.1973273951260555
spring2d,2,logistic,6,True,0.7407407407407407,0.7368927368927368,0.6232588476739105
spring2d,2,histgb,6,False,0.5925925925925926,0.5983645983645983,1.0863302714430838
spring2d,2,histgb,6,True,0.8148148148148148,0.8215488215488215,0.8347914568445317
spring2d,2,logistic,7,False,0.5925925925925926,0.6012506012506013,0.8850719204900173
spring2d,2,logistic,7,True,0.8148148148148148,0.8244348244348245,0.5215419351673877
spring2d,2,histgb,7,False,0.6666666666666666,0.6685906685906685,0.8505232167825435
spring2d,2,histgb,7,True,0.8518518518518519,0.8614718614718614,0.5759464966256418
spring2d,2,logistic,8,False,0.5769230769230769,0.6010101010101011,0.8807673473193481
spring2d,2,logistic,8,True,0.8846153846153846,0.8771043771043772,0.4864623152713253
spring2d,2,histgb,8,False,0.5769230769230769,0.5892255892255892,0.8938076944260848
spring2d,2,histgb,8,True,0.8461538461538461,0.8468013468013469,0.6051566695687317
spring2d,2,logistic,9,False,0.6538461538461539,0.6944444444444445,0.8442729828580384
spring2d,2,logistic,9,True,0.8076923076923077,0.8472222222222222,0.5614487286239163
spring2d,2,histgb,9,False,0.5384615384615384,0.6111111111111112,0.9771487767108707
spring2d,2,histgb,9,True,0.7307692307692307,0.7638888888888888,0.7167829246184504
expr4,4,logistic,0,False,0.5185185185185185,0.5370370370370371,0.9418333661334131
expr4,4,logistic,0,True,0.8148148148148148,0.8425925925925926,0.5733547005119514
expr4,4,histgb,0,False,0.4444444444444444,0.46296296296296297,1.1309863325926992
expr4,4,histgb,0,True,0.7037037037037037,0.7129629629629629,0.8397163235396155
expr4,4,logistic,1,False,0.4074074074074074,0.416065416065416,1.1383736072086885
expr4,4,logistic,1,True,0.8888888888888888,0.9023569023569024,0.47292788897477045
expr4,4,histgb,1,False,0.48148148148148145,0.5007215007215008,1.0566122439158132
expr4,4,histgb,1,True,0.9259259259259259,0.9393939393939394,0.37199650529959466
expr4,4,logistic,2,False,0.4074074074074074,0.41895141895141896,1.059133932920226
expr4,4,logistic,2,True,0.8148148148148148,0.8177008177008177,0.5728086659138008
expr4,4,histgb,2,False,0.4074074074074074,0.4227994227994228,1.1100322749965
expr4,4,histgb,2,True,0.7777777777777778,0.7873977873977873,0.6018932736911713
expr4,4,logistic,3,False,0.5,0.5404040404040404,0.96964275932359
expr4,4,logistic,3,True,0.7307692307692307,0.7356902356902357,0.7386387802266774
expr4,4,histgb,3,False,0.4230769230769231,0.4983164983164983,1.0972992507186725
expr4,4,histgb,3,True,0.6923076923076923,0.7053872053872053,0.9899006876185577
expr4,4,logistic,4,False,0.5384615384615384,0.5833333333333334,1.0099557196237678
expr4,4,logistic,4,True,0.9615384615384616,0.9444444444444445,0.34495151739479224
expr4,4,histgb,4,False,0.5384615384615384,0.611111111111111,1.0379698575430496
expr4,4,histgb,4,True,0.8846153846153846,0.875,0.4439739963539572
expr4,4,logistic,5,False,0.4444444444444444,0.4259259259259259,0.9760203712528926
expr4,4,logistic,5,True,0.8888888888888888,0.8796296296296297,0.4738003692254123
expr4,4,histgb,5,False,0.48148148148148145,0.5277777777777778,1.0414383441291841
expr4,4,histgb,5,True,0.8518518518518519,0.851851851851852,0.5748000760699056
expr4,4,logistic,6,False,0.5185185185185185,0.5204425204425204,0.9618750116346577
expr4,4,logistic,6,True,0.7777777777777778,0.7845117845117845,0.6329513246186373
expr4,4,histgb,6,False,0.5555555555555556,0.5574795574795575,0.9614004485595695
expr4,4,histgb,6,True,0.7777777777777778,0.7845117845117845,0.6681998883765435
expr4,4,logistic,7,False,0.4074074074074074,0.44684944684944683,1.0553094844743764
expr4,4,logistic,7,True,0.7777777777777778,0.7873977873977873,0.5879463598083935
expr4,4,histgb,7,False,0.48148148148148145,0.5247715247715247,1.073338569187452
expr4,4,histgb,7,True,0.8148148148148148,0.8244348244348245,0.6710308323735801
expr4,4,logistic,8,False,0.46153846153846156,0.45959595959595956,1.0136081840703812
expr4,4,logistic,8,True,0.9230769230769231,0.9141414141414143,0.38472856945087186
expr4,4,histgb,8,False,0.46153846153846156,0.4781144781144781,1.0363919980022194
expr4,4,histgb,8,True,0.8846153846153846,0.8771043771043772,0.40588947341144943
expr4,4,logistic,9,False,0.38461538461538464,0.4305555555555556,1.001596422166302
expr4,4,logistic,9,True,0.8461538461538461,0.875,0.5371542788764478
expr4,4,histgb,9,False,0.4230769230769231,0.4583333333333333,1.0467891683955022
expr4,4,histgb,9,True,0.8076923076923077,0.8333333333333334,0.5168280725050751
expr8,8,logistic,0,False,0.6296296296296297,0.5925925925925926,0.9685993365925102
expr8,8,logistic,0,True,0.7407407407407407,0.75,0.5813481178760534
expr8,8,histgb,0,False,0.4074074074074074,0.3703703703703704,1.3884618929507584
expr8,8,histgb,0,True,0.7777777777777778,0.8055555555555555,0.6776286662687124
expr8,8,logistic,1,False,0.3333333333333333,0.3035113035113035,1.1601377221830431
expr8,8,logistic,1,True,0.8518518518518519,0.8653198653198654,0.4983679879811157
expr8,8,histgb,1,False,0.25925925925925924,0.23617123617123617,1.4708421159492866
expr8,8,histgb,1,True,0.7407407407407407,0.7397787397787399,0.6035022363382239
expr8,8,logistic,2,False,0.4444444444444444,0.4492544492544493,1.0785606892851034
expr8,8,logistic,2,True,0.8148148148148148,0.8177008177008177,0.5539588452103467
expr8,8,histgb,2,False,0.5185185185185185,0.5165945165945166,1.180117730065182
expr8,8,histgb,2,True,0.7407407407407407,0.757094757094757,0.6965125318278825
expr8,8,logistic,3,False,0.38461538461538464,0.35521885521885516,1.1274113962551657
expr8,8,logistic,3,True,0.7307692307692307,0.7356902356902357,0.8060255724879896
expr8,8,histgb,3,False,0.3076923076923077,0.2626262626262626,1.3704509039027526
expr8,8,histgb,3,True,0.6923076923076923,0.712121212121212,0.9953595439996532
expr8,8,logistic,4,False,0.4230769230769231,0.4305555555555556,1.0595781300239877
expr8,8,logistic,4,True,0.9230769230769231,0.9027777777777778,0.4497715699026336
expr8,8,histgb,4,False,0.46153846153846156,0.47222222222222227,1.2152004082981316
expr8,8,histgb,4,True,0.9230769230769231,0.9166666666666666,0.38635151312740396
expr8,8,logistic,5,False,0.48148148148148145,0.5,1.0054405241019295
expr8,8,logistic,5,True,0.8518518518518519,0.8425925925925926,0.515778411376899
expr8,8,histgb,5,False,0.3333333333333333,0.3240740740740741,1.4482236803834443
expr8,8,histgb,5,True,0.8148148148148148,0.8240740740740741,0.7286769095136523
expr8,8,logistic,6,False,0.37037037037037035,0.3713323713323713,1.01336528156069
expr8,8,logistic,6,True,0.7407407407407407,0.7368927368927368,0.6678165053462599
expr8,8,histgb,6,False,0.5555555555555556,0.5334295334295335,1.1684734893642568
expr8,8,histgb,6,True,0.7777777777777778,0.7739297739297739,0.9130001898126048
expr8,8,logistic,7,False,0.37037037037037035,0.39249639249639245,1.0854800944470884
expr8,8,logistic,7,True,0.7407407407407407,0.757094757094757,0.653760777733747
expr8,8,histgb,7,False,0.3333333333333333,0.3689273689273689,1.276632907398399
expr8,8,histgb,7,True,0.7777777777777778,0.7941317941317941,0.7684425429835323
expr8,8,logistic,8,False,0.4230769230769231,0.4292929292929293,1.0682477444373177
expr8,8,logistic,8,True,0.9230769230769231,0.9141414141414143,0.479236565297784
expr8,8,histgb,8,False,0.38461538461538464,0.35521885521885516,1.353713923982018
expr8,8,histgb,8,True,0.8846153846153846,0.8771043771043772,0.4971362898641249
expr8,8,logistic,9,False,0.38461538461538464,0.3888888888888889,1.1758445792448902
expr8,8,logistic,9,True,0.6923076923076923,0.75,0.783139915256152
expr8,8,histgb,9,False,0.34615384615384615,0.3611111111111111,1.3011361008787052
expr8,8,histgb,9,True,0.7307692307692307,0.75,0.8456167716780212
expr16,16,logistic,0,False,0.6666666666666666,0.6851851851851851,0.7741932314958094
expr16,16,logistic,0,True,0.7407407407407407,0.75,0.6814193123986428
expr16,16,histgb,0,False,0.5185185185185185,0.5462962962962964,1.1025508817294902
expr16,16,histgb,0,True,0.6666666666666666,0.6666666666666666,1.071006989798612
expr16,16,logistic,1,False,0.5555555555555556,0.5507455507455506,0.942254222832832
expr16,16,logistic,1,True,0.8518518518518519,0.8547378547378548,0.49367508566826773
expr16,16,histgb,1,False,0.5925925925925926,0.5772005772005772,1.147312485176113
expr16,16,histgb,1,True,0.8148148148148148,0.8244348244348245,0.558832433451503
expr16,16,logistic,2,False,0.6296296296296297,0.594035594035594,0.8397905651617762
expr16,16,logistic,2,True,0.8518518518518519,0.848003848003848,0.5354254647591522
expr16,16,histgb,2,False,0.4074074074074074,0.39490139490139486,1.4969685108665263
expr16,16,histgb,2,True,0.7777777777777778,0.7700817700817701,0.7893845327833174
expr16,16,logistic,3,False,0.46153846153846156,0.4915824915824916,0.9414474176749775
expr16,16,logistic,3,True,0.6538461538461539,0.6498316498316499,0.9305702385434663
expr16,16,histgb,3,False,0.6538461538461539,0.6498316498316499,0.9320365090112066
expr16,16,histgb,3,True,0.6923076923076923,0.6801346801346803,0.9641692033165375
expr16,16,logistic,4,False,0.46153846153846156,0.49999999999999994,1.1746715274181325
expr16,16,logistic,4,True,0.8461538461538461,0.8611111111111112,0.4812406096604621
expr16,16,histgb,4,False,0.5769230769230769,0.625,1.382862807666575
expr16,16,histgb,4,True,0.8846153846153846,0.875,0.24376219504853386
expr16,16,logistic,5,False,0.6296296296296297,0.6388888888888888,0.8069909410236669
expr16,16,logistic,5,True,0.8518518518518519,0.851851851851852,0.5214466251456898
expr16,16,histgb,5,False,0.5555555555555556,0.5648148148148149,0.9506827835650786
expr16,16,histgb,5,True,0.7777777777777778,0.7962962962962963,0.5746216336712066
expr16,16,logistic,6,False,0.5555555555555556,0.568061568061568,0.8032130196252973
expr16,16,logistic,6,True,0.7407407407407407,0.7542087542087542,0.6765965766238006
expr16,16,histgb,6,False,0.5925925925925926,0.581048581048581,0.927240585058049
expr16,16,histgb,6,True,0.7777777777777778,0.7777777777777777,0.8303966567973958
expr16,16,logistic,7,False,0.5555555555555556,0.5642135642135643,1.222077687226452
expr16,16,logistic,7,True,0.7407407407407407,0.7465127465127465,0.7831680543132118
expr16,16,histgb,7,False,0.4444444444444444,0.4252044252044252,1.3054831094630928
expr16,16,histgb,7,True,0.7037037037037037,0.72005772005772,0.8014610978862627
expr16,16,logistic,8,False,0.6538461538461539,0.6565656565656566,0.9180806005768869
expr16,16,logistic,8,True,0.8461538461538461,0.8468013468013469,0.4836716300909988
expr16,16,histgb,8,False,0.5384615384615384,0.5151515151515151,1.1461935317089689
expr16,16,histgb,8,True,0.6923076923076923,0.6868686868686869,0.6826660095801623
expr16,16,logistic,9,False,0.6538461538461539,0.7083333333333334,0.6878341457436582
expr16,16,logistic,9,True,0.8076923076923077,0.8472222222222222,0.5479712545396294
expr16,16,histgb,9,False,0.5384615384615384,0.611111111111111,0.90873301804006
expr16,16,histgb,9,True,0.8076923076923077,0.8472222222222222,0.7290916039361789
expr32,32,logistic,0,False,0.7037037037037037,0.7314814814814815,0.7161274043222574
expr32,32,logistic,0,True,0.7777777777777778,0.8148148148148148,0.6311829472663547
expr32,32,histgb,0,False,0.6296296296296297,0.6203703703703703,0.8755743018511372
expr32,32,histgb,0,True,0.8148148148148148,0.8425925925925926,0.7999545493722804
expr32,32,logistic,1,False,0.5185185185185185,0.5204425204425204,1.02798864468258
expr32,32,logistic,1,True,0.8888888888888888,0.8917748917748919,0.4391433433218058
expr32,32,histgb,1,False,0.5185185185185185,0.5204425204425204,1.2868482512008486
expr32,32,histgb,1,True,0.8148148148148148,0.8071188071188072,0.5564019774810112
