fold_group,estimator,feature_set,n_train,n_test,pca_var,auc,logloss,brier,accuracy
pool_1,logistic,S,437,184,0.5641878616717279,0.9371227364185111,0.21902446432132597,0.058272376979549956,0.9347826086956522
pool_1,logistic,S_plus_H,437,184,0.5641878616717279,0.9994969818913481,0.06465527653980022,0.012104846716907031,0.9891304347826086
pool_1,random_forest,S,437,184,0.5641878616717279,0.9113011401743796,0.3859591732232845,0.11055718187406852,0.8967391304347826
pool_1,random_forest,S_plus_H,437,184,0.5641878616717279,0.9294097920858484,0.33474313051682,0.10390391348328014,0.8206521739130435
pool_1,hist_gb,S,437,184,0.5641878616717279,0.9035881958417169,0.3539433099475777,0.08342468987665455,0.8913043478260869
pool_1,hist_gb,S_plus_H,437,184,0.5641878616717279,0.9614352783366868,0.22054189895553933,0.06078120250665858,0.9184782608695652
pool_2,logistic,S,184,437,0.6140423216570352,0.9280115511551155,0.3125181301992406,0.06484126671218925,0.9130434782608695
pool_2,logistic,S_plus_H,184,437,0.6140423216570352,0.9897159358793024,0.13016559680568907,0.024565728527696076,0.9702517162471396
pool_2,random_forest,S,184,437,0.6140423216570352,0.9052333804809053,0.36214000997006895,0.10408607971175142,0.9130434782608695
pool_2,random_forest,S_plus_H,184,437,0.6140423216570352,0.9881541725601132,0.2413383244535748,0.05953870288804933,0.965675057208238
pool_2,hist_gb,S,184,437,0.6140423216570352,0.9161067892503536,0.3851745956847108,0.08391814674677779,0.897025171624714
pool_2,hist_gb,S_plus_H,184,437,0.6140423216570352,0.9828206034889203,0.1688327797190891,0.04968019895764867,0.931350114416476
