rep,mean_auc_gain
0,0.0019444223094341462
1,-0.002706420038382118
2,-0.0005847793028798676
3,-0.003559932200463467
4,-0.0025169581847520606
5,-0.001531466023865946
6,-0.006598792424514055
7,-0.0012838997682463882
8,0.0028850910744998015
9,-0.0034858490879268733
10,-0.0026964592837552814
11,-0.0031816310403675607
12,-0.0060551012344695065
13,-0.013039457869328197
14,-0.0067056630210303725
15,-0.0020261835036622378
16,-0.004543141688414298
17,0.0014476296724239557
18,-0.002169576867143419
19,-0.0019514778439614355
