outcome,S_level,estimator,test_sequence,features,r2,rmse
future_speed,S0,ridge,01,S,-2.8220249993313495,0.7157223390623126
future_speed,S0,ridge,01,S_plus_H,-5.1277380022549925,0.9062497610091924
future_speed,S0,ridge,02,S,-11.023144556980068,0.7524082291879111
future_speed,S0,ridge,02,S_plus_H,-12.641748576791981,0.8014557018484962
future_speed,S0,random_forest,01,S,-2.7705852559872053,0.7108896534383661
future_speed,S0,random_forest,01,S_plus_H,-3.4710341850520363,0.7741084463827916
future_speed,S0,random_forest,02,S,-10.875222483772383,0.7477654240531971
future_speed,S0,random_forest,02,S_plus_H,-11.571362485917758,0.7693707602460113
future_speed,S0,extra_trees,01,S,-2.695133583011612,0.7037410465260472
future_speed,S0,extra_trees,01,S_plus_H,-3.3653551502591794,0.7649051799539212
future_speed,S0,extra_trees,02,S,-12.688870000740826,0.8028387055458888
future_speed,S0,extra_trees,02,S_plus_H,-11.724252620203512,0.7740350801359582
future_speed,S1,ridge,01,S,-2.805083408723556,0.7141343141759013
future_speed,S1,ridge,01,S_plus_H,-5.220924837478668,0.9131146022922193
future_speed,S1,ridge,02,S,-11.537793806538199,0.7683428675081694
future_speed,S1,ridge,02,S_plus_H,-12.950538215472594,0.8104756735609839
future_speed,S1,random_forest,01,S,-2.8322056484822746,0.7166749325486806
future_speed,S1,random_forest,01,S_plus_H,-3.6755121566519087,0.7916120676758018
future_speed,S1,random_forest,02,S,-12.167102773250026,0.7873894928613044
future_speed,S1,random_forest,02,S_plus_H,-11.751944654134837,0.7748768960319568
future_speed,S1,extra_trees,01,S,-2.7716845894346984,0.7109932776459919
future_speed,S1,extra_trees,01,S_plus_H,-3.7906469701239223,0.8012995429195408
future_speed,S1,extra_trees,02,S,-13.257888425660289,0.8193550001975425
future_speed,S1,extra_trees,02,S_plus_H,-11.997669426220373,0.7823070536584411
future_speed,S2,ridge,01,S,-2.811415328849205,0.714728251463304
future_speed,S2,ridge,01,S_plus_H,-5.240431931404836,0.914545118741834
future_speed,S2,ridge,02,S,-11.55249215508136,0.7687931087351931
future_speed,S2,ridge,02,S_plus_H,-13.011477383576933,0.8122439169657143
future_speed,S2,random_forest,01,S,-2.8160655949795976,0.7151641346085622
future_speed,S2,random_forest,01,S_plus_H,-3.6612349353703664,0.7904025037298407
future_speed,S2,random_forest,02,S,-12.499095770323759,0.7972542475165059
future_speed,S2,random_forest,02,S_plus_H,-12.58758350267132,0.799863014365299
future_speed,S2,extra_trees,01,S,-2.7502684034243017,0.7089718412734931
future_speed,S2,extra_trees,01,S_plus_H,-3.7722188173250117,0.799756880894105
future_speed,S2,extra_trees,02,S,-13.14028195793068,0.8159687701296022
future_speed,S2,extra_trees,02,S_plus_H,-11.882322870210228,0.778828063952918
future_radial_velocity,S0,ridge,01,S,-0.19209999641885478,0.5103158988131791
future_radial_velocity,S0,ridge,01,S_plus_H,-0.25326680748744845,0.5232443221416827
future_radial_velocity,S0,ridge,02,S,-1.132367393617029,0.7835313862633956
future_radial_velocity,S0,ridge,02,S_plus_H,-1.0203497805224129,0.762673512621457
future_radial_velocity,S0,random_forest,01,S,-0.4095634386265252,0.5549132167250762
future_radial_velocity,S0,random_forest,01,S_plus_H,-0.4971287762719263,0.571889778766681
future_radial_velocity,S0,random_forest,02,S,-0.36643795208405905,0.6272206370995718
future_radial_velocity,S0,random_forest,02,S_plus_H,-0.4749829825156775,0.6516567321195411
future_radial_velocity,S0,extra_trees,01,S,-0.17549216565987402,0.5067486788255693
future_radial_velocity,S0,extra_trees,01,S_plus_H,-0.5167423274645682,0.5756236896879448
future_radial_velocity,S0,extra_trees,02,S,-0.544898159218212,0.6669224074497881
future_radial_velocity,S0,extra_trees,02,S_plus_H,-0.43345533012110393,0.6424176483664099
future_radial_velocity,S1,ridge,01,S,-0.2930039192786382,0.5314747988438425
future_radial_velocity,S1,ridge,01,S_plus_H,-0.23519606901085632,0.5194583192773048
future_radial_velocity,S1,ridge,02,S,-0.9487169628466718,0.749030951708209
future_radial_velocity,S1,ridge,02,S_plus_H,-0.9045239546727468,0.7404889823817543
future_radial_velocity,S1,random_forest,01,S,-0.5117564279382381,0.5746768036176269
future_radial_velocity,S1,random_forest,01,S_plus_H,-0.5230294037837799,0.5768154700813266
future_radial_velocity,S1,random_forest,02,S,-0.3538735529559598,0.6243303302874039
future_radial_velocity,S1,random_forest,02,S_plus_H,-0.22004525789800056,0.5926705560684199
future_radial_velocity,S1,extra_trees,01,S,-0.38332613546117145,0.5497244414727346
future_radial_velocity,S1,extra_trees,01,S_plus_H,-0.38509763277300313,0.5500763193740128
future_radial_velocity,S1,extra_trees,02,S,-0.4031036635458556,0.6355800555949027
future_radial_velocity,S1,extra_trees,02,S_plus_H,-0.21972357188516223,0.5925924170011085
future_radial_velocity,S2,ridge,01,S,-0.36147750817891966,0.5453659147523312
future_radial_velocity,S2,ridge,01,S_plus_H,-0.24905267581163648,0.5223638722698266
future_radial_velocity,S2,ridge,02,S,-0.9810205205460745,0.7552137152530501
future_radial_velocity,S2,ridge,02,S_plus_H,-0.9619689081270513,0.7515734705187895
future_radial_velocity,S2,random_forest,01,S,-0.4899561019758678,0.5705181853260353
future_radial_velocity,S2,random_forest,01,S_plus_H,-0.46466684652791446,0.5656557174533542
future_radial_velocity,S2,random_forest,02,S,-0.39670524730054946,0.6341292174653035
future_radial_velocity,S2,random_forest,02,S_plus_H,-0.25996612352124293,0.602288839355583
future_radial_velocity,S2,extra_trees,01,S,-0.3641722838962367,0.5459053699835726
future_radial_velocity,S2,extra_trees,01,S_plus_H,-0.38408841012791095,0.5498758820090582
future_radial_velocity,S2,extra_trees,02,S,-0.47898833009052955,0.6525409261037884
future_radial_velocity,S2,extra_trees,02,S_plus_H,-0.31207396140077037,0.6146169594212638
