outcome,S_level,estimator,r2_S,r2_S_plus_H,r2_gain,rmse_improvement
future_radial_velocity,S0,extra_trees,-0.36019516243904304,-0.47509882879283605,-0.11490366635379301,-0.022185125889498614
future_radial_velocity,S0,random_forest,-0.38800069535529214,-0.4860558793938019,-0.09805518403850977,-0.02070632853078702
future_radial_velocity,S0,ridge,-0.6622336950179419,-0.6368082940049307,0.025425401013011273,0.00396472515671753
future_radial_velocity,S1,extra_trees,-0.3932148995035135,-0.3024106023290827,0.09080429717443084,0.021317880346257922
future_radial_velocity,S1,random_forest,-0.4328149904470989,-0.37153733084089025,0.06127765960620868,0.01476055387764219
future_radial_velocity,S1,ridge,-0.620860441062655,-0.5698600118418016,0.05100042922085346,0.010279224446496205
future_radial_velocity,S2,extra_trees,-0.4215803069933831,-0.34808118576434066,0.07349912122904245,0.016976727328519514
future_radial_velocity,S2,random_forest,-0.44333067463820863,-0.3623164850245787,0.08101418961362994,0.01835142299120085
future_radial_velocity,S2,ridge,-0.6712490143624971,-0.6055107919693439,0.06573822239315319,0.013321143608382546
future_speed,S0,extra_trees,-7.692001791876219,-7.544803885231346,0.1471979066448732,-0.016180254008971717
future_speed,S0,random_forest,-6.822903869879794,-7.521198335484897,-0.6982944656051027,-0.0424120645686199
future_speed,S0,ridge,-6.922584778155708,-8.884743289523486,-1.962158511367778,-0.11978744730373247
future_speed,S1,extra_trees,-8.014786507547493,-7.894158198172148,0.12062830937534486,-0.026629159367223654
future_speed,S1,random_forest,-7.49965421086615,-7.713728405393373,-0.21407419452722287,-0.03121226914888675
future_speed,S1,ridge,-7.171438607630877,-9.08573152647563,-1.9142929188447528,-0.1205565470845662
future_speed,S2,extra_trees,-7.945275180677491,-7.82727084376762,0.11800433690987155,-0.026822166721963914
future_speed,S2,random_forest,-7.657580682651679,-8.124409219020844,-0.46682853636916555,-0.03892356798503582
future_speed,S2,ridge,-7.181953741965282,-9.125954657490885,-1.9440009155256028,-0.12163383775452552
