S_level,estimator,features,r2,rmse,vector_error
S0_position_volume,extra_trees,S,-1.7664852866411072,0.9539251379423195,1.621424327240855
S0_position_volume,extra_trees,S_plus_H,-1.783158403070852,0.9579408187463454,1.6274986621710044
S0_position_volume,random_forest,S,-2.2177133678288152,1.0216206071112723,1.7411928766983609
S0_position_volume,random_forest,S_plus_H,-2.2018885030242874,1.022022799271434,1.7408143082434444
S0_position_volume,ridge,S,-1.7373647610901113,0.9479510662939152,1.6083009118208489
S0_position_volume,ridge,S_plus_H,-1.8061986071217062,0.9479356118952647,1.5884828357055922
S1_recent_velocity,extra_trees,S,-1.8169643242964992,0.962230995465444,1.6361762657920136
S1_recent_velocity,extra_trees,S_plus_H,-1.7992579020214161,0.9603378703563168,1.631626968677325
S1_recent_velocity,random_forest,S,-2.234573950857207,1.0252636772078398,1.7473853657533729
S1_recent_velocity,random_forest,S_plus_H,-2.1259159400119074,1.0114514801250714,1.7226596301541046
S1_recent_velocity,ridge,S,-1.7500215820911431,0.9479136403545108,1.6072232275774687
S1_recent_velocity,ridge,S_plus_H,-1.760716721909059,0.9384918972678397,1.5705138722661234
S2_recent_acceleration,extra_trees,S,-1.8005365171788168,0.9604351992535494,1.6322060696670653
S2_recent_acceleration,extra_trees,S_plus_H,-1.8794678254625645,0.9744490079370707,1.6569512388092957
S2_recent_acceleration,random_forest,S,-2.174896128218584,1.0169488971789125,1.732180846536143
S2_recent_acceleration,random_forest,S_plus_H,-1.9639421638963142,0.9858280554422141,1.678847738277662
S2_recent_acceleration,ridge,S,-1.6993195647365886,0.9358211143161552,1.5847450052547387
S2_recent_acceleration,ridge,S_plus_H,-1.7529023967498345,0.9341947930627801,1.5635642568128365
