outcome,S_level,estimator,test_sequence,features,r2,rmse,n_train,n_test
future_radial_velocity,S0,ridge,01,S,-0.39020091292444414,0.0018586077136261696,194,93
future_radial_velocity,S0,ridge,01,S_plus_H,-0.3094069600392759,0.001803791238349611,194,93
future_radial_velocity,S0,ridge,02,S,-0.27082172477009725,0.001440586039931491,93,194
future_radial_velocity,S0,ridge,02,S_plus_H,-2.5659090460936267,0.002413137215881839,93,194
future_radial_velocity,S0,random_forest,01,S,-0.47165102612639176,0.001912279500013582,194,93
future_radial_velocity,S0,random_forest,01,S_plus_H,-0.13507657878699963,0.0016794285498614838,194,93
future_radial_velocity,S0,random_forest,02,S,-0.3991038495624717,0.0015115477196108395,93,194
future_radial_velocity,S0,random_forest,02,S_plus_H,0.10811449531343076,0.0012068448443784436,93,194
future_radial_velocity,S0,extra_trees,01,S,-0.359034048287171,0.0018376555867353132,194,93
future_radial_velocity,S0,extra_trees,01,S_plus_H,-0.23521894302284707,0.001751946832427786,194,93
future_radial_velocity,S0,extra_trees,02,S,-0.3090253954126041,0.0014620792805851294,93,194
future_radial_velocity,S0,extra_trees,02,S_plus_H,0.1492705071252578,0.0011786710893034447,93,194
future_radial_velocity,S1,ridge,01,S,-0.19289089366036505,0.0017216676222361277,194,93
future_radial_velocity,S1,ridge,01,S_plus_H,-0.2111869536900428,0.0017348204886793266,194,93
future_radial_velocity,S1,ridge,02,S,-0.2705755509129619,0.001440446503523271,93,194
future_radial_velocity,S1,ridge,02,S_plus_H,-1.064320082771577,0.001836053811551262,93,194
future_radial_velocity,S1,random_forest,01,S,-0.36686551905526654,0.0018429427510381813,194,93
future_radial_velocity,S1,random_forest,01,S_plus_H,-0.12900205430196565,0.0016749286704319647,194,93
future_radial_velocity,S1,random_forest,02,S,-0.18921620931899663,0.0013935652131008465,93,194
future_radial_velocity,S1,random_forest,02,S_plus_H,0.0879103116741583,0.0012204378258625925,93,194
future_radial_velocity,S1,extra_trees,01,S,-0.30375728583266337,0.001799895639245023,194,93
future_radial_velocity,S1,extra_trees,01,S_plus_H,-0.21282265337488915,0.0017359915250371692,194,93
future_radial_velocity,S1,extra_trees,02,S,-0.3137974164319042,0.0014647418438778568,93,194
future_radial_velocity,S1,extra_trees,02,S_plus_H,0.16928150122375984,0.0011647261533935674,93,194
future_radial_velocity,S2,ridge,01,S,-0.049645434349484985,0.0016149915750398665,194,93
future_radial_velocity,S2,ridge,01,S_plus_H,-0.06537305741524979,0.0016270459018710788,194,93
future_radial_velocity,S2,ridge,02,S,-0.13448459375244504,0.0013611192869183554,93,194
future_radial_velocity,S2,ridge,02,S_plus_H,-1.178733847554708,0.001886248801592552,93,194
future_radial_velocity,S2,random_forest,01,S,-0.3203835011930649,0.0018113359011733448,194,93
future_radial_velocity,S2,random_forest,01,S_plus_H,-0.12149723429235437,0.00166935250824186,194,93
future_radial_velocity,S2,random_forest,02,S,-0.037007986061120324,0.0013013314840743132,93,194
future_radial_velocity,S2,random_forest,02,S_plus_H,0.1243960561006251,0.001195778501669871,93,194
future_radial_velocity,S2,extra_trees,01,S,-0.32655017317991963,0.001815560773274782,194,93
future_radial_velocity,S2,extra_trees,01,S_plus_H,-0.19842224730789648,0.0017256546333288985,194,93
future_radial_velocity,S2,extra_trees,02,S,-0.18621812913595148,0.0013918074768724446,93,194
future_radial_velocity,S2,extra_trees,02,S_plus_H,0.1830191977328096,0.001155055393479187,93,194
future_speed,S0,ridge,01,S,0.2470703122297021,0.0007592384509361868,194,93
future_speed,S0,ridge,01,S_plus_H,0.07263175621660567,0.00084261094043199,194,93
future_speed,S0,ridge,02,S,0.0761313299319819,0.0010886356219185263,93,194
future_speed,S0,ridge,02,S_plus_H,0.04071481547322586,0.001109305815463191,93,194
future_speed,S0,random_forest,01,S,-0.7934282407069411,0.0011717716481811416,194,93
future_speed,S0,random_forest,01,S_plus_H,-0.6218990185513593,0.0011143276044973398,194,93
future_speed,S0,random_forest,02,S,-0.31229118931164757,0.0012974556681655072,93,194
future_speed,S0,random_forest,02,S_plus_H,-0.303745677763267,0.001293224316332732,93,194
future_speed,S0,extra_trees,01,S,-0.43470478256902023,0.0010480506137819587,194,93
future_speed,S0,extra_trees,01,S_plus_H,-0.5268958277072644,0.0010811991306485555,194,93
future_speed,S0,extra_trees,02,S,-0.18202205798582294,0.0012313746587527441,93,194
future_speed,S0,extra_trees,02,S_plus_H,-0.23444029621003382,0.0012583819094502391,93,194
future_speed,S1,ridge,01,S,0.30619180769782894,0.0007288206940113161,194,93
future_speed,S1,ridge,01,S_plus_H,0.16672903508930625,0.0007987191704092758,194,93
future_speed,S1,ridge,02,S,0.08841385689997594,0.0010813748844798892,93,194
future_speed,S1,ridge,02,S_plus_H,0.0462779367238193,0.0011060845753366893,93,194
future_speed,S1,random_forest,01,S,-0.61618569756834,0.001112363201104763,194,93
future_speed,S1,random_forest,01,S_plus_H,-0.5540517286848379,0.001090771341729618,194,93
future_speed,S1,random_forest,02,S,-0.2622012924316546,0.0012724529457153817,93,194
future_speed,S1,random_forest,02,S_plus_H,-0.3095594855250692,0.001296104553803844,93,194
future_speed,S1,extra_trees,01,S,-0.4762432774211125,0.0010631142759930908,194,93
future_speed,S1,extra_trees,01,S_plus_H,-0.41641531155673817,0.0010413489658472616,194,93
future_speed,S1,extra_trees,02,S,-0.22090494998262145,0.001251463963590087,93,194
future_speed,S1,extra_trees,02,S_plus_H,-0.1257267640841888,0.0012016940669058163,93,194
future_speed,S2,ridge,01,S,0.2770595861040239,0.0007439645388420498,194,93
future_speed,S2,ridge,01,S_plus_H,0.09174615935300368,0.0008338820111155183,194,93
future_speed,S2,ridge,02,S,0.09039707276938214,0.0010801979427568723,93,194
