outcome,S_level,estimator,features,r2,rmse
future_radial_velocity,S0,extra_trees,S,-0.33402972184988755,0.0016498674336602212
future_radial_velocity,S0,extra_trees,S_plus_H,-0.042974217948794635,0.0014653089608656154
future_radial_velocity,S0,random_forest,S,-0.4353774378444317,0.0017119136098122107
future_radial_velocity,S0,random_forest,S_plus_H,-0.013481041736784438,0.0014431366971199636
future_radial_velocity,S0,ridge,S,-0.3305113188472707,0.0016495968767788302
future_radial_velocity,S0,ridge,S_plus_H,-1.4376580030664514,0.002108464227115725
future_radial_velocity,S1,extra_trees,S,-0.3087773511322838,0.0016323187415614399
future_radial_velocity,S1,extra_trees,S_plus_H,-0.02177057607556465,0.0014503588392153683
future_radial_velocity,S1,random_forest,S,-0.2780408641871316,0.0016182539820695139
future_radial_velocity,S1,random_forest,S_plus_H,-0.020545871313903674,0.0014476832481472787
future_radial_velocity,S1,ridge,S,-0.2317332222866635,0.0015810570628796994
future_radial_velocity,S1,ridge,S_plus_H,-0.63775351823081,0.0017854371501152943
future_radial_velocity,S2,extra_trees,S,-0.25638415115793556,0.0016036841250736133
future_radial_velocity,S2,extra_trees,S_plus_H,-0.0077015247875434345,0.0014403550134040428
future_radial_velocity,S2,random_forest,S,-0.17869574362709262,0.001556333692623829
future_radial_velocity,S2,random_forest,S_plus_H,0.001449410904135362,0.0014325655049558655
future_radial_velocity,S2,ridge,S,-0.09206501405096501,0.001488055430979111
future_radial_velocity,S2,ridge,S_plus_H,-0.6220534524849789,0.0017566473517318154
future_speed,S0,extra_trees,S,-0.3083634202774216,0.0011397126362673515
future_speed,S0,extra_trees,S_plus_H,-0.3806680619586491,0.0011697905200493972
future_speed,S0,random_forest,S,-0.5528597150092943,0.0012346136581733243
future_speed,S0,random_forest,S_plus_H,-0.46282234815731316,0.001203775960415036
future_speed,S0,ridge,S,0.161600821080842,0.0009239370364273566
future_speed,S0,ridge,S_plus_H,0.056673285844915766,0.0009759583779475905
future_speed,S1,extra_trees,S,-0.34857411370186697,0.001157289119791589
future_speed,S1,extra_trees,S_plus_H,-0.2710710378204635,0.001121521516376539
future_speed,S1,random_forest,S,-0.43919349499999727,0.0011924080734100723
future_speed,S1,random_forest,S_plus_H,-0.4318056071049535,0.0011934379477667309
future_speed,S1,ridge,S,0.19730283229890244,0.0009050977892456027
future_speed,S1,ridge,S_plus_H,0.10650348590656278,0.0009524018728729825
future_speed,S2,extra_trees,S,-0.3712015714037801,0.0011655582250444225
future_speed,S2,extra_trees,S_plus_H,-0.28111067555921776,0.001125463857463576
future_speed,S2,random_forest,S,-0.4623300098283293,0.0012021467876342385
future_speed,S2,random_forest,S_plus_H,-0.3803955016896088,0.0011686431723483652
future_speed,S2,ridge,S,0.18372832943670303,0.000912081240799461
future_speed,S2,ridge,S_plus_H,0.06572547347628216,0.0009718858324816743
