sequence,frame,label,x_px,y_px,z_slice,voxel_count
01,15,1,314.0,1394.0,4.0,9
01,15,2,362.0,1340.0,5.0,9
01,15,3,346.0,1401.0,4.0,9
01,15,4,360.0,1483.0,3.0,9
01,15,5,327.0,1490.0,5.0,9
01,15,6,356.0,1449.0,5.0,9
01,15,7,373.0,1507.0,4.0,9
01,15,8,487.0,1191.0,5.0,9
01,15,9,487.0,1160.0,6.0,9
01,15,10,434.0,1195.0,6.0,9
01,15,11,463.0,1212.0,5.0,9
01,15,12,375.0,1377.0,4.0,9
01,15,13,439.0,1282.0,6.0,9
01,15,14,398.0,1362.0,5.0,9
01,15,15,464.0,1260.0,5.0,9
01,15,16,367.0,1296.0,5.0,9
01,15,17,374.0,1262.0,6.0,9
01,15,18,403.0,1264.0,5.0,9
01,15,19,386.0,1315.0,8.0,9
01,15,20,369.0,1427.0,4.0,9
01,15,21,339.0,1356.0,5.0,9
01,15,22,329.0,1435.0,5.0,9
01,15,23,409.0,1212.0,6.0,9
01,15,24,440.0,1227.0,6.0,9
01,15,25,513.0,1176.0,7.0,9
01,15,26,459.0,1178.0,6.0,9
01,15,27,476.0,1237.0,6.0,9
01,15,28,412.0,1295.0,6.0,9
01,15,29,427.0,1250.0,6.0,9
01,15,30,410.0,1332.0,6.0,9
01,15,31,356.0,1526.0,4.0,9
01,15,32,332.0,1570.0,4.0,9
01,15,33,329.0,1537.0,4.0,9
01,15,34,341.0,1604.0,3.0,9
01,15,35,355.0,1647.0,4.0,9
01,15,36,315.0,1607.0,4.0,9
01,15,37,327.0,1640.0,4.0,9
01,15,38,361.0,1574.0,3.0,9
01,15,39,420.0,1746.0,3.0,9
01,15,40,396.0,1710.0,3.0,9
01,15,41,377.0,1607.0,3.0,9
01,15,42,424.0,1816.0,4.0,9
01,15,43,448.0,1869.5,3.0,12
01,15,44,409.0,1875.0,3.0,9
01,15,45,422.0,1902.0,3.0,9
01,15,46,399.0,1686.0,5.0,9
01,15,47,425.0,1693.0,5.0,9
01,15,48,387.0,1652.0,4.0,9
01,15,49,419.0,1658.0,4.0,9
01,15,50,373.0,1684.0,5.0,9
01,15,51,423.0,1783.0,4.0,9
01,15,52,427.0,1720.0,5.0,9
01,15,53,424.0,1850.0,3.0,9
01,15,54,445.0,1770.0,4.0,9
01,15,55,477.0,1769.0,4.0,9
01,15,56,455.0,1741.0,4.0,9
01,15,57,446.0,1700.0,6.0,9
01,15,58,464.0,1801.0,3.0,9
01,15,59,461.0,1890.0,4.0,9
01,15,60,447.0,1825.0,4.0,9
01,15,61,470.0,1852.0,4.0,9
01,15,62,515.0,1147.0,4.0,9
01,15,63,894.0,882.0,4.0,9
01,15,64,912.0,842.0,3.0,9
01,15,65,909.0,921.0,3.0,9
01,15,66,889.0,987.0,3.0,9
01,15,67,859.0,981.0,3.0,9
01,15,68,773.0,988.0,4.0,9
01,15,69,927.0,879.0,3.0,9
01,15,70,962.0,737.0,3.0,9
01,15,71,957.0,654.0,4.0,9
01,15,72,993.0,759.0,5.0,9
01,15,73,964.0,775.0,3.0,9
01,15,74,999.0,808.0,3.0,9
