organism,outcome,estimator,test_sequence,r2,rmse,mae,n_train,n_test
Drosophila,future_radial_velocity,naive_train_mean,01,-0.014328476616700003,0.004809393858165539,0.003800189416888147,203,189
Drosophila,future_radial_velocity,ridge,01,-0.38171505220408664,0.005613196939079787,0.004376645875557245,203,189
Drosophila,future_radial_velocity,random_forest,01,-0.2523586892974503,0.005343987111372473,0.004288553356552619,203,189
Drosophila,future_radial_velocity,extra_trees,01,-0.30209089269337297,0.005449061204555853,0.0044074916393224235,203,189
Drosophila,future_radial_velocity,naive_train_mean,02,-0.014620958599731004,0.0047617329546128205,0.004055835521665023,189,203
Drosophila,future_radial_velocity,ridge,02,-1.5862881700420886,0.007602415083922222,0.006344918511507698,189,203
Drosophila,future_radial_velocity,random_forest,02,-0.5216178309651986,0.005831307126985098,0.004899783932675833,189,203
Drosophila,future_radial_velocity,extra_trees,02,-0.53207941613548,0.005851318793958878,0.004998966777095095,189,203
Drosophila,future_speed,naive_train_mean,01,-4.015780463345331,0.008376938950476276,0.007745443139771909,203,189
Drosophila,future_speed,ridge,01,-5.344275632226136,0.009421219279348454,0.008643463107511998,203,189
Drosophila,future_speed,random_forest,01,-4.477861651667826,0.008754303932794897,0.008025046528539373,203,189
Drosophila,future_speed,extra_trees,01,-4.377395191400806,0.008673653483299617,0.007951644980396315,203,189
Drosophila,future_speed,naive_train_mean,02,-15.372257796566487,0.007735466854709631,0.007495507998213022,189,203
Drosophila,future_speed,ridge,02,-28.94412268984498,0.010461357391348094,0.009011639674640637,189,203
Drosophila,future_speed,random_forest,02,-18.057158254017057,0.008345672008666259,0.0076950219472798845,189,203
Drosophila,future_speed,extra_trees,02,-18.57873419062042,0.00845910756649605,0.007799204816994465,189,203
