organism,outcome,estimator,test_sequence,r2,rmse,mae,n_train,n_test
Tribolium,future_radial_velocity,naive_train_mean,01,-0.06175334706120772,0.0016242795254092358,0.0013347964176271875,194,93
Tribolium,future_radial_velocity,ridge,01,-0.7540355025249301,0.0020877002358353843,0.001495511542126525,194,93
Tribolium,future_radial_velocity,random_forest,01,-0.5293838906756323,0.0019494280296439308,0.0014890526314405318,194,93
Tribolium,future_radial_velocity,extra_trees,01,-0.6412178194403741,0.0020194451525553875,0.001502129311354698,194,93
Tribolium,future_radial_velocity,naive_train_mean,02,-0.09396467788744456,0.001336591012392997,0.0009358533063740735,93,194
Tribolium,future_radial_velocity,ridge,02,-0.845639760087157,0.0017360824842436705,0.0012967500758732265,93,194
Tribolium,future_radial_velocity,random_forest,02,-1.006013146783249,0.0018099383162695172,0.0013014137146807184,93,194
Tribolium,future_radial_velocity,extra_trees,02,-0.8689297129332221,0.0017470018745427093,0.0012267696042703618,93,194
Tribolium,future_speed,naive_train_mean,01,-0.1147843608656336,0.0009238392664411018,0.0007488555815024275,194,93
Tribolium,future_speed,ridge,01,-0.730487226832184,0.001151026129391493,0.0009344259671633943,194,93
Tribolium,future_speed,random_forest,01,-0.4811083302398125,0.001064864615161424,0.00087250444036377,194,93
Tribolium,future_speed,extra_trees,01,-0.17667765291887583,0.0009491388198006414,0.0007603741928039495,194,93
Tribolium,future_speed,naive_train_mean,02,-0.06850619481981512,0.0011707547901457628,0.0009981882720394206,93,194
Tribolium,future_speed,ridge,02,-0.01674006181061105,0.0011420428238430932,0.0008909833243019571,93,194
Tribolium,future_speed,random_forest,02,-0.191660294045928,0.0012363847954664539,0.0010277683630494701,93,194
Tribolium,future_speed,extra_trees,02,-0.12668479154285328,0.0012022052971241604,0.0010179666949586903,93,194
