label,radius_norm,radius_rank,log_volume,volume_rank,recent_speed_relcentroid,recent_radial_relcentroid,recent_tangential_relcentroid,recent_speed_abs,accel_mag_relcentroid,accel_radial_relcentroid,accel_tangential_relcentroid,recent_log_volume_change,old_speed_relcentroid,old_radial_relcentroid,old_tangential_relcentroid,old_log_volume_change_rate,future_radial_velocity,future_speed,knn3_mean_distance,knn3_max_distance,knn3_distance_sd,knn3_log_density,knn3_neighbor_logvol_mean,knn3_neighbor_logvol_sd,knn3_focal_minus_neighbor_logvol,knn3_shape_eigfrac1,knn3_shape_eigfrac2,knn5_mean_distance,knn5_max_distance,knn5_distance_sd,knn5_log_density,knn5_neighbor_logvol_mean,knn5_neighbor_logvol_sd,knn5_focal_minus_neighbor_logvol,knn5_shape_eigfrac1,knn5_shape_eigfrac2,knn10_mean_distance,knn10_max_distance,knn10_distance_sd,knn10_log_density,knn10_neighbor_logvol_mean,knn10_neighbor_logvol_sd,knn10_focal_minus_neighbor_logvol,knn10_shape_eigfrac1,knn10_shape_eigfrac2,neighbor_velocity_mean_speed,neighbor_velocity_speed_sd,neighbor_velocity_consensus_mag,focal_minus_neighbor_consensus_speed,focal_neighbor_velocity_alignment,neighbor_radial_velocity_mean,neighbor_radial_velocity_sd,sequence,organism,r8_eigfrac1,r8_eigfrac2,r8_eigfrac3,r8_axis_ratio21,r8_axis_ratio31,r8_bbox_major,r8_bbox_mid,r8_bbox_minor,r8_bbox_ratio_minor_major,r8_projected_area_px,r8_perimeter_px,r8_roundness,r8_intensity_mean,r8_intensity_var,r8_intensity_q25,r8_intensity_median,r8_intensity_q75,r8_gradient_mean_inplane,r8_gradient_q75_inplane,r8_boundary_mean_intensity,r8_outside_neighbor_mean_intensity,r8_boundary_contrast_norm,r8_intensity_polarity_norm,r8_intensity_axis_asym_abs,r8_d23_25_eigfrac1,r8_d24_25_eigfrac1,r8_d23_25_axis_ratio21,r8_d24_25_axis_ratio21,r8_d23_25_bbox_ratio_minor_major,r8_d24_25_bbox_ratio_minor_major,r8_d23_25_roundness,r8_d24_25_roundness,r8_d23_25_intensity_mean,r8_d24_25_intensity_mean,r8_d23_25_intensity_var,r8_d24_25_intensity_var,r8_d23_25_intensity_median,r8_d24_25_intensity_median,r8_d23_25_gradient_mean_inplane,r8_d24_25_gradient_mean_inplane,r8_d23_25_boundary_contrast_norm,r8_d24_25_boundary_contrast_norm,r8_d23_25_intensity_polarity_norm,r8_d24_25_intensity_polarity_norm,r8_d23_25_intensity_axis_asym_abs,r8_d24_25_intensity_axis_asym_abs,r8_rank_eigfrac1,r8_rank_eigfrac2,r8_rank_eigfrac3,r8_rank_axis_ratio21,r8_rank_axis_ratio31,r8_rank_bbox_major,r8_rank_bbox_mid,r8_rank_bbox_minor,r8_rank_bbox_ratio_minor_major,r8_rank_projected_area_px,r8_rank_perimeter_px,r8_rank_roundness,r8_rank_intensity_mean,r8_rank_intensity_var,r8_rank_intensity_q25,r8_rank_intensity_median,r8_rank_intensity_q75,r8_rank_gradient_mean_inplane,r8_rank_gradient_q75_inplane,r8_rank_boundary_mean_intensity,r8_rank_outside_neighbor_mean_intensity,r8_rank_boundary_contrast_norm,r8_rank_intensity_polarity_norm,r8_rank_intensity_axis_asym_abs,r8_knn5_eigfrac1_mean,r8_knn5_eigfrac1_sd,r8_knn5_eigfrac1_contrast,r8_knn5_axis_ratio21_mean,r8_knn5_axis_ratio21_sd,r8_knn5_axis_ratio21_contrast,r8_knn5_bbox_ratio_minor_major_mean,r8_knn5_bbox_ratio_minor_major_sd,r8_knn5_bbox_ratio_minor_major_contrast,r8_knn5_roundness_mean,r8_knn5_roundness_sd,r8_knn5_roundness_contrast,r8_knn5_intensity_mean_mean,r8_knn5_intensity_mean_sd,r8_knn5_intensity_mean_contrast,r8_knn5_intensity_var_mean,r8_knn5_intensity_var_sd,r8_knn5_intensity_var_contrast,r8_knn5_boundary_contrast_norm_mean,r8_knn5_boundary_contrast_norm_sd,r8_knn5_boundary_contrast_norm_contrast,r8_knn5_intensity_polarity_norm_mean,r8_knn5_intensity_polarity_norm_sd,r8_knn5_intensity_polarity_norm_contrast
1,0.8017983844332699,0.4692307692307692,2.302585092994046,0.5038461538461538,0.0044736911569742,-0.004462419727496,0.000317368466682,0.003420271223211,0.0031105030628786,-0.0011066900553081,0.002906968597295,0.0,0.0026854642906445,-0.0010180236230863,0.0024850244182231,0.0,0.0014381720360114,0.0020394557217563,0.097849135261316,0.1279062545522909,0.0243973349132468,5.21152762800456,2.302585092994046,0.0,0.0,0.7737398427796393,0.2262601571220291,0.115741069799055,0.1482402525259309,0.0291571602430494,5.427279899414027,2.302585092994046,0.0,0.0,0.6087903945546159,0.3912096053751895,0.1638951855523011,0.253481097732136,0.0579169795981798,5.047517140759073,2.302585092994046,0.0,0.0,0.7064273589433675,0.2935726410235375,0.0030093217753565,0.0018611018932398,0.0009984670214561,0.004413342834535,0.1716265144461757,-0.0002747714391038,0.0028161868419547,01,Tribolium,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,9.0,12.0,0.7853981633974483,750.5555555555555,77.58024691358025,747.0,749.0,755.0,11.203279606414974,17.867568385205637,750.0,752.9166666666666,-0.0038860103626942,0.0054468307606783,0.0068897564932541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.0,0.4444444444444571,-366.0,-206.2962962962963,-42.0,2.0,-7.045572908589012,-7.083346838670703,-0.0092941593405714,-0.00788541785788,-0.012792339597941701,-0.0090511987624694,-0.0066575474608854,-0.0036324183757905004,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.2153846153846154,0.07692307692307693,0.23076923076923078,0.2153846153846154,0.2153846153846154,0.06923076923076923,0.13076923076923078,0.2153846153846154,0.23461538461538461,0.1,0.16923076923076924,0.46923076923076923,0.5,0.0,0.0,1.0,0.0,0.0,0.9999999999996666,0.0,0.0,0.7853981633974483,0.0,0.0,719.6666666666666,16.034992599135204,30.888888888888914,164.43456790123454,42.190592730151415,-86.85432098765429,0.01175002610647638,0.016984720189978854,-0.01563603646917058,0.009058515037848719,0.0023154276131709967,-0.003611684277170419
3,0.7636163591105136,0.4384615384615384,2.302585092994046,0.5038461538461538,0.0010021216505299,0.0009669675682199,0.0002630998374603,0.0024184969754297,0.0003352161417463,-4.03503536836e-05,0.0003327787713255,0.0,0.0037947722331527,0.0015507938662752,0.0034634281695785,0.0,6.812483856221808e-05,0.0020202453496384,0.0815514249146911,0.0956759359795075,0.0112496354138923,5.792189218184148,2.302585092994046,0.0,0.0,0.6588972657138438,0.3411027341386023,0.0924565479846214,0.1167159724603246,0.0167119759189975,5.9054616750757525,2.302585092994046,0.0,0.0,0.6981859638500075,0.3018140360367101,0.1360440784070495,0.2307859530153488,0.0512908953874375,5.235114309679844,2.302585092994046,0.0,0.0,0.8258543598107125,0.174145640141981,0.0032738032486771,0.0017423347700673,0.0013922213794169,0.0023941898562477,-0.9997371379227104,-0.0013238506614532,0.0027355890571121,01,Tribolium,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,9.0,12.0,0.7853981633974483,732.6666666666666,123.77777777777776,725.0,729.0,741.0,13.72280834374826,18.66815470259447,734.25,735.6666666666666,-0.0019335759781619,0.0085287127878472,0.00204309881494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1111111111112,-5.6666666666667425,29.827160493827137,4.0,-32.0,-7.0,0.7980327013699089,0.9809166572190211,-0.0173924252134131,-0.0086491515989294,0.0006982109716301005,0.0025322371246428,0.0015078861981953002,-0.0036705341442337,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.18461538461538463,0.16153846153846155,0.17692307692307693,0.16923076923076924,0.19230769230769232,0.13846153846153847,0.1576923076923077,0.19230769230769232,0.2,0.13076923076923078,0.34615384615384615,0.13076923076923078,0.5,0.0,0.0,1.0,0.0,0.0,0.9999999999996666,0.0,0.0,0.7853981633974483,0.0,0.0,723.2444444444445,20.03360140327208,9.422222222222103,155.19506172839505,53.598669188892195,-31.41728395061729,0.011359539229569919,0.01731407444889106,-0.013293115207731819,0.00844213863241494,0.0027448132427234356,8.65741554322598e-05
6,0.7988753889707356,0.4538461538461538,2.302585092994046,0.5038461538461538,0.0010021216505299,0.0009971062657008,0.0001001343964925,0.0024184969754297,0.0025712643875641,0.0017572393484647,0.0018771016016622,0.0,0.0013786626045626,0.000410580637981,0.0013161056632864,0.0,0.0024197361884455,0.0026688832187303,0.0767081778177076,0.0800664965619107,0.0028065421068707,6.148407853603692,2.302585092994046,0.0,0.0,0.7099224120136164,0.2900775878166625,0.0976236405540189,0.1338938988744412,0.0258940799130553,5.630853096607409,2.302585092994046,0.0,0.0,0.7583191266902505,0.2416808732117186,0.1440884257757079,0.2325784431783519,0.054035993127096,5.219640534662702,2.302585092994046,0.0,0.0,0.8704915069012418,0.1295084930565309,0.0036030575589248,0.002051306136576,0.0004768758123536,0.0007647958956586,0.67667126443302,0.0003966737715754,0.0035770111884679,01,Tribolium,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,9.0,12.0,0.7853981633974483,794.0,125.11111111111111,782.0,798.0,803.0,12.114248293822747,17.804493814764857,792.125,785.0,0.0089735516372795,0.0078165351490459,0.0013711109670384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.888888888888914,-24.888888888888914,-82.32098765432102,-109.43209876543213,-14.0,-23.0,-10.993008770143305,-10.310697983748092,-0.0178158284092511,-0.0218100304522727,-0.00297138642913,-0.0048551487030283995,-0.013881630691158199,-0.0061069784783654,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.2846153846153846,0.16923076923076924,0.2846153846153846,0.2846153846153846,0.2846153846153846,0.1,0.12307692307692308,0.2846153846153846,0.2692307692307692,0.3384615384615385,0.3076923076923077,0.09230769230769231,0.5,0.0,0.0,1.0,0.0,0.0,0.9999999999996666,0.0,0.0,0.7853981633974483,0.0,0.0,705.7777777777777,33.23778899511744,88.22222222222229,121.11111111111109,29.50274064443324,4.000000000000028,0.018004015736005276,0.014335153612320505,-0.009030464098725776,0.008640504901961001,0.0010399023376597956,-0.0008239697529151008
7,0.8643574047982242,0.5,2.302585092994046,0.5038461538461538,0.0055988032053337,0.0046340830935929,0.0031419534073138,0.0054079236404385,0.003312859103854,0.003271196517275,0.0005237449640389,0.0,0.0029192332971593,-0.0012455781962096,0.0026401624950693,0.0,0.0013762149509412,0.0023085071290852,0.0862772481078596,0.1132827700872346,0.0192021157757588,5.454348680354545,2.302585092994046,0.0,0.0,0.7008435860119002,0.2991564138600995,0.1079488160798621,0.1415389066619412,0.0304333200107759,5.519799194287259,2.302585092994046,0.0,0.0,0.5416188906934036,0.4583811092270997,0.1459229919273151,0.2117946168320356,0.0460937379676097,5.406861617806194,2.302585092994046,0.0,0.0,0.7861054890238814,0.2138945109334166,0.0036344110011721,0.0018796578092887,0.0002684084350339,0.0056460380382961,-0.1527533587655344,-8.23705514892838e-05,0.0032386896315652,01,Tribolium,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,9.0,12.0,0.7853981633974483,847.8888888888889,55.20987654320988,841.0,848.0,853.0,8.286948928410121,9.82344135219425,848.125,843.25,0.0057495741056217,0.0059578392985083,0.0080247993146333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.777777777777715,-20.888888888888914,-16.345679012345677,-117.18518518518519,-23.0,-12.0,-5.587303826329373,-8.295366351199581,-0.0029423198628761,-0.0091660161233078,6.270575906000032e-06,-0.0035216127287994994,0.0004965941888591995,-0.0016866960205265003,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.34615384615384615,0.046153846153846156,0.36153846153846153,0.34615384615384615,0.33076923076923076,0.023076923076923078,0.023076923076923078,0.34615384615384615,0.4076923076923077,0.2846153846153846,0.19230769230769232,0.5384615384615384,0.5,0.0,0.0,1.0,0.0,0.0,0.9999999999996666,0.0,0.0,0.7853981633974483,0.0,0.0,756.0666666666666,84.48392644261092,91.82222222222231,140.79506172839507,42.38436098119421,-85.5851851851852,0.01778211953104808,0.016907042950690912,-0.01203254542542638,0.00884782350388678,0.0017158451390512015,-0.0028899842053784807
8,0.3165160202847796,0.1153846153846153,2.302585092994046,0.5038461538461538,0.0018386016148562,0.0012691225761774,0.0013303322084309,0.003420271223211,0.0021156570499304,-0.0006418859874408,0.0020159333153771,0.0,0.0012259567280489,-0.0007031196077849,0.0010042871681929,0.0,0.0019197491901196,0.0019614857042378,0.0694886095011779,0.0721507004951783,0.0025713775025749,6.356608858349362,2.302585092994046,0.0,0.0,0.5907482049982032,0.4092517947949832,0.0759487784139393,0.0988038157059319,0.0116572928771091,6.238676021269231,2.302585092994046,0.0,0.0,0.6504564764409828,0.3495435233896436,0.1018580666147393,0.1397924725404198,0.0279563997718933,6.237777683185418,2.302585092994046,0.0,0.0,0.7444191876766001,0.255580812233767,0.0028833900374809,0.0010865928424938,0.0012170937819167,0.0008720014854466,0.9164083331249948,0.000399045944195,0.0022388725564222,01,Tribolium,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,9.0,12.0,0.7853981633974483,810.5555555555555,139.58024691358025,803.0,806.0,819.0,15.5044582393019,18.97366596101028,811.625,819.8333333333334,-0.0101267991775188,0.008511123551139,0.0110806252930279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.777777777777715,12.888888888888914,-585.2592592592592,-174.41975308641975,0.0,18.0,-14.661314889751718,-5.589498727779876,-0.008935994262428401,-0.0071493649944850005,-0.014587642617879199,-0.0048813298010457005,-0.020878063191446198,-0.005467675657709999,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.3076923076923077,0.2,0.3076923076923077,0.29615384615384616,0.3076923076923077,0.19230769230769232,0.18461538461538463,0.3076923076923077,0.3230769230769231,0.038461538461538464,0.3384615384615385,0.6615384615384615,0.5,0.0,0.0,1.0,0.0,0.0,0.9999999999996666,0.0,0.0,0.7853981633974483,0.0,0.0,859.9555555555555,72.15082282668646,-49.39999999999998,317.76790123456783,114.61182065798191,-178.18765432098758,0.01886924910542932,0.02152772540308296,-0.02899604828294812,0.0100280986724057,0.003822091603699722,-0.0015169751212667
9,0.3440961401614176,0.1307692307692307,2.302585092994046,0.5038461538461538,0.0018386016148562,0.0015041827199708,0.0010573032881311,0.003420271223211,0.0003352161417463,0.0002784863117831,0.0001865884129219,0.0,0.0012067215412377,-0.0004777354364001,0.0011081271275872,0.0,0.0026458599960912,0.0026688832187303,0.0697183163274991,0.0717849666250772,0.0019699845754529,6.3667726951374055,2.302585092994046,0.0,0.0,0.517034068029986,0.4829659317644439,0.0827756171107659,0.1308896283112491,0.0241579850708387,5.676239598147398,2.302585092994046,0.0,0.0,0.7663325666677189,0.2336674331977894,0.1163167034316674,0.1874920184892643,0.0400848719375141,5.650623098035647,2.302585092994046,0.0,0.0,0.7316110190363669,0.2683889808975669,0.0027808688962288,0.0010059676034827,0.0017358161105112,0.0003420271223211,0.9833278161803702,0.001251573816066,0.0013910133489295,01,Tribolium,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,9.0,12.0,0.7853981633974483,872.5555555555555,256.2469135802469,857.0,876.0,884.0,20.508408537452954,26.004807247891687,871.25,859.5,0.0134661912644848,0.0114106045289407,0.0132565024916695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.22222222222217,27.111111111111086,-210.8641975308642,194.4444444444444,31.0,27.0,-8.64209412375071,1.065640576713566,-0.012779884088733302,0.0335739583823714,-0.004114503137060301,0.0073689369471963,0.012775833389755801,0.0076229014272867004,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.4153846153846154,0.47692307692307695,0.4076923076923077,0.4,0.3923076923076923,0.4076923076923077,0.38461538461538464,0.4153846153846154,0.45384615384615384,0.4846153846153846,0.5923076923076923,0.7153846153846154,0.5,0.0,0.0,1.0,0.0,0.0,0.9999999999996666,0.0,0.0,0.7853981633974483,0.0,0.0,844.4,69.45831328178518,28.155555555555566,315.91604938271604,125.96075490264396,-59.66913580246916,0.009879450700567902,0.0203953843436335,0.0035867405639168973,0.01028787222969336,0.0032907116154605323,0.00112273229924734
10,0.4337524781515475,0.2230769230769231,2.302585092994046,0.5038461538461538,0.0018632897029761,-0.0018482225176853,0.0002364784183341,0.0,0.005073176464084,-0.0034033058130989,0.003762263810296,0.0,0.0014510100082098,-0.0004208404477515,0.001388640832419,0.0,0.0019938007477656,0.0019943436969867,0.0771459696398981,0.0818367345700355,0.0038222429130028,6.10467040512999,2.302585092994046,0.0,0.0,0.7109830849605492,0.2890169148718374,0.0880576070493776,0.1233433457469171,0.0181802650510511,5.795004679519119,2.302585092994046,0.0,0.0,0.6834995951831939,0.3165004046931149,0.1252903034709169,0.1874140105730567,0.0415699514331524,5.651455391050792,2.302585092994046,0.0,0.0,0.6404216849972235,0.3595783149453901,0.002365707624539,0.001045129725682,0.0005597495889494,0.0018889065218531,0.1041252843334976,7.425043535729241e-06,0.0023268023410464,01,Tribolium,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,9.0,12.0,0.7853981633974483,873.2222222222222,183.95061728395063,861.0,879.0,882.0,23.272137656450727,28.5,871.75,842.5,0.0334966280697289,0.0097028258128607,0.0137139010920176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-18.33333333333337,-19.111111111111057,-261.85185185185185,37.0,-12.0,7.391652574942876,7.786545827038248,0.030893143657887097,0.0345247935732183,-0.00017715880968869994,-0.005223070955632899,-0.00024376249330949895,-0.006891851355430698,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.4230769230769231,0.33076923076923076,0.4153846153846154,0.4153846153846154,0.38461538461538464,0.46923076923076923,0.43846153846153846,0.4230769230769231,0.4,0.7846153846153846,0.46153846153846156,0.7230769230769231,0.5,0.0,0.0,1.0,0.0,0.0,0.9999999999996666,0.0,0.0,0.7853981633974483,0.0,0.0,828.4222222222222,43.02163681879041,44.799999999999955,346.4049382716049,248.47542454773304,-162.45432098765428,0.009183707323859522,0.019220803381694913,0.024312920745869375,0.01069412748923524,0.006120528285829576,-0.0009913016763745397
11,0.3572490137663562,0.1538461538461538,2.302585092994046,0.5038461538461538,0.0018386016148562,0.0010145430308006,0.001533348732939,0.003420271223211,0.0027289174063683,0.0006585550013689,0.00264826273639,0.0,0.001284211076713,-0.0011836684000572,0.0004981236877106,0.0,0.0026557344008079,0.0026591249293156,0.0719385382869571,0.0759038253704014,0.0033276416594521,6.255188679921986,2.302585092994046,0.0,0.0,0.6784162363500398,0.3215837634571417,0.0750164064877136,0.0818367345700355,0.0047745197399756,6.615496028895847,2.302585092994046,0.0,0.0,0.5913400210011583,0.4086599788218584,0.1039519221531132,0.1435699332501545,0.0294267233430435,6.184451138488762,2.302585092994046,0.0,0.0,0.724613094853222,0.2753869050611023,0.002466046941995,0.00115698839264,0.0010502151356036,0.0017440029708933,0.3733598381293259,-0.0003162018511462,0.0023085291439546,01,Tribolium,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,9.0,12.0,0.7853981633974483,907.3333333333334,531.111111111111,894.0,913.0,924.0,32.28153672112093,36.9120576505835,908.125,869.25,0.042845334313005,0.0053153402924342,0.0035995440745525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.444444444444457,0.11111111111119953,-62.32098765432113,-822.1728395061731,17.0,16.0,-5.716987778660062,-20.17454872095682,-0.0005121385300464951,-0.0133242921413734,-0.008188984484121,-0.0180251114489911,-0.0041994306341207,-0.0232503434917296,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5,0.6692307692307692,0.5,0.5,0.49230769230769234,0.7384615384615385,0.6384615384615384,0.5,0.46923076923076923,0.8615384615384616,0.15384615384615385,0.26153846153846155,0.5,0.0,0.0,1.0,0.0,0.0,0.9999999999996666,0.0,0.0,0.7853981633974483,0.0,0.0,802.9777777777778,52.995150022675894,104.35555555555561,308.69135802469134,213.54869273797024,222.41975308641963,0.0040258029543324796,0.016818543412063035,0.03881953135867253,0.01316941035182742,0.004475460622745699,-0.00785407005939322
13,0.4265447422400208,0.2153846153846154,2.302585092994046,0.5038461538461538,0.0057913746373047,0.0049464541913686,0.0030120775425456,0.0076479589565862,0.0003352161417463,5.455237678393614e-05,0.0003307474865732,0.0,0.0007684438758315,4.283935034770645e-06,0.0007684319346588,0.0,0.0019148780858161,0.001941504004544,0.0777595468107174,0.0826545888644435,0.0041289844627924,6.0847821577330965,2.302585092994046,0.0,0.0,0.6126802067841363,0.387319793050945,0.0918930320077592,0.1356300348942376,0.0226500486961572,5.6050867758446,2.302585092994046,0.0,0.0,0.655124566595986,0.3448754332923738,0.122479149564799,0.1805955027403173,0.036149835956192,5.725576173122326,2.302585092994046,0.0,0.0,0.573791782787094,0.4262082171515864,0.0023721415318663,0.0012323864476805,0.000356200308024,0.006118367165269,-0.913165258826962,-0.0002698017913062,0.0023454384373834,01,Tribolium,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,9.0,12.0,0.7853981633974483,657.1111111111111,408.0987654320988,638.0,659.0,676.0,18.485342894628463,23.264780248263683,657.25,656.75,0.000760906323977,0.0215241716523921,0.0035205720008873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.55555555555554,3.0,243.40740740740745,218.66666666666669,37.0,5.0,6.025716864442927,3.1742711501735545,-0.0019291941064390002,-0.0094310420368178,0.0107895810165296,0.0091872472188756,-0.0043866760927287005,0.0010240647039908,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.05384615384615385,0.6230769230769231,0.05384615384615385,0.05384615384615385,0.06153846153846154,0.3153846153846154,0.3153846153846154,0.05384615384615385,0.06153846153846154,0.15384615384615385,0.8461538461538461,0.23846153846153847,0.5,0.0,0.0,1.0,0.0,0.0,0.9999999999996666,0.0,0.0,0.7853981633974483,0.0,0.0,810.0666666666667,79.17879751113075,-152.95555555555563,779.1358024691358,628.7607739329503,-371.037037037037,0.0157598603419569,0.015861844309310914,-0.0149989540179799,0.020118233982010143,0.007520896008556663,0.0014059376703819577
16,0.6078954496320105,0.3384615384615385,2.302585092994046,0.5038461538461538,0.0035512125286613,0.0026560083692594,0.0023572717208979,0.0054079236404385,0.0027289174063683,-0.0004812439551473,0.0026861486307377,0.0,0.0011896356520994,0.001072825794803,0.0005140795646115,0.0,0.0031300139127339,0.0031305811407975,0.0822289412896482,0.094445326092657,0.0144433939367089,5.818080632114024,2.302585092994046,0.0,0.0,0.8450251002958866,0.1549748995606456,0.0963011773959475,0.1303747094500816,0.02212345035771,5.684123100844441,2.302585092994046,0.0,0.0,0.5941805858324343,0.4058194140651421,0.1295645530505783,0.1817094532923898,0.0388546355205558,5.713277648979298,2.302585092994046,0.0,0.0,0.5938307535126205,0.4061692464327247,0.0028762814510449,0.0015315862177749,0.001013006431883,0.0026048009596491,0.9523964888749302,0.0003095432793597,0.0025576538748012,01,Tribolium,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,9.0,12.0,0.7853981633974483,614.0,41.55555555555556,611.0,614.0,620.0,11.420950467712904,16.194134740701646,613.0,609.8333333333334,0.0051574375678609,0.0060554950712172,0.0015514321570124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.888888888888914,26.22222222222217,-175.87654320987656,4.049382716049379,30.0,26.0,-4.339283061714207,2.3078211500094383,0.0160187180556658,0.0060080991935697,-0.008302200645663201,-0.0007281029877730999,0.0013180585154215,0.00016230753911519995,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.5038461538461538,0.015384615384615385,0.03076923076923077,0.019230769230769232,0.015384615384615385,0.015384615384615385,0.07692307692307693,0.1,0.015384615384615385,0.023076923076923078,0.26153846153846155,0.2,0.1,0.5,0.0,0.0,1.0,0.0,0.0,0.9999999999996666,0.0,0.0,0.7853981633974483,0.0,0.0,711.3777777777779,94.3100638752204,-97.37777777777785,375.80246913580254,370.2639461912386,-334.246913580247,0.014325516513689721,0.01190462098724137,-0.009168078945828821,0.01495864203363688,0.010734978715521707,-0.00890314696241968
