organism,outcome,representation,track,estimator,test_sequence,r2,rmse,naive_rmse,beats_naive,fold_pass,n_features
Drosophila,future_radial_velocity,r8_full_reference,reference,naive_train_mean,1,-0.0143284766166993,0.0048093938581655,0.0048093938581655,False,False,139
Drosophila,future_radial_velocity,r8_full_reference,reference,ridge,1,-2.050316825323467e+25,21622779677.20405,0.0048093938581655,False,False,139
Drosophila,future_radial_velocity,r8_full_reference,reference,random_forest,1,-0.1862158583896322,0.0052009526295058,0.0048093938581655,False,False,139
Drosophila,future_radial_velocity,r8_full_reference,reference,extra_trees,1,-0.1969010450442978,0.0052243246666782,0.0048093938581655,False,False,139
Drosophila,future_radial_velocity,r8_full_reference,reference,naive_train_mean,2,-0.0146209585997307,0.0047617329546127,0.0047617329546127,False,False,139
Drosophila,future_radial_velocity,r8_full_reference,reference,ridge,2,-1.6217655685015018,0.0076543805324239,0.0047617329546127,False,False,139
Drosophila,future_radial_velocity,r8_full_reference,reference,random_forest,2,-0.4549260583350878,0.0057020836277358,0.0047617329546127,False,False,139
Drosophila,future_radial_velocity,r8_full_reference,reference,extra_trees,2,-0.4203433877214939,0.0056339086145286,0.0047617329546127,False,False,139
Drosophila,future_radial_velocity,inductive_invariant_panel,primary,naive_train_mean,1,-0.0143284766166993,0.0048093938581655,0.0048093938581655,False,False,81
Drosophila,future_radial_velocity,inductive_invariant_panel,primary,ridge,1,-1.3827061636711893e+25,17756852400.24738,0.0048093938581655,False,False,81
Drosophila,future_radial_velocity,inductive_invariant_panel,primary,random_forest,1,-0.285390661073454,0.0054140044133265,0.0048093938581655,False,False,81
Drosophila,future_radial_velocity,inductive_invariant_panel,primary,extra_trees,1,-0.2581119853421993,0.0053562480993951,0.0048093938581655,False,False,81
Drosophila,future_radial_velocity,inductive_invariant_panel,primary,naive_train_mean,2,-0.0146209585997307,0.0047617329546127,0.0047617329546127,False,False,81
Drosophila,future_radial_velocity,inductive_invariant_panel,primary,ridge,2,-3.537771425458387,0.0100701149791321,0.0047617329546127,False,False,81
