organism,outcome,representation,estimator,test_sequence,r2,rmse,control
Drosophila,future_radial_velocity,inductive_invariant_panel,ridge,01,-1.3827061636712788e+25,17756852400.247955,target_row_permutation
Drosophila,future_radial_velocity,inductive_invariant_panel,random_forest,01,-0.3188737765067202,0.005484065735947841,target_row_permutation
Drosophila,future_radial_velocity,inductive_invariant_panel,extra_trees,01,-0.46921888684531576,0.005788210098695907,target_row_permutation
Drosophila,future_radial_velocity,inductive_invariant_panel,ridge,02,-2.9163128469250155,0.009355172716665453,target_row_permutation
Drosophila,future_radial_velocity,inductive_invariant_panel,random_forest,02,-0.5600243694755844,0.005904441344103145,target_row_permutation
Drosophila,future_radial_velocity,inductive_invariant_panel,extra_trees,02,-0.435689943329451,0.005664263526133822,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,ridge,01,-0.9523322687790292,0.0066723359010634345,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,random_forest,01,-0.37100937594147876,0.005591408827211276,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,extra_trees,01,-0.5936672579230371,0.0060283694512563366,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,ridge,02,-1.468457469541415,0.0074272141425926475,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,random_forest,02,-0.5213479981971563,0.005830790063017062,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,extra_trees,02,-0.30871369318630215,0.00540798457900439,target_row_permutation
