organism,outcome,representation,estimator,test_sequence,r2,rmse,control
Drosophila,future_speed,inductive_invariant_panel,ridge,01,-1.0953003916488415e+25,12378918741.400274,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,random_forest,01,-4.015011536884831,0.008376296827386328,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,extra_trees,01,-4.014604403141463,0.008375956813981107,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,ridge,02,-14.518030461140949,0.007530963494216378,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,random_forest,02,-18.184968592214744,0.008373611134656943,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,extra_trees,02,-18.949886997427246,0.008538910516725038,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,ridge,01,-4.297099660162573,0.008608652208464926,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,random_forest,01,-4.150687636503161,0.008488846824104158,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,extra_trees,01,-4.165104169376717,0.008500718464725368,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,ridge,02,-18.286946662816067,0.008395836684467238,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,random_forest,02,-16.950798039013925,0.008099796779920808,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,extra_trees,02,-16.812967087449472,0.00806864067280396,target_row_permutation
