organism,outcome,representation,estimator,test_sequence,r2,rmse,control
Tribolium,future_radial_velocity,inductive_invariant_panel,ridge,01,-0.46147474056995974,0.0019056564421580122,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,random_forest,01,-0.3800511108097542,0.0018518104734427199,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,extra_trees,01,-0.16071810151213395,0.001698291864754114,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,ridge,02,-1.6585393013061704,0.0020836195762076117,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,random_forest,02,-0.6759548358554492,0.0016543524621439169,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,extra_trees,02,-0.5588918375802321,0.0015955296463926523,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,ridge,01,-0.3861212890314696,0.001855878614794406,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,random_forest,01,-0.2371191376287738,0.0017532938651215592,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,extra_trees,01,-0.0722823051171324,0.0016323133035555844,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,ridge,02,-2.1337349067981437,0.0022621844578760313,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,random_forest,02,-0.7144753994529509,0.0016732564801937172,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,extra_trees,02,-0.5506782355882751,0.001591320774104436,target_row_permutation
