organism,outcome,representation,track,estimator,test_sequence,r2,rmse,naive_rmse,beats_naive,fold_pass,n_features
Tribolium,future_radial_velocity,r8_full_reference,reference,naive_train_mean,01,-0.06175334706120461,0.0016242795254091961,0.0016242795254091961,False,False,99
Tribolium,future_radial_velocity,r8_full_reference,reference,ridge,01,-0.27088700158827606,0.001777061342344636,0.0016242795254091961,False,False,99
Tribolium,future_radial_velocity,r8_full_reference,reference,random_forest,01,-0.17973461379599054,0.0017121472456469217,0.0016242795254091961,False,False,99
Tribolium,future_radial_velocity,r8_full_reference,reference,extra_trees,01,-0.07770179500388652,0.001636433093599837,0.0016242795254091961,False,False,99
Tribolium,future_radial_velocity,r8_full_reference,reference,naive_train_mean,02,-0.09396467788744034,0.0013365910123929621,0.0013365910123929621,False,False,99
Tribolium,future_radial_velocity,r8_full_reference,reference,ridge,02,-0.5436829624147115,0.001587727409034469,0.0013365910123929621,False,False,99
Tribolium,future_radial_velocity,r8_full_reference,reference,random_forest,02,0.29537483862170033,0.0010726942688642097,0.0013365910123929621,True,True,99
Tribolium,future_radial_velocity,r8_full_reference,reference,extra_trees,02,0.2992773267750365,0.0010697196454890884,0.0013365910123929621,True,True,99
Tribolium,future_radial_velocity,inductive_invariant_panel,primary,naive_train_mean,01,-0.06175334706120461,0.0016242795254091961,0.0016242795254091961,False,False,62
Tribolium,future_radial_velocity,inductive_invariant_panel,primary,ridge,01,-0.09754873536213671,0.00165143261476229,0.0016242795254091961,False,False,62
Tribolium,future_radial_velocity,inductive_invariant_panel,primary,random_forest,01,-0.30401465735921085,0.0018000732869688817,0.0016242795254091961,False,False,62
Tribolium,future_radial_velocity,inductive_invariant_panel,primary,extra_trees,01,-0.12096236275349792,0.0016689543817000664,0.0016242795254091961,False,False,62
Tribolium,future_radial_velocity,inductive_invariant_panel,primary,naive_train_mean,02,-0.09396467788744034,0.0013365910123929621,0.0013365910123929621,False,False,62
Tribolium,future_radial_velocity,inductive_invariant_panel,primary,ridge,02,-0.7161999855341767,0.001674097830710802,0.0013365910123929621,False,False,62
Tribolium,future_radial_velocity,inductive_invariant_panel,primary,random_forest,02,0.17062471815330604,0.0011637841298219043,0.0013365910123929621,True,True,62
Tribolium,future_radial_velocity,inductive_invariant_panel,primary,extra_trees,02,0.19806722237690988,0.0011443684320960462,0.0013365910123929621,True,True,62
Tribolium,future_radial_velocity,transductive_domain_percentile,primary,naive_train_mean,01,-0.06175334706120461,0.0016242795254091961,0.0016242795254091961,False,False,99
Tribolium,future_radial_velocity,transductive_domain_percentile,primary,ridge,01,-0.19257001572277543,0.0017214360493761625,0.0016242795254091961,False,False,99
Tribolium,future_radial_velocity,transductive_domain_percentile,primary,random_forest,01,0.0813920244340317,0.001510824630644567,0.0016242795254091961,True,True,99
Tribolium,future_radial_velocity,transductive_domain_percentile,primary,extra_trees,01,0.11521258027775949,0.0014827516639131402,0.0016242795254091961,True,True,99
