organism,outcome,representation,estimator,test_sequence,r2,rmse,control
Tribolium,future_speed,inductive_invariant_panel,ridge,01,-0.4320963647910332,0.0010470974568789866,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,random_forest,01,-0.9204558691098936,0.0012125597541175618,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,extra_trees,01,-0.6989766552267842,0.0011404984237426746,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,ridge,02,-0.5021870449096195,0.0013881596845175743,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,random_forest,02,-0.45113779956337297,0.001364368702864306,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,extra_trees,02,-0.4742363237841063,0.0013751845199418574,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,ridge,01,-0.76700603851879,0.001163107886442986,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,random_forest,01,-0.7532438345613943,0.001158569640170489,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,extra_trees,01,-0.5340025093817131,0.0010837123401243097,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,ridge,02,-1.1379910773667645,0.0016560763889497706,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,random_forest,02,-0.5495825962507466,0.0014098885586307887,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,extra_trees,02,-0.3652562377753046,0.0013233798140393164,target_row_permutation
