organism,outcome,representation,estimator,test_sequence,r2,rmse,control
Drosophila,future_radial_velocity,inductive_invariant_panel,ridge,1,-1.3827061636712788e+25,17756852400.247955,target_row_permutation
Drosophila,future_radial_velocity,inductive_invariant_panel,random_forest,1,-0.3188737765067202,0.0054840657359478,target_row_permutation
Drosophila,future_radial_velocity,inductive_invariant_panel,extra_trees,1,-0.4692188868453157,0.0057882100986959,target_row_permutation
Drosophila,future_radial_velocity,inductive_invariant_panel,ridge,2,-2.9163128469250155,0.0093551727166654,target_row_permutation
Drosophila,future_radial_velocity,inductive_invariant_panel,random_forest,2,-0.5600243694755844,0.0059044413441031,target_row_permutation
Drosophila,future_radial_velocity,inductive_invariant_panel,extra_trees,2,-0.435689943329451,0.0056642635261338,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,ridge,1,-0.9523322687790292,0.0066723359010634,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,random_forest,1,-0.3710093759414787,0.0055914088272112,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,extra_trees,1,-0.5936672579230371,0.0060283694512563,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,ridge,2,-1.468457469541415,0.0074272141425926,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,random_forest,2,-0.5213479981971563,0.005830790063017,target_row_permutation
Drosophila,future_radial_velocity,transductive_domain_percentile,extra_trees,2,-0.3087136931863021,0.0054079845790043,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,ridge,1,-1.0953003916488417e+25,12378918741.400274,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,random_forest,1,-4.015011536884831,0.0083762968273863,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,extra_trees,1,-4.014604403141463,0.0083759568139811,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,ridge,2,-14.518030461140947,0.0075309634942163,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,random_forest,2,-18.184968592214744,0.0083736111346569,target_row_permutation
Drosophila,future_speed,inductive_invariant_panel,extra_trees,2,-18.94988699742725,0.008538910516725,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,ridge,1,-4.297099660162573,0.0086086522084649,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,random_forest,1,-4.150687636503161,0.0084888468241041,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,extra_trees,1,-4.165104169376717,0.0085007184647253,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,ridge,2,-18.286946662816067,0.0083958366844672,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,random_forest,2,-16.950798039013925,0.0080997967799208,target_row_permutation
Drosophila,future_speed,transductive_domain_percentile,extra_trees,2,-16.812967087449472,0.0080686406728039,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,ridge,1,-0.4614747405699597,0.001905656442158,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,random_forest,1,-0.3800511108097542,0.0018518104734427,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,extra_trees,1,-0.1607181015121339,0.0016982918647541,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,ridge,2,-1.6585393013061704,0.0020836195762076,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,random_forest,2,-0.6759548358554492,0.0016543524621439,target_row_permutation
Tribolium,future_radial_velocity,inductive_invariant_panel,extra_trees,2,-0.5588918375802321,0.0015955296463926,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,ridge,1,-0.3861212890314696,0.0018558786147944,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,random_forest,1,-0.2371191376287738,0.0017532938651215,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,extra_trees,1,-0.0722823051171324,0.0016323133035555,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,ridge,2,-2.133734906798144,0.002262184457876,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,random_forest,2,-0.7144753994529509,0.0016732564801937,target_row_permutation
Tribolium,future_radial_velocity,transductive_domain_percentile,extra_trees,2,-0.5506782355882751,0.0015913207741044,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,ridge,1,-0.4320963647910332,0.0010470974568789,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,random_forest,1,-0.9204558691098936,0.0012125597541175,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,extra_trees,1,-0.6989766552267842,0.0011404984237426,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,ridge,2,-0.5021870449096195,0.0013881596845175,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,random_forest,2,-0.4511377995633729,0.0013643687028643,target_row_permutation
Tribolium,future_speed,inductive_invariant_panel,extra_trees,2,-0.4742363237841063,0.0013751845199418,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,ridge,1,-0.76700603851879,0.0011631078864429,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,random_forest,1,-0.7532438345613943,0.0011585696401704,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,extra_trees,1,-0.5340025093817131,0.0010837123401243,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,ridge,2,-1.1379910773667643,0.0016560763889497,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,random_forest,2,-0.5495825962507466,0.0014098885586307,target_row_permutation
Tribolium,future_speed,transductive_domain_percentile,extra_trees,2,-0.3652562377753046,0.0013233798140393,target_row_permutation
