organism,outcome,representation,track,gate1_pass,n_estimators_passing_both_folds,estimators_passing_both_folds,per_estimator_fold_pass
Drosophila,future_radial_velocity,r8_full_reference,reference,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_radial_velocity,inductive_invariant_panel,primary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_radial_velocity,transductive_domain_percentile,primary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_radial_velocity,inductive_source_quantile,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_radial_velocity,inductive_source_pca30,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': True, '02': False}}"
Drosophila,future_radial_velocity,transductive_robust_z,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_radial_velocity,transductive_coral,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_speed,r8_full_reference,reference,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_speed,inductive_invariant_panel,primary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_speed,transductive_domain_percentile,primary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_speed,inductive_source_quantile,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_speed,inductive_source_pca30,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_speed,transductive_robust_z,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Drosophila,future_speed,transductive_coral,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Tribolium,future_radial_velocity,r8_full_reference,reference,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': True}, 'extra_trees': {'01': False, '02': True}}"
Tribolium,future_radial_velocity,inductive_invariant_panel,primary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': True}, 'extra_trees': {'01': False, '02': True}}"
Tribolium,future_radial_velocity,transductive_domain_percentile,primary,True,2,"['random_forest', 'extra_trees']","{'ridge': {'01': False, '02': False}, 'random_forest': {'01': True, '02': True}, 'extra_trees': {'01': True, '02': True}}"
Tribolium,future_radial_velocity,inductive_source_quantile,secondary,False,1,['extra_trees'],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': True}, 'extra_trees': {'01': True, '02': True}}"
Tribolium,future_radial_velocity,inductive_source_pca30,secondary,False,1,['extra_trees'],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': True}, 'extra_trees': {'01': True, '02': True}}"
Tribolium,future_radial_velocity,transductive_robust_z,secondary,True,2,"['random_forest', 'extra_trees']","{'ridge': {'01': False, '02': False}, 'random_forest': {'01': True, '02': True}, 'extra_trees': {'01': True, '02': True}}"
Tribolium,future_radial_velocity,transductive_coral,secondary,True,2,"['random_forest', 'extra_trees']","{'ridge': {'01': False, '02': False}, 'random_forest': {'01': True, '02': True}, 'extra_trees': {'01': True, '02': True}}"
Tribolium,future_speed,r8_full_reference,reference,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Tribolium,future_speed,inductive_invariant_panel,primary,False,1,['ridge'],"{'ridge': {'01': True, '02': True}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Tribolium,future_speed,transductive_domain_percentile,primary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': True}}"
Tribolium,future_speed,inductive_source_quantile,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': True}, 'extra_trees': {'01': False, '02': True}}"
Tribolium,future_speed,inductive_source_pca30,secondary,False,0,[],"{'ridge': {'01': False, '02': True}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Tribolium,future_speed,transductive_robust_z,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': False}, 'extra_trees': {'01': False, '02': False}}"
Tribolium,future_speed,transductive_coral,secondary,False,0,[],"{'ridge': {'01': False, '02': False}, 'random_forest': {'01': False, '02': True}, 'extra_trees': {'01': False, '02': True}}"
