cid120,ancestor96,future_growth,future_logfold,n_desc132,g120_volume,g96_volume,g120_x,g96_x,g120_y,g96_y,g120_z,g96_z,g120_neighbors,g96_neighbors,g120_logvolume,g96_logvolume,d_x,d_y,d_z,logvol_ratio_96_120,cur_AG,old_AG,cur_AHP6,old_AHP6,cur_ANT,old_ANT,cur_AP1,old_AP1,cur_AP2,old_AP2,cur_AP3,old_AP3,cur_AS1,old_AS1,cur_ATML1,old_ATML1,cur_CLV3,old_CLV3,cur_CUC1_2_3,old_CUC1_2_3,cur_ETTIN,old_ETTIN,cur_FIL,old_FIL,cur_LFY,old_LFY,cur_MP,old_MP,cur_PHB_PHV,old_PHB_PHV,cur_PI,old_PI,cur_PUCHI,old_PUCHI,cur_REV,old_REV,cur_SEP1,old_SEP1,cur_SEP2,old_SEP2,cur_SEP3,old_SEP3,cur_STM,old_STM,cur_SUP,old_SUP,cur_SVP,old_SVP,cur_WUS,old_WUS
71,112,0.029277069489752984,0.2865365072053008,4,313.0762192968013,303.50365662393943,35.35355123251695,29.477519600142813,63.00081070180723,54.27090997097435,8.23532081927711,10.091468513020994,14.0,21.0,5.7464466730262425,5.715393658611289,5.876031632374136,8.729900730832881,-1.8561476937438837,0.031053014414953676,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
78,123,-0.0359399354236483,-0.5230994198017791,1,337.48945861947686,288.4947237301183,30.56011574503959,28.47394893955985,47.19828618022353,47.14478879046745,12.237841626203043,10.580887323546456,17.0,16.0,5.8215342761047335,5.664676797150476,2.0861668054797384,0.05349738975608176,1.6569543026565867,0.1568574789542571,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,172,0.1188953830099906,0.8533428415229565,2,249.53321519162418,156.2749411333131,44.27881507499867,37.03136708797919,69.78302630957742,56.92211495254369,8.82128542241478,12.766146725930108,8.0,11.0,5.519592033351496,5.051616899131279,7.247447987019477,12.860911357033736,-3.944861303515328,0.467975134220217,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
87,118,0.031288412353252075,0.30350768917228516,2,259.9347982350739,254.427418127064,25.199051955285615,23.3422051597369,57.832401354923235,52.75305768009418,10.616532823133864,9.862941272249397,15.0,18.0,5.5604308235470175,5.5390156013152865,1.8568467955487158,5.079343674829055,0.753591550884467,0.021415222231731045,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
92,115,0.11793691274556205,0.8487047321858269,1,97.16716907164019,216.2549464726056,54.73522458880056,44.508440218767426,53.35261881197921,49.87185876028603,8.708846644740712,7.868951643231403,8.0,12.0,4.576432887657683,5.376458019412146,10.226784370033137,3.4807600516931814,0.8398950015093085,-0.8000251317544633,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
99,134,0.15164117851260323,1.0001170504317884,2,207.65065050110343,128.58828955133245,50.58815428106197,41.2631907827271,61.979054712935785,54.01391713098592,10.943743764426605,8.86265922253521,11.0,9.0,5.335857102752344,4.856615746625582,9.324963498334867,7.965137581949868,2.0810845418913946,0.4792413561267621,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
101,114,0.14987034107132569,0.9927073774990047,2,124.25700622875662,111.33173180583763,49.76155357039713,39.51215233274668,46.34727859904178,45.174405342996586,11.933105239248754,7.635460120839243,11.0,13.0,4.822352051545993,4.71251431922762,10.249401237650453,1.172873256045193,4.297645118409511,0.10983773231837306,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,132,0.1716495495378836,1.0802315808510832,4,362.30275882843904,186.7757676328852,38.36750690091768,33.19403874974042,58.15730251821958,49.748151745897566,12.06661762361973,9.648734933018398,15.0,14.0,5.892480212634498,5.229908793787217,5.173468151177261,8.409150772322015,2.4178826906013313,0.6625714188472812,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108,116,0.21364635276796143,1.2300279997990273,1,76.23064935597849,96.08131855605158,57.64222326425738,46.87952507045307,47.213040108896664,44.67346580444659,9.606698527677121,5.865760024407926,8.0,8.0,4.33376360434221,4.565194901200163,10.762698193804312,2.5395743044500705,3.740938503269195,-0.23143129685795316,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,118,-0.07759254626096845,-2.1151283352566086,1,198.48735115330246,254.427418127064,22.59440419629603,23.3422051597369,53.5176886392888,52.75305768009418,10.67469660012957,9.862941272249397,11.0,18.0,5.290725375947293,5.5390156013152865,-0.74780096344087,0.7646309591946192,0.8117553278801726,-0.24829022536799344,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
