model,features,n_features,r2_oof,rmse_oof,fold_r2_mean,fold_r2_median,fold_r2
ridge,current_geom,5,0.0697484917583494,0.0756546254606718,0.05839587207348971,0.04550263529727594,"[-0.015829156573313075, 0.04550263529727594, 0.04398732060454036, 0.12288874952919515, 0.09542981150975016]"
ridge,trajectory_geom,14,0.07718874849684354,0.07535147095372113,0.06588459791489643,0.0640192965836075,"[0.01969479681262898, 0.0640192965836075, 0.004051035394134317, 0.11561865156857687, 0.12603920921553446]"
ridge,trajectory_geom+current_genes,39,0.37848823898469364,0.06183864571243633,0.37843320638476624,0.4293478552780984,"[0.5476581134179355, 0.15118467287379111, 0.3198190391880371, 0.4293478552780984, 0.4441563511659691]"
ridge,trajectory_geom+current+old_genes,64,0.37984658063341914,0.06177103319179486,0.38117854261427436,0.44799473738455575,"[0.5469280534868162, 0.13481218702116993, 0.30670140003354474, 0.4694563351452855, 0.44799473738455575]"
histgb,current_geom,5,0.4722968871547307,0.056981007276552295,0.4655839956561552,0.5249791177330092,"[0.5294898142282776, 0.3515772132401571, 0.5249791177330092, 0.3849708011970391, 0.5369030318822929]"
histgb,trajectory_geom,14,0.4928056071712805,0.05586277633508548,0.48980223768481157,0.49251954685397104,"[0.600055654096606, 0.39663771992433783, 0.4470055749505669, 0.49251954685397104, 0.512792692598576]"
histgb,trajectory_geom+current_genes,39,0.5012099810356561,0.05539801089834605,0.4989840206686056,0.4730463676606297,"[0.6633760533639247, 0.36280318908516085, 0.3904374403401587, 0.4730463676606297, 0.6052570528931538]"
histgb,trajectory_geom+current+old_genes,64,0.4958147632966329,0.055696814435592726,0.49348559961021454,0.46063186088774655,"[0.6602212766737969, 0.3455261734310585, 0.394261132970921, 0.46063186088774655, 0.6067875540875494]"
rf,current_geom,5,0.4463940592385396,0.05836273895930353,0.4417065310193834,0.4538680534316043,"[0.5237278933399991, 0.309508866812676, 0.4538680534316043, 0.41524375959628257, 0.5061840819163552]"
rf,trajectory_geom,14,0.45085059532494176,0.05812735382876298,0.44664638140366614,0.45548670709310757,"[0.5328286831448616, 0.31168034313858173, 0.45548670709310757, 0.4293973006446903, 0.5038388729970895]"
rf,trajectory_geom+current_genes,39,0.4477943415960929,0.05828888131869837,0.4484201314070308,0.47786586516169227,"[0.6390205599586463, 0.25240521651391745, 0.3829725249231323, 0.4898364904777659, 0.47786586516169227]"
rf,trajectory_geom+current+old_genes,64,0.4494765773411127,0.058200028161199374,0.4504025748048135,0.4769658737371024,"[0.6379891508026554, 0.250990262166619, 0.38505144518275214, 0.5010161421349386, 0.4769658737371024]"
extra,current_geom,5,0.4384536908867738,0.05877979711271912,0.43304665466922526,0.4524399599722154,"[0.45719771468364334, 0.3241935466074113, 0.4524399599722154, 0.43410567307215886, 0.49729637901069756]"
extra,trajectory_geom,14,0.47542004444958397,0.05681213889507468,0.47088987089024625,0.46229087793564394,"[0.5329226143675331, 0.36886325721724633, 0.4575171164639795, 0.46229087793564394, 0.5328554884668284]"
extra,trajectory_geom+current_genes,39,0.427214478391171,0.05936511453163325,0.4263964575783474,0.4434665553267181,"[0.6079760671510301, 0.24428954861657126, 0.3482161972957911, 0.4434665553267181, 0.4880339195016262]"
extra,trajectory_geom+current+old_genes,64,0.4346461025770113,0.05897873988776436,0.43406205234930945,0.456184517256907,"[0.6117180604736596, 0.24722354696195747, 0.357810720532424, 0.456184517256907, 0.49737341652159905]"
ridge,trajectory_geom+current_gene_PC1,15,0.36096806513526214,0.06270419189057237,0.3597428879029111,0.4090050278484335,"[0.49436240061726877, 0.14558956896691544, 0.32243365607226027, 0.4090050278484335, 0.42732378600967746]"
histgb,trajectory_geom+current_gene_PC1,15,0.503773223630321,0.055255484548706345,0.5008509273884346,0.44800807624659666,"[0.6818168291663016, 0.3833221035324297, 0.4086382525144203, 0.44800807624659666, 0.5824693754824248]"
rf,trajectory_geom+current_gene_PC1,15,0.4504163416490762,0.058150332119038875,0.45087367760683283,0.4877417746795334,"[0.627105303713138, 0.24395541805936372, 0.4042047489217966, 0.49136114266033293, 0.4877417746795334]"
extra,trajectory_geom+current_gene_PC1,15,0.45024469390380084,0.058159412259988816,0.4501407442290951,0.4912898903209082,"[0.6094841861445062, 0.2604823268957632, 0.3909040935572379, 0.4912898903209082, 0.4985432242270602]"
